level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3307	4676	-1	
2	1	1	0	0	0	295	256	2518	3637	-1	
3	1	1	1	0	0	295	256	2518	3637	-1	
4	1	1	1	1	0	1338	256	585	23	-1	
5	1	1	1	1	1	1338	256	86	21	90.720268	CENSO
5	1	1	1	1	2	1448	256	168	22	92.303070	INDUSTRIAL
5	1	1	1	1	3	1638	265	15	4	90.437553	-
5	1	1	1	1	4	1676	258	49	19	87.051201	RIO
5	1	1	1	1	5	1747	258	31	19	95.448296	DE
5	1	1	1	1	6	1801	258	122	21	62.080162	JANEIRO
4	1	1	1	2	0	467	281	2342	37	-1	
5	1	1	1	2	1	467	285	153	19	0.000000	SODSORTEE
5	1	1	1	2	2	629	286	27	17	24.287361	SE
5	1	1	1	2	3	663	281	204	37	0.000000	OTESSESEERGE
5	1	1	1	2	4	879	287	59	17	30.290951	SEES
5	1	1	1	2	5	947	288	28	15	30.290951	EE
5	1	1	1	2	6	984	287	62	17	0.000000	SEOE
5	1	1	1	2	7	1051	287	29	17	3.241243	ED
5	1	1	1	2	8	1092	287	25	17	50.678692	ES
5	1	1	1	2	9	1132	281	94	37	0.000000	FORSEE
5	1	1	1	2	10	1233	289	63	15	0.000000	RELA
5	1	1	1	2	11	1323	281	328	37	0.000000	SSEEREDECERESECEESE
5	1	1	1	2	12	1662	290	206	17	0.000000	OEEREESESERE
5	1	1	1	2	13	1875	291	65	16	0.000000	SESE
5	1	1	1	2	14	1946	291	44	17	0.000000	RES
5	1	1	1	2	15	2001	291	78	17	18.420439	EERE
5	1	1	1	2	16	2091	292	25	17	27.709293	EF
5	1	1	1	2	17	2124	292	131	17	0.000000	BEEEEEES
5	1	1	1	2	18	2266	293	57	17	0.000000	EEE
5	1	1	1	2	19	2337	294	29	16	0.000000	EE
5	1	1	1	2	20	2374	294	60	17	0.000000	OEEE
5	1	1	1	2	21	2445	295	80	16	0.000000	OREO
5	1	1	1	2	22	2559	296	35	15	0.000000	OS
5	1	1	1	2	23	2605	295	204	19	0.000000	EEREREROEHEE
4	1	1	1	3	0	1624	375	1184	30	-1	
5	1	1	1	3	1	1624	376	26	19	87.774559	2.
5	1	1	1	3	2	1694	375	85	21	91.197090	OADOS
5	1	1	1	3	3	1799	376	106	21	96.397095	GERAIS
5	1	1	1	3	4	1925	377	50	19	90.264259	DAS
5	1	1	1	3	5	1997	376	173	22	28.943100	ATIVIDAOES
5	1	1	1	3	6	2198	379	199	23	67.970596	INDUSTRIAIS,
5	1	1	1	3	7	2425	380	118	21	93.056076	SEGUNDO
5	1	1	1	3	8	2566	381	242	24	8.074598	MICRORREGIOES,
4	1	1	1	4	0	2229	440	584	23	-1	
5	1	1	1	4	1	2229	440	171	22	85.335876	MUNICIPEOS
5	1	1	1	4	2	2426	441	13	21	4.133463	£
5	1	1	1	4	3	2460	441	120	21	91.085564	GENEROS
5	1	1	1	4	4	2604	443	30	20	90.289658	DE
5	1	1	1	4	5	2659	443	154	20	90.289658	INDUSTRIA
4	1	1	1	5	0	2640	500	168	21	-1	
5	1	1	1	5	1	2640	500	168	21	84.676895	(CONTINUA)
4	1	1	1	6	0	465	516	2345	36	-1	
5	1	1	1	6	1	465	520	188	18	0.000000	SRSEEGPOETS
5	1	1	1	6	2	665	521	42	17	32.550735	GFE
5	1	1	1	6	3	716	516	186	36	0.000000	EELNEETESES
5	1	1	1	6	4	914	521	60	17	0.000000	SESE
5	1	1	1	6	5	983	522	27	16	0.000000	EE
5	1	1	1	6	6	1019	522	63	17	0.000000	EOES
5	1	1	1	6	7	1094	523	48	16	0.000000	FOF
5	1	1	1	6	8	1163	516	42	36	33.569580	TEE
5	1	1	1	6	9	1214	522	384	19	0.000000	OEEEESESEEEESEEERERSOE
5	1	1	1	6	10	1607	525	45	15	63.683884	SEE
5	1	1	1	6	11	1661	525	96	16	0.000000	SEOEEE
5	1	1	1	6	12	1769	526	57	15	35.064224	SEES
5	1	1	1	6	13	1838	526	48	16	20.417915	EEE
5	1	1	1	6	14	1913	526	24	15	26.686329	OE
5	1	1	1	6	15	1949	527	60	15	16.651993	FOES
5	1	1	1	6	16	2018	528	6	14	0.000000	S
5	1	1	1	6	17	2036	527	45	16	17.340746	OEE
5	1	1	1	6	18	2090	528	24	15	10.584507	EO
5	1	1	1	6	19	2135	529	54	14	17.215538	EEE
5	1	1	1	6	20	2198	528	198	17	0.000000	EEEEOSEEEEES
5	1	1	1	6	21	2411	530	24	15	31.307434	CE
5	1	1	1	6	22	2444	530	24	15	0.000000	EE
5	1	1	1	6	23	2480	529	24	17	48.364075	ES
5	1	1	1	6	24	2513	530	27	16	22.726978	KE
5	1	1	1	6	25	2552	530	78	17	0.000000	EEEOS
5	1	1	1	6	26	2645	531	75	16	58.734661	64068
5	1	1	1	6	27	2732	532	78	16	41.238083	08508
4	1	1	1	7	0	464	551	2223	26	-1	
5	1	1	1	7	1	464	551	15	15	92.123672	*
5	1	1	1	7	2	2671	561	16	16	66.597610	*
4	1	1	1	8	0	466	581	2221	25	-1	
5	1	1	1	8	1	466	581	13	15	89.197479	*
5	1	1	1	8	2	1481	584	50	20	91.555077	ANO
5	1	1	1	8	3	1552	584	30	19	96.585121	DE
5	1	1	1	8	4	1605	585	68	19	91.537224	1980
5	1	1	1	8	5	2672	592	15	14	90.918434	*
4	1	1	1	9	0	465	611	2222	23	-1	
5	1	1	1	9	1	465	611	13	16	91.469345	*
5	1	1	1	9	2	2673	620	14	14	90.869820	*
4	1	1	1	10	0	466	639	2222	24	-1	
5	1	1	1	10	1	466	639	13	17	25.322170	*
5	1	1	1	10	2	2674	649	14	14	91.071472	*
4	1	1	1	11	0	465	665	2221	35	-1	
5	1	1	1	11	1	465	665	84	35	0.000000	SEROS
5	1	1	1	11	2	557	665	62	35	22.081861	GORE
5	1	1	1	11	3	630	670	79	18	0.000000	GEEKS
5	1	1	1	11	4	720	670	45	17	0.000000	SES
5	1	1	1	11	5	770	671	79	17	0.000000	EEDSS
5	1	1	1	11	6	860	671	62	17	0.000000	DAES
5	1	1	1	11	7	930	672	45	15	0.000000	OED
5	1	1	1	11	8	986	665	78	35	0.000000	£OEKE
5	1	1	1	11	9	1070	665	48	35	0.000000	SES
5	1	1	1	11	10	1125	672	28	17	0.000000	GE
5	1	1	1	11	11	1160	673	63	15	6.761694	SEES
5	1	1	1	11	12	1233	672	77	16	18.461628	EEEEE
5	1	1	1	11	13	1321	672	48	17	0.000000	EEE
5	1	1	1	11	14	1394	673	81	16	2.828989	GEESE
5	1	1	1	11	15	1481	673	170	17	1.065826	EEEEREEESS
5	1	1	1	11	16	1665	674	91	16	8.389845	KOEEEE
5	1	1	1	11	17	1767	674	261	17	0.000000	OEEEEEREESESEEE
5	1	1	1	11	18	2035	676	46	16	40.449978	EEE
5	1	1	1	11	19	2091	675	169	18	0.000000	OOEHROEEEE
5	1	1	1	11	20	2269	677	27	16	5.491009	HS
5	1	1	1	11	21	2304	678	62	15	0.000000	HOKS
5	1	1	1	11	22	2377	677	309	19	0.000000	FOEEEDEEEOEEEOEKER
4	1	1	1	12	0	464	699	2223	25	-1	
5	1	1	1	12	1	464	699	13	14	92.311249	*
5	1	1	1	12	2	1033	700	14	15	84.759346	*
5	1	1	1	12	3	1318	701	14	15	86.064514	*
5	1	1	1	12	4	1996	703	12	14	13.547974	*
5	1	1	1	12	5	2334	706	14	15	91.699226	*
5	1	1	1	12	6	2673	707	14	17	49.894405	*
4	1	1	1	13	0	465	729	2308	30	-1	
5	1	1	1	13	1	465	730	15	14	82.508568	*
5	1	1	1	13	2	680	729	137	21	91.684708	SALARIOS
5	1	1	1	13	3	1033	731	15	15	92.852722	*
5	1	1	1	13	4	1319	732	14	15	91.510117	*
5	1	1	1	13	5	1534	731	140	21	91.745316	DESPESAS
5	1	1	1	13	6	1694	732	49	21	93.865318	COM
5	1	1	1	13	7	1767	733	29	19	94.987778	AS
5	1	1	1	13	8	1997	734	14	14	76.737831	*
5	1	1	1	13	9	2335	736	12	14	49.054550	8
5	1	1	1	13	10	2673	738	15	14	91.207489	*
5	1	1	1	13	11	2708	737	65	22	81.888329	NUM.
4	1	1	1	14	0	464	757	2222	24	-1	
5	1	1	1	14	1	464	757	15	16	91.761879	*
5	1	1	1	14	2	1032	758	14	16	83.330101	*
5	1	1	1	14	3	1318	759	13	14	92.462883	*
5	1	1	1	14	4	1443	759	157	21	90.575539	OPERACGES
5	1	1	1	14	5	1625	759	189	22	45.457058	INDUSTRIAIS
5	1	1	1	14	6	1838	759	45	22	58.458107	{1}
5	1	1	1	14	7	1996	763	14	13	57.787590	*
5	1	1	1	14	8	2334	765	13	13	92.292297	*
5	1	1	1	14	9	2673	766	13	14	52.394135	*
4	1	1	1	15	0	462	787	2226	24	-1	
5	1	1	1	15	1	462	787	17	16	90.070320	*
5	1	1	1	15	2	1034	789	13	14	41.924625	a
5	1	1	1	15	3	1321	789	13	15	39.250416	&
5	1	1	1	15	4	1995	793	15	14	92.601257	*
5	1	1	1	15	5	2122	791	85	20	96.579491	VALOR
5	1	1	1	15	6	2336	795	13	14	91.238815	*
5	1	1	1	15	7	2674	795	14	16	90.027069	*
4	1	1	1	16	0	465	811	2292	34	-1	
5	1	1	1	16	1	465	811	458	29	0.000000	PEEEESESREEESSSHEESEDESKEED
5	1	1	1	16	2	932	817	42	15	47.175732	EEE
5	1	1	1	16	3	983	811	63	29	0.000000	OEEE
5	1	1	1	16	4	1318	814	335	28	0.000000	SSEHSSCEPPEKKEECKERKE
5	1	1	1	16	5	1666	819	94	17	0.000000	OORLED
5	1	1	1	16	6	1771	814	94	28	0.000000	OEKRDES
5	1	1	1	16	7	1876	821	134	16	24.080515	KEKEEEOE
5	1	1	1	16	8	2335	824	14	14	91.566132	*
5	1	1	1	16	9	2442	824	82	19	96.261955	VALOR
5	1	1	1	16	10	2548	825	31	19	95.734344	DA
5	1	1	1	16	11	2726	826	31	19	93.015991	DE
4	1	1	1	17	0	465	847	2222	24	-1	
5	1	1	1	17	1	465	847	13	16	56.991077	*
5	1	1	1	17	2	750	848	13	14	24.573673	a
5	1	1	1	17	3	1033	849	13	14	38.544827	*
5	1	1	1	17	4	1105	848	139	21	38.544827	 DESPESAS
5	1	1	1	17	5	1320	850	12	14	0.000000	“
5	1	1	1	17	6	1658	850	14	15	91.090134	a
5	1	1	1	17	7	1995	852	14	15	65.965508	*
5	1	1	1	17	8	2158	853	30	18	96.996719	DA
5	1	1	1	17	9	2335	854	13	15	85.308784	*
5	1	1	1	17	10	2674	856	13	14	46.540947	a
4	1	1	1	18	0	465	874	2222	30	-1	
5	1	1	1	18	1	465	875	15	16	91.198593	*
5	1	1	1	18	2	749	876	15	16	81.580658	*
5	1	1	1	18	3	839	874	119	22	91.506889	PESSOAL
5	1	1	1	18	4	1033	877	15	14	93.036858	*
5	1	1	1	18	5	1318	878	15	14	92.951294	*
5	1	1	1	18	6	1660	879	14	14	82.155136	*
5	1	1	1	18	7	1695	877	277	23	42.374138	MATERTAS-PRIMAS,
5	1	1	1	18	8	1997	879	15	16	63.040581	©
5	1	1	1	18	9	2335	881	14	14	83.408852	*
5	1	1	1	18	10	2389	882	228	22	34.384007	TRANSFORMACAO
5	1	1	1	18	11	2673	883	14	16	55.669304	*
4	1	1	1	19	0	464	905	2312	28	-1	
5	1	1	1	19	1	464	905	14	15	24.234428	a
5	1	1	1	19	2	749	906	15	13	91.297432	*
5	1	1	1	19	3	1032	907	14	14	91.935150	*
5	1	1	1	19	4	1123	905	101	21	83.412453	GERAIS
5	1	1	1	19	5	1319	908	12	14	87.104279	*
5	1	1	1	19	6	1658	908	15	16	86.442444	*
5	1	1	1	19	7	1996	910	13	15	89.916496	*
5	1	1	1	19	8	2104	909	138	21	89.939453	PRODUCAO
5	1	1	1	19	9	2334	912	13	14	89.316772	*
5	1	1	1	19	10	2673	914	13	14	89.617882	*
5	1	1	1	19	11	2725	914	51	19	79.824806	OR-
4	1	1	1	20	0	464	930	2224	32	-1	
5	1	1	1	20	1	464	934	13	14	28.353834	*
5	1	1	1	20	2	570	933	85	21	95.905533	TOTAL
5	1	1	1	20	3	749	935	14	14	61.185001	*
