source_file,section,spread_index,left_page,right_page,left_table_id,right_table_id,pair_record_index,right_subrow_index,alignment_status,state,company,municipality,plant,installation_year,energy_source,primary_motor_type,primary_motor_number,primary_motor_hp,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,current_type,phases,cycles,transformer_stations,personnel,municipality_plant_location,electrical_installation_capacity_hp,total_waterfall_capacity_hp,waterfall_height_m,extension_m,adduction_material,pipe_diameter_mm,pipe_thickness_mm,watercourse_used,reservoir_capacity_m3,raw_left_cells_json,raw_right_cells_json
table_1_all.pdf,section_i,1,1,2,tbl-3.md,tbl-9.md,11,1,matched,Bahia,Companhia Luz e Força,Ilhéos,—,1916,Hydraulica...,T. H.,3,900,59,9,21500,220,Alternativa...,3,50,1,32,,,,,,,,,,,"[""Companhia Luz e Força"", ""Ilhéos"", ""—"", ""1916""]","[""Hydraulica..."", ""T. H."", ""3"", ""900"", ""59"", ""9"", ""21.500"", ""220"", ""Alternativa..."", ""3"", ""50"", ""1"", ""32""]"
table_1_all.pdf,section_i,1,1,2,tbl-3.md,tbl-9.md,11,2,matched,Bahia,Companhia Luz e Força,Ilhéos,—,1916,,,,,,,,120,,,,,,,,,,,,,,,,"[""Companhia Luz e Força"", ""Ilhéos"", ""—"", ""1916""]","["""", """", """", """", """", """", """", ""120"", """", """", """", """", """"]"
table_1_all.pdf,section_i,1,1,2,tbl-3.md,tbl-9.md,12,1,matched,Bahia,Companhia Distribuidora de Luz e Força do Estado da Bahia,Santo Amaro,—,1920,Thermica...,C. I.,2,110,-,20,-,110,Alternativa...,3,60,-,5,,,,,,,,,,,"[""Companhia Distribuidora de Luz e Força do Estado da Bahia"", ""Santo Amaro"", ""—"", ""1920""]","[""Thermica..."", ""C. I."", ""2"", ""110"", ""-"", ""20"", ""-"", ""110"", ""Alternativa..."", ""3"", ""60"", ""-"", ""5""]"
table_1_all.pdf,section_i,1,1,2,tbl-3.md,tbl-9.md,13,1,matched,Bahia,Municipalidade de São Salvador,São Salvador,—,1907,Thermica...,C. I.,7,2616,-,120,3300,380,Continua...,-,-,-,-,,,,,,,,,,,"[""Municipalidade de São Salvador"", ""São Salvador"", ""—"", ""1907""]","[""Thermica..."", ""C. I."", ""7"", ""2.616"", ""-"", ""120"", ""3.300"", ""380"", ""Continua..."", ""-"", ""-"", ""-"", ""-""]"
table_1_all.pdf,section_i,1,1,2,tbl-3.md,tbl-9.md,13,2,matched,Bahia,Municipalidade de São Salvador,São Salvador,—,1907,,,,,,,,220,Alternativa...,3,50,-,,,,,,,,,,,,"[""Municipalidade de São Salvador"", ""São Salvador"", ""—"", ""1907""]","["""", """", """", """", """", """", """", ""220"", ""Alternativa..."", ""3"", ""50"", ""-"", """"]"
table_1_all.pdf,section_i,1,1,2,tbl-3.md,tbl-9.md,14,1,matched,Bahia,Companhia Linha Circular de Carris da Bahia,São Salvador,Preguiça,1907,Thermica...,M. V.,4,4700,2,-,11000,220,Alternativa...,3,50,-,6,,,,,,,,,,,"[""Companhia Linha Circular de Carris da Bahia"", ""São Salvador"", ""Preguiça"", ""1907""]","[""Thermica..."", ""M. V."", ""4"", ""4.700"", ""2"", ""-"", ""11.000"", ""220"", ""Alternativa..."", ""3"", ""50"", ""-"", ""6""]"
table_1_all.pdf,section_i,1,1,2,tbl-3.md,tbl-9.md,15,1,matched,Bahia,Companhia Valença Industrial,Valença,Nossa Senhora do Amparo,1913,Hydraulica...,T. H.,1,100,5,-,220,220,Alternativa...,3,50,-,-,,,,,,,,,,,"[""Companhia Valença Industrial"", ""Valença"", ""Nossa Senhora do Amparo"", ""1913""]","[""Hydraulica..."", ""T. H."", ""1"", ""100"", ""5"", ""-"", ""220"", ""220"", ""Alternativa..."", ""3"", ""50"", ""-"", ""-""]"
table_1_all.pdf,section_i,1,1,2,tbl-4.md,tbl-10.md,16,1,matched,Ceará,Orphanato Casa de São Francisco,Canindé,São Francisco,1918,Thermica...,C. I.,1,15,-,1,-,110,Continua...,-,-,-,1,,,,,,,,,,,"[""Orphanato Casa de São Francisco"", ""Canindé"", ""São Francisco"", ""1918""]","[""Thermica..."", ""C. I."", ""1"", ""15"", ""-"", ""1"", ""-"", ""110"", ""Continua..."", ""-"", ""-"", ""-"", ""1""]"
table_1_all.pdf,section_i,1,1,2,tbl-4.md,tbl-10.md,17,1,matched,Ceará,Dr Audalio Costa,Crato,—,1920,Thermica...,M. V.,1,75,-,5,-,220,Continua...,-,-,-,6,,,,,,,,,,,"[""Dr Audalio Costa"", ""Crato"", ""—"", ""1920""]","[""Thermica..."", ""M. V."", ""1"", ""75"", ""-"", ""5"", ""-"", ""220"", ""Continua..."", ""-"", ""-"", ""-"", ""6""]"
table_1_all.pdf,section_i,1,1,2,tbl-4.md,tbl-10.md,18,1,matched,Ceará,Empresa Electrica de Maranguape,Maranguape,—,1917,Thermica...,M. V.,1,25,-,2,-,220,Continua...,-,-,-,6,,,,,,,,,,,"[""Empresa Electrica de Maranguape"", ""Maranguape"", ""—"", ""1917""]","[""Thermica..."", ""M. V."", ""1"", ""25"", ""-"", ""2"", ""-"", ""220"", ""Continua..."", ""-"", ""-"", ""-"", ""6""]"
