entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,merchandise_sales_revenue_1985_million_cruzeiros,merchandise_sales_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
BRASIL,723 409,"100,0",2 704 338,"100,0",34 556 170,"100,0",,,25,mistral_table_partial,yes
TOTAL DAS REGIÕES METROPOLITANAS,209 749,"29,0",1 521 942,"41,1",17 041 669,"49,3",241 992 808,"56, 9",25,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,513 660,"71,0",2 162 396,"58,9",17 514 501,"50,7",16 780 172,74 '4,25,mistral_table_plus_pdf_text_layout,no
REGIÃO NORTE,36 353,"100,0",155 316,"100,0",1 598 760,"100,0",25 239 223,"100,0",25,mistral_table_plus_pdf_text_layout,no
TOTAL DA REGIÃO METROPOLITANA,4 220,"11,6",34 501,"22,2",311 877,"19,5",,,25,mistral_table_partial,yes
DEMAIS MUNICIPIOS,32 133,"88,4",120 815,"77,8",1 285 883,"80,5",6 257 524,31 '6,25,mistral_table_plus_pdf_text_layout,no
PARA,15 566,"100,0",71 656,"100,0",702 822,"100,0",,,25,mistral_table_partial,yes
REGIÃO METROPOLITANA - BELEM,4 220,"27,1",34 501,"48,1",311 877,"44,4",,,25,mistral_table_partial,yes
DEMAIS MUNICIPIOS,11 345,"72,9",37 157,"51,9",390 945,"55,6",168 955 328,"A1, 1",25,mistral_table_plus_pdf_text_layout,no
REGIÃO NORDESTE,156 016,"100,0",632 262,"100,0",4 914 003,"100,0",,,25,mistral_table_partial,yes
TOTAL DAS REGIÕES METROPOLITANAS,30 375,"19,5",203 124,"32,1",1 950 737,"39,7",42 278 291,"27, 7",25,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,125 640,"80,5",429 138,"67,9",2 963 266,"60,3",104 488 265,41' 3,25,mistral_table_plus_pdf_text_layout,no
CEARA,25 026,"100,0",97 465,"100,0",783 663,"100,0",,,25,mistral_table_partial,yes
