order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_service_activity_1980,salaries_withdrawals_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_service_activity_1985,salaries_withdrawals_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,,,,,,,,,,,,54,55,mistral_table_partial,mistral_table_partial,yes
2,ALOJAMENTO E ALIMENTAÇÃO,,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
3,ALOJAMENTO,,,,,,,,,,,,54,55,mistral_table_partial,missing,yes
4,ALIMENTAÇÃO,,,,,,325,329,9a3,1 367,16 086 305,79 na 120,54,55,mistral_table_partial,pdf_text_layout,yes
5,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",,,,,,,,,,,,54,55,mistral_table_partial,missing,yes
6,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
7,"PESSOAIS, DE HIGIENE E ESTETICA PESSOAL",,,,,,26 S97,27 536,93 53E,55 223,630 335 406,1 803 070 259,54,55,mistral_table_partial,pdf_text_layout,yes
8,PESSOAIS,,,,,,,,,,,,54,55,mistral_table_partial,missing,yes
9,HIGIENE E DE ESTETICA PESSOAL,,,,,,,,,,,,54,55,mistral_table_partial,mistral_table_partial,yes
10,"RADIODIFUSÃO, TELEVISÃO E DIVERSÕES",,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
11,RADIODIFUSÃO E TELEVISÃO,,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
12,DIVERSÕES,,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
13,AUXILIARES DIVERSOS,,,,,,77 435,as 785,1 234 963,1 012 962,17 A90 327 257,'50 551 009 729,54,55,mistral_table_partial,pdf_text_layout,yes
14,AUX. DA AGROPECUARIA E REFLORESTAMENTO,,,,,,1 S50,1 9a6,80 286,65 742,", 275 850 146",2. 721 ~30 762,54,55,mistral_table_partial,pdf_text_layout,yes
15,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",,,,,,,,,,,,54,55,mistral_table_partial,missing,yes
16,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
17,AUXILIARES DOS TRANSPORTES,,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
18,"AUX. CONSTRUÇÃO, OBRAS, GEODESIA, ETC",,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
19,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",,,,,,32,38,651 483,5,971 328,22 189,54,55,mistral_table_partial,mistral_table,yes
20,AUX. PRESTADOS À EMPRESAS E PESSOAS,,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_tokens_partial,yes
21,AUXILIARES DA SAÚDE,,,,,,s 719,6 045,33 945,23 027,316 919 422,139 368 677,54,55,mistral_table_partial,pdf_text_layout,yes
22,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMÓVEIS",,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
23,COMPRA E VENDA DE BENS IMÓVEIS,,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
24,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",,,,,,6 661,6 8SS,46 SS3,32· 358,561 535 189,3S3 551 787,54,55,mistral_table_partial,pdf_text_layout,yes
25,REGIÃO CENTRO-OESTE,,,,,,302,309,870 478,6,791 719,18 145,54,55,mistral_table_partial,mistral_table,yes
26,ALOJAMENTO E ALIMENTAÇÃO,,,,,,11 972,1 2 161,43 1as,23 690,24S 070 1 96,1 281 79S 097,54,55,mistral_table_partial,pdf_text_layout,yes
27,ALOJAMENTO,,,,,,1 353,1 402,11 535,B 726,86 701 741,380 049 116,54,55,mistral_table_partial,pdf_text_layout,yes
28,ALIMENTAÇÃO,,,,,,10 619,10 779,32 250,14 964,1 58 368 45S,901 74S 981,54,55,mistral_table_partial,pdf_text_layout,yes
29,"REPARAÇÂQ, MANUTENÇÂQ E l NS T ALAÇÃQ",334,20 692,12 58 s,848 396,231 750,704 811,22 826,13 250,18.4,142 361,SS9 569 476,54,55,pdf_text_layout,pdf_text_layout,no
30,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
31,"PESSOAIS, DE HIGlENE E ESTETICA PESSOAL",",",581,109 970,392 321,1 226 260,,,,,,,54,55,pdf_text_layout,pdf_text_layout_partial,yes
32,PESSOAIS,563,2 073,1 205,164 397,679 638,,,,,,,54,55,mistral_table,mistral_table_partial,yes
33,HIGIENE E DE ESTETICA PESSOAL,1 018,3 036,1 765,227 924,546 622,,,,,,,54,55,mistral_table,pdf_text_layout_partial,yes
34,"RADIODIFUSÃO, TELEVISÃO E DIVERSÕES",407,695,263,740 195,576 711,314,371,s 126,A 1 94,76 676 233,270 522 729,54,55,pdf_text_layout,pdf_text_layout,no
