entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,total_revenue_1985_million_cruzeiros,total_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
REGIÃO NORTE,17 013,"100,0",96 381,"100,0",1 003 615,"100,0",734 626,"100,0",52,mistral_table_plus_pdf_text_layout,no
TOTAL DAS CAPITAIS,7 026,"41,3",54 039,"56,1",599 953,"55,8",7 347 020,"59,8",52,mistral_table_plus_pdf_text_layout,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,403,"2,4",2 123,"2,2",17 836,"1,6",527 902,", 8t1",52,mistral_table_plus_pdf_text_layout,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,9 586,"56,3",40 219,"41,7",389 826,"36,4",21 5 117,"29, 3",52,mistral_table_plus_pdf_text_layout,no
RONDONIA,3 184,"100,0",12 302,"100,0",118 881,"100,0",449 934,100. e,52,mistral_table_plus_pdf_text_layout,no
CAPITAL,1 206,"37,9",5 370,"43,7",56 355,"47,4",824 430,46' 7,52,mistral_table_plus_pdf_text_layout,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 978,"62,1",6 932,"56,3",62 522,"52,6",642 81 s,"22,0",52,mistral_table_plus_pdf_text_layout,no
ACRE,1 040,"100,0",3 570,"100,0",44 770,"100,0",136 218,"100, o",52,mistral_table_plus_pdf_text_layout,no
CAPITAL,649,"62,4",2 522,"70,6",33 384,"74,6",550 393,68' 1,52,mistral_table_plus_pdf_text_layout,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,391,"37,6",1 048,"29,4",11 386,"25,4",,,52,mistral_table_partial,yes
AMAZONAS,3 098,"100,0",22 277,"100,0",253 694,"100,0",1 012 S61,"100,0",52,mistral_table_plus_pdf_text_layout,no
CAPITAL,2 022,"65,3",18 854,"84,6",216 890,"85,3",21 3 574,"51 ,8",52,mistral_table_plus_pdf_text_layout,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 076,"34,7",3 423,"15,4",34 805,"13,7",,,52,mistral_table_partial,yes
RORAIMA,438,"100,0",2 255,"100,0",29 790,"100,0",6S 778,"100,0",52,mistral_table_plus_pdf_text_layout,no
CAPITAL,365,"83,3",2 030,"90,0",27 038,"90,6",1 ss S21,"33, 6",52,mistral_table_plus_pdf_text_layout,no
MUNICIPIOS COM 100.000 HABITANTES,73,"16,7",225,"10,0",2 2 751,"9,2",,,52,mistral_table_partial,yes
PARA,6 950,"100,0",47 537,"100,0",489 047,"100,0",1 763 945,"100,D",52,mistral_table_plus_pdf_text_layout,no
CAPITAL,2 279,"32,6",22 706,"47,8",234 537,"48,0",366 127,"66, 9",52,mistral_table_plus_pdf_text_layout,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,403,"5,8",2 123,"4,5",17 836,"3,6",22 570,"4, 1",52,mistral_table_plus_pdf_text_layout,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,4 268,"61,4",22 708,"47,8",236 674,"48,4",,,52,mistral_table_partial,yes
AMAPA,508,"100,0",2 574,"100,0",30 639,"100,0",,,52,mistral_table_partial,yes
CAPITAL,457,"90,0",2 439,"94,8",29 242,"95,4",2S4 609,"6S, 1",52,mistral_table_plus_pdf_text_layout,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,51,"10,0",135,"5,2",1 398,"4,6",8 301,"7,7",52,mistral_table,no
TOCANTINS,1 795,"100,0",5 866,"100,0",36 793,"100,0",,,52,mistral_table_partial,yes
CAPITAL,45,"2,6",118,"2,0",503,"1,4",2 736,"1,6",52,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 749,"97,4",5 748,"98,0",36 290,"98,6",,,52,mistral_table_partial,yes
TOTAL DAS CAPITAIS,23 370,"29,4",157 154,"51,2",2 061 565,"61,2",,,52,mistral_table_partial,yes
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,12 460,"15,7",46 794,"12,7",356 239,"10,6",,,52,mistral_table_partial,yes
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,43 677,"54,9",139 195,"36,1",945 705,"28,2",,,52,mistral_table_partial,yes
MARANHÃO,5 179,"100,0",27 754,"100,0",211 738,"100,0",807 97S,"100,0",52,mistral_table_plus_pdf_text_layout,no
CAPITAL,2 122,"41,0",16 801,"60,5",147 253,"69,5",,,52,mistral_table_partial,yes
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,855,"16,5",3 645,"13,1",20 690,"9,8",,,52,mistral_table_partial,yes
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 202,"42,5",7 308,"26,3",43 795,"20,7",,,52,mistral_table_partial,yes
PIAUI,4 145,"100,0",17 230,"100,0",113 119,"100,0",412 342,"100,0",52,mistral_table_plus_pdf_text_layout,no
CAPITAL,1 157,"27,9",8 803,"51,1",67 040,"59,3",,,52,mistral_table_partial,yes
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,341,"8,2",1 022,"5,9",5 152,"4,6",,,52,mistral_table_partial,yes
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 647,"63,9",7 405,"43,0",40 928,"36,2",,,52,mistral_table_partial,yes
CEARA,10 180,"100,0",53 162,"100,0",450 505,"100,0",S56 449,"100,0",52,mistral_table_plus_pdf_text_layout,no
CAPITAL,4 092,"40,2",33 582,"63,2",322 217,"71,5",,,52,mistral_table_partial,yes
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,842,"8,3",3 054,"5,7",19 999,"14,4",,,52,mistral_table_partial,yes
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,5 246,"51,5",16 526,"31,1",108 289,"24,0",,,52,mistral_table_partial,yes
RIO GRANDE DO NORTE,4 280,"100,0",21 193,"100,0",183 235,"100,0",,,52,mistral_table_partial,yes
CAPITAL,1 480,"34,6",12 116,"57,2",118 275,"64,5",,,52,mistral_table_partial,yes
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,475,"11,1",1 988,"9,4",13 965,"7,6",,,52,mistral_table_partial,yes
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 325,"54,3",7 089,"33,4",50 995,"27,8",,,52,mistral_table_partial,yes
PARAÍBA,4 161,"100,0",19 376,"100,0",144 154,"100,0",,,52,mistral_table_partial,yes
CAPITAL,1 775,"18,6",6 807,"35,1",39 813,"27,6",,,52,mistral_table_partial,yes
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,879,"21,1",3 635,"18,8",25 936,"18,0",,,52,mistral_table_partial,yes
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 507,"60,3",8 934,"46,1",78 405,"54,4",,,52,mistral_table_partial,yes
PERHAMBUCU,16 420,"100,0",83 454,"100,0",795 087,"100,0",,,52,mistral_table_partial,yes
CAPITAL,5 022,"30,6",45 666,"54,7",516 631,"65,2",,,52,mistral_table_partial,yes
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,3 384,"20,6",14 790,"17,7",123 004,"15,5",,,52,mistral_table_partial,yes
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,6 014,"48,8",22 998,"27,6",153 452,"19,2",,,52,mistral_table_partial,yes
ALAGOAS,3 888,"100,0",18 578,"100,0",162 863,"100,0",547 390,"100,0",52,mistral_table_plus_pdf_text_layout,no
CAPITAL,1 729,"44,5",11 674,"62,6",113 326,"70,8",,,52,mistral_table_partial,yes
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,395,"10,2",1 389,"7,5",8 542,"5,2",,,52,mistral_table_partial,yes
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 764,"45,4",5 515,"29,7",38 693,"23,9",,,52,mistral_table_partial,yes
BANÍA,26 489,"100,0",131 744,"100,0",1 211 094,"100,0",4 454 810,"100,0",53,mistral_table,no
CAPITAL,5 949,"20,9",54 640,"41,5",667 595,"55,1",2 485 132,"55,9",53,mistral_table,no
MUNICÍPIOS COM 100.000 OU MAIS HABITANTES,5 289,"16,6",19 271,"14,6",140 951,"11,6",460 857,"10,3",53,mistral_table,no
MUNICÍPIOS COM MENOS DE 100.000 HABITANTES,17 251,"60,6",57 833,"43,9",402 546,"33,2",1 504 822,"33,6",53,mistral_table,no
REGIÃO SUDESTE,244 472,"100,0",1 559 644,"100,0",16 263 645,"100,0",70 957 024,"100,0",53,mistral_table,no
TOTAL DAS CAPITAIS,86 686,"35,5",796 743,"51,1",11 944 139,"65,4",47 972 665,"67,6",53,mistral_table,no
MUNICÍPIOS COM 100.000 OU MAIS HABITANTES,74 529,"30,5",403 754,"25,9",3 790 628,"20,8",14 022 580,"15,8",53,mistral_table,no
