source_file,page,source_table_id,row_in_table,state,row_type,energy_source,primary_motor_type,primary_motor_number,primary_motor_hp,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,current_type,phases,cycles,transformer_stations,personnel
all_tables.pdf,6,tbl-26.md,1,Minas Geraes,data,Hydraulica...,T. H.,1,30,1,4,220,220,Continua...,—,—,—,1
all_tables.pdf,6,tbl-26.md,2,Minas Geraes,data,Hydraulica...,T. H.,2,1000,13,10,10000,2200220,Alternativa...,3,50,1,10
all_tables.pdf,6,tbl-26.md,3,Minas Geraes,data,Hydraulica...,T. H.,1,170,11,40,3300,110,Alternativa...,3,50,1,4
all_tables.pdf,6,tbl-26.md,4,Minas Geraes,data,Hydraulica...,T. H.,2,2000,14,—,16000,2000220,Alternativa...,3,60,1,18
all_tables.pdf,6,tbl-26.md,5,Minas Geraes,data,Hydraulica...,T. H.,1,120,12,4,4400,220120,Alternativa...,3,50,1,4
all_tables.pdf,6,tbl-26.md,6,Minas Geraes,data,Thermica...,C. I.,2,1330,—,47,—,2060120,Alternativa...,3,60,—,—
all_tables.pdf,6,tbl-26.md,7,Minas Geraes,data,Hydraulica...,T. H.,3,2450,47,—,45000,2000220,Alternativa...,3,60,1,—
all_tables.pdf,6,tbl-26.md,8,Minas Geraes,data,Hydraulica...,T. H.,1,14,2,2,110,110,Continua...,—,—,—,2
all_tables.pdf,6,tbl-26.md,9,Minas Geraes,data,Hydraulica...,T. H.,1,107,4,6,3200,220125,Alternativa...,3,60,1,2
all_tables.pdf,6,tbl-26.md,10,Minas Geraes,data,Hydraulica...,T. H.,1,320,58,—,11400,220110,Alternativa...,3,60,1,8
all_tables.pdf,6,tbl-26.md,11,Minas Geraes,data,Hydraulica...,T. H.,2,1300,18,17,11000,220,Alternativa...,3,60,1,5
all_tables.pdf,6,tbl-26.md,12,Minas Geraes,data,Hydraulica...,T. H.,1,60,4,8,3000,120,Alternativa...,3,50,1,4
all_tables.pdf,6,tbl-26.md,13,Minas Geraes,data,Hydraulica...,T. H.,1,170,9,—,220,110,Alternativa...,3,50,1,4
all_tables.pdf,6,tbl-26.md,14,Minas Geraes,data,Hydraulica...,T. H.,2,4000,200,120,4500015000,4000220110,Alternativa...,3,50,1,60
all_tables.pdf,6,tbl-26.md,15,Minas Geraes,data,Hydraulica...,R. A.,1,120,6,4,2300,120,Alternativa...,3,60,1,10
all_tables.pdf,6,tbl-26.md,16,Minas Geraes,data,Hydraulica...,T. H.,1,100,27,50,11000,110,Alternativa...,2,60,—,5
all_tables.pdf,6,tbl-26.md,17,Minas Geraes,data,Hydraulica...,T. H.,2,160,12,—,5600,220,Alternativa...,1,50,1,8
all_tables.pdf,8,tbl-30.md,1,Minas Geraes,data,Hydraulica...,T. H.,1,116,1,3,3000,220110,Alternativa...,2,50,-,2
all_tables.pdf,8,tbl-30.md,2,Minas Geraes,data,Hydraulica...,T. H.,1,125,10,3,4000,110,Alternativa...,3,50,-,4
all_tables.pdf,8,tbl-30.md,3,Minas Geraes,data,Hydraulica...,T. H.,1,200,1,1,220,220,Continua ...,-,-,-,1
all_tables.pdf,8,tbl-30.md,4,Minas Geraes,data,Hydraulica...,R. A.,2,300,11,10,10000,220120,Alternativa...,3,60,1,14
all_tables.pdf,8,tbl-30.md,5,Minas Geraes,data,Hydraulica...,T. H.,1,12,2,1,220,220,Continua ...,-,-,-,-
all_tables.pdf,8,tbl-30.md,6,Minas Geraes,data,Hydraulica...,T. H.,1,55,9,10,6600,220120,Alternativa...,3,60,-,2
all_tables.pdf,8,tbl-30.md,7,Minas Geraes,data,Hydraulica...,T. H.,1,81,2,3,2100,110,Alternativa...,3,60,1,3
all_tables.pdf,8,tbl-30.md,8,Minas Geraes,data,Hydraulica...,T. H.,2,200,2,-,2200,110,Alternativa...,2,60,1,5
all_tables.pdf,8,tbl-30.md,9,Minas Geraes,data,Hydraulica...,T. H.,1,22,18,3,6000,220,Alternativa...,3,50,-,3
all_tables.pdf,8,tbl-30.md,10,Minas Geraes,data,Hydraulica...,T. H.,1,600,6,16,6600,110,Alternativa...,3,50,1,8
all_tables.pdf,8,tbl-30.md,11,Minas Geraes,data,Hydraulica...,T. H.,1,500,4,12,6600,110,Alternativa...,3,50,-,8
all_tables.pdf,8,tbl-30.md,12,Minas Geraes,data,Hydraulica...,T. H.,2,2100,34,70,15000,4000220120,Alternativa...,3,50,2,18
all_tables.pdf,8,tbl-30.md,13,Minas Geraes,data,Hydraulica...,T. H.,1,75,10,10,6600,2200110,Alternativa...,2,60,1,4
all_tables.pdf,8,tbl-30.md,14,Minas Geraes,data,Hydraulica...,T. H.,2,560,4,15,5000,220120,Alternativa...,3,50,2,7
all_tables.pdf,8,tbl-30.md,15,Minas Geraes,data,Hydraulica...,T. H.,1,190,18,4,11000,110,Alternativa...,3,60,1,-
all_tables.pdf,8,tbl-30.md,16,Minas Geraes,data,Hydraulica...,T. H.,1,300,50,6,11000,220,Alternativa...,3,50,-,18
all_tables.pdf,8,tbl-30.md,17,Minas Geraes,data,Hydraulica...,T. H.,1,100,1,5,2000,120,Alternativa...,3,50,-,2
