source_file,page,source_table_id,row_in_table,state_context,adduction_material,pipe_diameter_mm,pipe_thickness_mm,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,transformer_stations,watercourse_used,reservoir_capacity_m3
all_tables.pdf,40,tbl-107.md,4,,Ferro.,1000,12,54,-,10500,220,1,Ribeirão Pinheirinho.,14000
all_tables.pdf,40,tbl-107.md,5,,Aço.,800,5,20,5,10000,2000,1,Rio Jacaré.,-
all_tables.pdf,40,tbl-107.md,6,,Ferro batido.,700,10,34,-,5000,220,1,Ribeirão São Paulo.,-
all_tables.pdf,40,tbl-107.md,7,,Ferro batido.,1225,7,123,135,10500,220,1,Rio Dourado.,5000
all_tables.pdf,40,tbl-107.md,8,,Ferro batido.,2500,8,150,185,10000,220,1,Rio Verde.,-
all_tables.pdf,40,tbl-107.md,9,,Ferro batido.,-400,3,50,76,10000,220,1,Ribeirão Vermelho.,-
all_tables.pdf,40,tbl-107.md,10,,Aço.,-,-,47,-,45000,220,1,"Rio de Pedras, Rio das Velhas e Rio Maracujá.",-
all_tables.pdf,40,tbl-107.md,11,,Aço.,1000,6,3,15,2300,220,1,Rio Funil.,100
all_tables.pdf,40,tbl-107.md,12,,Aço.,1200,6,16,-,25000,-,1,Rio Pinho ou Formoso.,-
all_tables.pdf,40,tbl-107.md,13,,Ferro.,200,3,14,4,5000,220,1,Rio Passa Quatro.,25
all_tables.pdf,40,tbl-107.md,14,,-,-,-,12,9,6600,110,1,Ribeirão da Matta.,-
all_tables.pdf,40,tbl-107.md,15,,Ferro.,600,6,7,6,6600,110,1,Ribeirão dos Coelhos.,-
all_tables.pdf,40,tbl-107.md,16,,Canal.,-,-,2,10,110,110,-,Rio São Francisco.,-
all_tables.pdf,42,tbl-110.md,1,,Canal.,-,-,9,10,5000,220,2,Rio Pará.,-
all_tables.pdf,42,tbl-110.md,2,,Ferro e cimento.,800,20,34,8,6600,110,1,Ribeirão das Araras.,-
all_tables.pdf,42,tbl-110.md,3,,Chapas de aço.,930,6,5,20,2300,110,1,Rio das Antas.,-
all_tables.pdf,42,tbl-110.md,4,,Aço e cimento.,-,-,12,6,10000,220,1,Rio Piranga.,-
all_tables.pdf,42,tbl-110.md,5,,Ferro batido.,1400,8,29,18,15000,220,1,Rio Mogy.,120000
all_tables.pdf,42,tbl-110.md,6,,Aço.,900,6,15,32,22000,3000,1,Ribeirão Pé do Morro.,-
all_tables.pdf,42,tbl-110.md,7,,,600,,,,,220,,,
all_tables.pdf,42,tbl-110.md,8,,Ferro.,250,7,2,3,250,250,-,Ribeirão Diogo de Oliveira.,240000
all_tables.pdf,42,tbl-110.md,9,,Ferro batido.,800,5,4,7,6000,220,-,Correço do Bananal.,-
