source_file,page,source_table_id,row_in_table,state,company,municipality,plant,installation_year
all_tables.pdf,5,tbl-23.md,14,Minas Geraes,"Companhia Brasileira de Tramways, Luz e Força",Carangola,Tombos,1914
all_tables.pdf,5,tbl-23.md,15,Minas Geraes,Companhia Industrial de Caratinga,Caratinga,Cachoeira do Lago,1919
all_tables.pdf,5,tbl-23.md,16,Minas Geraes,S A Força e Luz de Carmo do Rio Claro,Carmo do Rio Claro,Santa Quiteria,1916
all_tables.pdf,5,tbl-23.md,17,Minas Geraes,Municipalidade de Caxambú,Caxambú,Furnas,1911
all_tables.pdf,7,tbl-28.md,1,Minas Geraes,Municipalidade de Christina,Christina,Godefredo Fonseca,1911
all_tables.pdf,7,tbl-28.md,2,Minas Geraes,Carneiro Junqueira & Companhia,Conceição do Rio Verde,—,1919
all_tables.pdf,7,tbl-28.md,3,Minas Geraes,Companhia Cedro e Cachoeira,Curvello,Fabrica de Cachoeira,1907
all_tables.pdf,7,tbl-28.md,4,Minas Geraes,"Ramos, Guerra & Companhia",Diamantina,Santa Maria,1912
all_tables.pdf,7,tbl-28.md,5,Minas Geraes,Miranda & Gomes,»,—,1913
all_tables.pdf,7,tbl-28.md,6,Minas Geraes,Empresa Dorense de Electricidade,Dóres da Bôa Esperança,—,1920
all_tables.pdf,7,tbl-28.md,7,Minas Geraes,Empresa Luz Electrica de Entre-Rios,Entre-Rios,—,1919
all_tables.pdf,7,tbl-28.md,8,Minas Geraes,Municipalidade de Formiga,Formiga,Santa Maria,1907
all_tables.pdf,7,tbl-28.md,9,Minas Geraes,Municipalidade de Fructal,Fructal,—,1920
all_tables.pdf,7,tbl-28.md,10,Minas Geraes,Empresa Nacional de Electricidade,Guaranesia,Santa Cleonice,1918
all_tables.pdf,7,tbl-28.md,11,Minas Geraes,,Muzambinho,Santa Nair,1911
all_tables.pdf,7,tbl-28.md,12,Minas Geraes,Companhia Industrial Sul Mineira,Itajubá,Lourenço Velho,1914
all_tables.pdf,7,tbl-28.md,13,Minas Geraes,Municipalidade de Itapecerica,Itapecerica,—,1918
all_tables.pdf,7,tbl-28.md,14,Minas Geraes,Companhia Industrial Itadnense,Itaúna,—,1912
all_tables.pdf,7,tbl-28.md,15,Minas Geraes,"Siqueira, Meirelles, Junqueira & Companhia",Jacuhy,—,1912
all_tables.pdf,7,tbl-28.md,16,Minas Geraes,Municipalidade de Jaguary,Jaguary,Municipal,1913
all_tables.pdf,7,tbl-28.md,17,Minas Geraes,Companhia Mineira de Electricidade,Juz de Póra,Marmellos,1889
all_tables.pdf,7,tbl-28.md,18,Minas Geraes,Municipalidade de Lavras e Estrada de Ferro Oeste de Minas,Lavras,—,1909
all_tables.pdf,7,tbl-28.md,19,Minas Geraes,Companhia Força e Luz Cataguazes-Leopoldina,Leopoldina,Maurício,1907
all_tables.pdf,7,tbl-28.md,20,Minas Geraes,,Pomba,Santo Antonio,1918
all_tables.pdf,7,tbl-28.md,21,Minas Geraes,,São Paulo do Muriahé,Coronel Domiciano,1910
all_tables.pdf,9,tbl-32.md,1,Minas Geraes,Companhia Regional de Força e Luz,Lima Duarte,—,1918
all_tables.pdf,9,tbl-32.md,2,Minas Geraes,"The Ouro Preto Gold Mines of Brazil, Limited",Marianna,—,1911
all_tables.pdf,9,tbl-32.md,3,Minas Geraes,,»,—,1906
all_tables.pdf,9,tbl-32.md,4,Minas Geraes,Rossetti & Centola,Monte Santo,—,1910
all_tables.pdf,9,tbl-32.md,5,Minas Geraes,Municipalidade de Oliveira,Oliveira,Jacaré,1907
all_tables.pdf,9,tbl-32.md,6,Minas Geraes,,Ouro Pino,—,1910
all_tables.pdf,9,tbl-32.md,7,Minas Geraes,,Paraisopolis,Dr Bueno de Paiva,1912
all_tables.pdf,9,tbl-32.md,8,Minas Geraes,Companhia Sul Mineira de Electricidade,São Gonçalo do Sapucahy,Rio Dourado,1912
all_tables.pdf,9,tbl-32.md,9,Minas Geraes,,Varginha,Rio Verde,1910
all_tables.pdf,9,tbl-32.md,10,Minas Geraes,Companhia Ouropretana de Electricidade,Ouro Preto,Tombadouro,1902
all_tables.pdf,9,tbl-32.md,11,Minas Geraes,Companhia Brasileira de Carbureto de Calcio,Palmyra,Guary,1912
all_tables.pdf,9,tbl-32.md,12,Minas Geraes,Municipalidade de Passa Quatro,Passa Quatro,—,1911
all_tables.pdf,9,tbl-32.md,13,Minas Geraes,Municipalidade de Patos,Patos,—,1915
all_tables.pdf,9,tbl-32.md,14,Minas Geraes,Municipalidade de Peidões,Perdões,—,1918
all_tables.pdf,9,tbl-32.md,15,Minas Geraes,Companhia Industria e Viação de Pirapora,Pirapora,—,1919
