source_file,page,source_table_id,row_in_table,state,company,municipality_plant_location,plant,electrical_installation_capacity_hp,total_waterfall_capacity_hp,waterfall_height_m,extension_m
all_tables.pdf,39,tbl-105.md,5,,Rossetti & Centola,Monte Santo,—,40,1800,33,60
all_tables.pdf,39,tbl-105.md,6,,Municipalidade de Oliveira,Oliveira.,Jacaré,660,1200,27,110
all_tables.pdf,39,tbl-105.md,7,,Companhia Sol Mineira de Electricidade,Ouro Fino,—,700,700,49,160
all_tables.pdf,39,tbl-105.md,8,,,São Gonçalo do Sapucahy,Rio Dourado,1000,1500,17,100
all_tables.pdf,39,tbl-105.md,9,,,Varginha,Rio Verde,1250,2000,8,34
all_tables.pdf,39,tbl-105.md,10,,,Pataisopolis,Dr Bueno de Paiva,460,700,150,666
all_tables.pdf,39,tbl-105.md,11,,Companhia de Electricidade e Viação Urbana de Minas Gerais,Ouro Preto,Rio de Pedras,2450,3800,50,—
all_tables.pdf,39,tbl-105.md,12,,Companhia Ouropretana de Electricidade,Ouro Preto,Tombadouro,320,370,25,22
all_tables.pdf,39,tbl-105.md,13,,Companhia Brasileira de Carbureto de Calcio,Palmyra,Guaiy,7800,9000,72,660
all_tables.pdf,39,tbl-105.md,14,,Municipalidade de Passa Quatro,Passa Quatro,—,160,160,104,300
all_tables.pdf,39,tbl-105.md,15,,Municipalidade de Patos,Patos,—,120,125,—,—
all_tables.pdf,39,tbl-105.md,16,,Municipalidade de Perdões,Perdões,—,120,120,46,600
all_tables.pdf,39,tbl-105.md,17,,Companhia Industria e Viação de Pirapora,Pirapora,—,180,15000,6,—
all_tables.pdf,41,tbl-108.md,3,,Companhia Industrial Pitanguyense,Pitanguy,—,400,3000,8,—
all_tables.pdf,41,tbl-108.md,4,,Municipalidade de Piumhy,Piumhy,—,60,180,30,35
all_tables.pdf,41,tbl-108.md,5,,Luiz José Dias & Companhia,Poços de Caldas,—,930,4000,90,250
all_tables.pdf,41,tbl-108.md,6,,Municipalidade de Ponte Nova,Ponte Nova,—,516,900,8,280
all_tables.pdf,41,tbl-108.md,7,,Municipalidade de Pouso Alegre,Pouso Alegre,Ponte de Pedras,150,150,12,15
all_tables.pdf,41,tbl-108.md,8,,Baêta & Mello,Qusluz,Hydrodina,543,1200,86,236
all_tables.pdf,41,tbl-108.md,9,,W T Atherton,Rio Piracicaba,Lages,7,30,15,62
all_tables.pdf,41,tbl-108.md,10,,Empresa Hydro Electrica Nacional,Rio Preto,Ronea,200,1000,19,40
all_tables.pdf,41,tbl-108.md,11,,Municipalidade de Sabará (I),Sabará,—,115,1000,6,—
all_tables.pdf,41,tbl-108.md,12,,Municipalidade de Santa Luzia do Rio das Velhas,Sabará,—,200,220,50,100
all_tables.pdf,41,tbl-108.md,13,,Municipalidade de Conquista,Sacramento,Sacramento,679,1200,16,20
all_tables.pdf,41,tbl-108.md,14,,Companhia Industrial Bello Horizonte,Santa Luzia do Rio das Velhas,—,256,1000,21,—
all_tables.pdf,41,tbl-108.md,15,,Dr Estevão Leite de Magalhães Pinto,Santa Quiteria,—,380,5000,75,440
all_tables.pdf,41,tbl-108.md,16,,Companhia Poça e Luz Minas Sul,Santa Rita do Sapucahy,Delfim Moreira,500,1000,60,64
all_tables.pdf,41,tbl-108.md,17,,Municipalidade de Santo Antonio do Monte,Santo Antonio do Monte,—,150,250,31,52
all_tables.pdf,41,tbl-108.md,18,,Municipalidade de São Domingos do Prata,São Domingos do Prata,—,160,250,10,15
all_tables.pdf,43,tbl-112.md,1,,Municipalidade de São Gothardo,São Gothardo,Cachoeira da Confusão,45,51,12,12
all_tables.pdf,43,tbl-112.md,2,,Villela & Companhia,São José d'Além Parahyba,—,135,800,32,38
all_tables.pdf,43,tbl-112.md,3,,Adão Pereira de Araujo,São José d'Além Parahyba,Rio dos Aventureiros,1300,1400,60,290
all_tables.pdf,43,tbl-112.md,4,,Empresa Força e Luz de Silvestre Ferraz,Silvestre Ferraz,Força e Luz,150,150,12,10
all_tables.pdf,43,tbl-112.md,5,,Municipalidade de São João d'El-Rey,Tiradentes,—,700,1200,48,80
all_tables.pdf,43,tbl-112.md,6,,Companhia Turvense de Luz e Força,Turvo,—,130,300,50,100
all_tables.pdf,43,tbl-112.md,7,,Companhia Luz e Força de Uberabinha,Uberabinha,—,1500,12000,27,64
all_tables.pdf,43,tbl-112.md,8,,Companhia Fiação e Tecidos São Sylvestre,Viçosa,São Sylvestre,150,150,8,—
