source_file,page,source_table_id,year,company,plant,state,state_inferred_from_ditto,municipality,municipality_inferred_from_ditto,power_hp,footnotes
tables_1_2.pdf,3,tbl-5.md,1912,"The São Paulo Tramway, Light and Power Company, Limited",—,São Paulo,yes,São Paulo,no,13600,
tables_1_2.pdf,3,tbl-5.md,1913,Companhia Francana de Electricidade,Esmeril,São Paulo,no,Patrocínio do Sapucahy,no,2500,
tables_1_2.pdf,3,tbl-5.md,1914,"The Conquista—Xicão Gold Mines Company, Limited",—,Minas Gerais,no,Campanha,no,1300,
tables_1_2.pdf,3,tbl-5.md,1914,"Companhia Brasileira de Tramways, Luz e Força",Tombos,Minas Gerais,yes,Carangola,no,4000,
tables_1_2.pdf,3,tbl-5.md,1914,Companhia Industrial Sul Mineira,Lourenço Velho,Minas Gerais,yes,Itajubá,no,2100,
tables_1_2.pdf,3,tbl-5.md,1914,Adão Pereira de Araujo,Rio dos Aventureiros,Minas Gerais,yes,São José d’Além Parahyba,no,1300,
tables_1_2.pdf,3,tbl-5.md,1914,"Pernambuco Tramways and Power Company, Limited",—,Pernambuco,no,Recife,no,14000,
tables_1_2.pdf,3,tbl-5.md,1914,Empresa Força e Luz Ibero-Americana,Chave do Vaz,Rio de Janeiro,no,Cantagallo,no,1500,
tables_1_2.pdf,3,tbl-5.md,1914,Companhia Nacional de Estamparia,Baptista,São Paulo,no,Pilar,no,1770,
tables_1_2.pdf,3,tbl-5.md,1914,Companhia de Electricidade S. Simão-Cajurá,Itaipava,São Paulo,yes,Santa Rosa,no,2000,
tables_1_2.pdf,3,tbl-5.md,1914,Empresa Força e Luz de São João da Bós Vista,Santa Ignez,São Paulo,yes,São João da Bós Vista,no,1600,
tables_1_2.pdf,3,tbl-5.md,1915,"St. John del Rey Mining Company, Limited",«D»,Minas Gerais,no,Villa Nova de Lima,no,1876,
tables_1_2.pdf,3,tbl-5.md,1915,"St. John del Rey Mining Company, Limited",«E»,Minas Gerais,yes,Villa Nova de Lima,yes,1876,
tables_1_2.pdf,4,tbl-6.md,1916,"Companhia Campineira de Tracção, Luz e Força",Jaguary.,São Paulo,no,Campinas,no,7000,
tables_1_2.pdf,4,tbl-6.md,1917,Municipalidade de Barbacena,Bias Fortes,Minas Gerais,no,Barbacena,no,2000,
tables_1_2.pdf,4,tbl-6.md,1918,Governo do Estado do Rio Grande do Sul,—,Rio Grande do Sul,no,Rio Grande,no,1500,
tables_1_2.pdf,4,tbl-6.md,1919,Empresa de Electricidade de Araraquara,Chibarro,São Paulo,no,Araraquara,no,2500,
tables_1_2.pdf,4,tbl-6.md,1920,Companhia Brazileira de Energia Eléctrica,Bananeiras,Bahia,no,Cachoeira,no,15600,
tables_1_2.pdf,4,tbl-6.md,1920,Companhia de Electricidade e Viação Urbana de Minas Gerais,—,Minas Gerais,no,Bello Horizonte,no,1330,
tables_1_2.pdf,4,tbl-6.md,1920,Companhia de Electricidade e Viação Urbana de Minas Gerais,Rio de Pedras,Minas Gerais,yes,Ouro Preto,no,2450,
tables_1_2.pdf,4,tbl-6.md,1920,Empresa Força e Luz da Parahyba do Norte,Tamblá,Parahyba,no,Parahyba,no,1450,1
tables_1_2.pdf,4,tbl-6.md,1920,"The Rio de Janeiro Tramway, Light and Power Company, Limited",Parahybuna,Rio de Janeiro,no,Parahyba do Sul,no,1200,
tables_1_2.pdf,4,tbl-6.md,1920,Companhia Paulista de Força e Luz,Avanhandava,São Paulo,no,Pennapolis,no,3000,
tables_1_2.pdf,4,tbl-6.md,1920,Empresa Força e Luz de Ribeirão Preto,Burity,São Paulo,yes,Igarapava,no,1360,
tables_1_2.pdf,4,tbl-6.md,1920,Empresa Central Eléctrica de Rio Claro,Nova Mogy-Guassú,São Paulo,yes,Rio Claro,no,2870,
tables_1_2.pdf,4,tbl-6.md,1920,Companhia Força e Luz Santa Cruz,Santa Cruz,São Paulo,yes,Santa Cruz,no,1200,
tables_1_2.pdf,4,tbl-6.md,1920,Companhia Dócas de Santos,Itatinga,São Paulo,yes,Santos,no,20000,
