order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_commercialization_1980,salaries_withdrawals_other_compensation_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,commercialization_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_commercialization_1985,salaries_withdrawals_other_compensation_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,commercialization_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,616 051,2 899 808,1 400 683,336 374 405,7 365 875 544,7 306 849 325,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
2,COMERCIO VAREJISTA,570 733,2 360 085,1 197 161,225 839 906,4 244 112 493,4 207 100 387,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
3,"PROD. ALIMENTICIOS, BEBIDAS E FUMO",252 715,532 138,111 940,33 106 006,464 150 946,461 859 505,682,211,239 013,4 516,532 391,296 000,822 749,50,51,mistral_table,pdf_text_tokens,no
4,PROD. FARMACÑO,252 715,532 138,111 940,33 106 006,464 150 946,461 859 505,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
5,"PROD. ALIMENTICIOS, ODONT. E VETER",31 605,139 248,78 452,13 629 895,219 239 442,216 902 722,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
6,"TECIDOS, VESTUARIO E ARMARINHO",107 052,439 864,246 740,37 512 955,431 527 595,430 261 066,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
7,MAG. E APARELHOS ELETR. USO DOMEST,25 923,172 449,98 967,20 554 336,355 149 005,352 597 265,2 35 1,2 759,17 OIS,10 931,141 506 045,2 417 016 365,2 354 400 096,50,51,mistral_table,pdf_text_layout,no
8,"FERNAGENS, MAT. ELETR. E ELECTRONICO",36 436,207 827,104 491,22 677 834,410 433 115,406 686 622,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
9,"VEICULOS NOVOS E USADOS, PECAS",24 716,156 591,77 074,22 040 932,588 486 152,580 702 092,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
10,MAG. E EQUIP. DE USO INDUSTRIAL,6 610,59 407,28 866,12 301 580,210 153 837,204 315 389,612,853,14 20,10 245,110 741 943,4 431 362 120,315 729 009,50,51,mistral_table,pdf_text_layout,no
11,COMBUSTIVEIS E LUBRIFICANTES,19 525,138 075,85 796,14 015 878,597 953 680,593 316 849,12 202,13 636,56 167,33 108,'31 3&6 845,4 158 498 163,4 097 544 111,50,51,mistral_table,pdf_text_layout,no
12,"PAPELARIAS, LIVRARIAS",14 100,55 223,30 258,6 101 862,55 563 737,55 116 736,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
13,MERC. EM GERAL - INC. ALIMENTICIOS,15 395,278 123,229 600,24 208 763,659 175 478,657 495 118,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
14,MERC. EM GERAL - EXC. ALIMENTICIOS,3 108,60 236,44 150,7 994 169,125 269 152,124 245 602,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
15,ARTIGOS DIVERSOS,30 520,112 138,57 547,10 866 074,118 913 960,115 676 364,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
16,ARTIGOS USADOS,3 028,8 766,3 280,727 619,8 096 394,8 024 996,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
17,COMERCIO ATACADISTA,39 099,387 621,196 356,64 412 327,3 1217 763 051,3 099 748 938,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
18,PRODUTOS EXTRATIVOS E AGROPECUARIOS,3 842,34 792,16 818,4 778 279,323 613 418,318 855 006,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
19,"PROD. ALIMENTICIOS, BEBIDAS E FUMO",17 752,143 558,72 758,19 246 146,903 344 852,898 483 387,2 419,3 010,46 406,30 396,737 671 266,19 878 &IS 504,19 00 513 125 .',50,51,mistral_table,pdf_text_layout,no
20,"PROD. FARMACÑO, COMERCIA E VETER",2 318,31 651,15 899,6 389 471,181 576 324,179 505 911,3 328,3 174,35 900,24 006,400 11 1 781,12 520 900 921,12 236 425 785,50,51,mistral_table,pdf_text_layout,no
21,"TECIDOS, VESTUARIO E ARMARINHO",2 773,24 670,13 861,3 983 486,101 358 882,100 735 446,128,203,3 733,2 515,61 603 355,2 011 311 540,2 009 237 611,50,51,mistral_table,pdf_text_layout,no
22,MAG. E APARELHOS ELETR. USO DOMEST,2 442,21 123,2 811,907 318,1413 396,39 289 984,3 132,4 599,57 tu,33 775,117 174 930,22 245 507 770,21 907 292 390,50,51,mistral_table,pdf_text_layout,no
23,"FERNAGENS, MAT. ELETR. E ELECTRONICO",4 009,48 669,22 348,9 730 213,247 183 111,245 140 841,,,,,,,,50,51,mistral_table,pdf_text_layout_partial,yes
24,"VEICULOS NOVOS E USADOS, PECAS",964,14 692,7 325,3 105 692,64 490 416,63 900 647,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
25,MAG. E EQUIP. DE USO INDUSTRIAL,1 053,14 381,6 245,4 420 849,79 422 721,76 426 937,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
26,COMBUSTIVEIS E LUBRIFICANTES,875,11 276,6 741,3 192 849,920 082 217,919 182 586,114,1 275,17 145,9 930,274 427 267,' 513 310 . . .,6 421 636 172,50,51,mistral_table,pdf_text_layout,no
27,"PAPELARIAS, LIVRARIAS",1 106,12 105,6 311,2 243 546,50 461 127,50 021 970,217,397,15 325,9 116,3 42 570 115,16 512 62• 028,16 301 264 7 61,50,51,mistral_table,pdf_text_layout,no
28,MERC. EM GERAL - INC. ALIMENTICIOS,443,17 881,11 843,2 714 247,104 624 976,106 878 263,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
29,MERC. EM GERAL - EXC. ALIMENTICIOS,1 180,2 501,1 287,383 461,11 608 455,11 640 154,775,999,17 117,10 109,237 299 015,• 669 911 907,4 543 314 217,50,51,mistral_table,pdf_text_layout,no
30,ARTIGOS DIVERSOS,1 453,12 129,6 007,2 176 734,38 895 791,38 388 303,789,813,14 18$,8 314,133 591 075,2 948 220 528,2 921 553 141,50,51,mistral_table,pdf_text_layout,no
31,ARTIGOS USADOS,1 789,13 153,6 106,1 459 636,31 683 358,31 404 901,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
32,COMERCIO VAREJISTA,114 229,479 442,246 984,46 003 544,886 950 728,877 295 856,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
33,"PROD. ALIMENTICIOS, BEBIDAS E FUMO",53 400,109 805,18 932,6 228 804,90 658 952,90 086 516,t50 3$2,52 260,119 311,34 316,639 711 079,9 118 949 994,9 032 681 911,50,51,mistral_table,pdf_text_layout,no
34,"PROD. FARMACÑO, COMERCIA E VETER",6 291,27 413,16 471,2 919 760,56 509 111,55 428 058,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
35,"TECIDOS, VESTUARIO E ARMARINHO",19 909,89 214,51 895,8 000 471,99 220 671,98 865 191,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
36,MAG. E APARELHOS ELETR. USO DOMEST,4 388,35 911,22 599,4 408 348,79 513 747,78 408 003,3 347,5 017,36 715,2' 390,350 1..a 774,5 027 169 379,4 9 40 897 917,50,51,mistral_table,pdf_text_layout,no
37,"FERNAGENS, MAT. ELETR. E ELECTRONICO",5 972,39 006,21 671,4 532 965,77 320 647,76 187 532,7 411,1 856,54 021,34 015,06 IU 360,7 065 502 069,6 197 631 502,50,51,mistral_table,pdf_text_layout,no
38,"VEICULOS NOVOS E USADOS, PECAS",4 769,31 882,17 474,4 745 333,127 982 806,125 643 696,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
39,MAG. E EQUIP. DE USO INDUSTRIAL,1 180,12 105,6 311,2 243 546,50 461 127,50 021 970,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
40,COMBUSTIVEIS E LUBRIFICANTES,4 665,31 236,19 775,3 100 540,118 729 353,117 493 023,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
41,"PAPELARIAS, LIVRARIAS",2 087,8 251,4 482,834 027,8 645 473,8 538 809,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
42,MERC. EM GERAL - INC. ALIMENTICIOS,4 150,60 604,48 064,5 192 074,131 280 656,130 821 624,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
43,MERC. EM GERAL - EXC. ALIMENTICIOS,432,9 906,6 847,1 203 013,22 250 023,22 140 166,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
44,ARTIGOS DIVERSOS,5 729,20 201,10 470,1 988 603,20 789 248,20 160 163,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
45,ARTIGOS USADOS,552,1 548,586,114 703,1 016 753,1 002 533,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
46,COMERCIO ATACADISTA,8 893,86 689,45 683,12 428 627,660 797 896,654 027 239,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
47,PRODUTOS EXTRATIVOS E AGROPECUARIOS,1 690,21 282,11 209,2 610 471,198 270 195,194 764 398,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
48,"PROD. ALIMENTICIOS, BEBIDAS E FUMO",4 384,31 584,16 361,3 665 215,161 151 613,159 852 564,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
49,"PROD. FARMACÑO, COMERCIA E VETER",495,6 714,3 338,1 255 127,33 593 953,33 137 341,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
50,"TECIDOS, VESTUARIO E ARMARINHO",366,2 915,1 534,458 974,12 654 063,12 546 854,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
51,MAG. E APARELHOS ELETR. USO DOMEST,86,890,511,130 648,2 167 575,2 145 437,215,701,770,279,591,43,1,50,51,mistral_table,pdf_text_tokens,no
52,"FERNAGENS, MAT. ELETR. E ELECTRONICO",564,7 345,3 482,1 354 580,32 684 885,32 251 607,543,8110,9 116,s 259,147 211 · 202,3 ou 291 025,3 029 131 161,50,51,mistral_table,pdf_text_layout,no
53,"VEICULOS NOVOS E USADOS, PECAS",189,2 885,1 464,571 683,13 177 162,13 035 539,195 253,4 103,2 529,66 st7 053,1 470 161 653,1,226 711,50,51,mistral_table,pdf_text_layout,no
54,MAG. E EQUIP. DE USO INDUSTRIAL,171,1 653,809,421 135,8 460 945,8 279 909,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
55,COMBUSTIVEIS E LUBRIFICANTES,182,2 176,1 282,597 694,156 971 936,156 886 184,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
56,"PAPELARIAS, LIVRARIAS",146,1 697,880,290 319,5 313 354,5 184 859,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
57,MERC. EM GERAL - INC. ALIMENTICIOS,141,4 338,2 996,609 231,27 462 701,27 221 896,51,113,3 175,2 052,50 761 368,"2 319 730 ,f53",2 343 51' 109,50,51,mistral_table,pdf_text_layout,no
58,MERC. EM GERAL - EXC. ALIMENTICIOS,37,559,244,93 125,1 705 799,1 668 551,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
59,ARTIGOS DIVERSOS,209,1 337,669,226 482,3 864 810,3 776 168,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
60,ARTIGOS USADOS,233,1 474,904,143 943,3 319 095,3 273 932,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
61,PARANA,46 440,216 781,101 955,21 857 183,623 084 199,616 788 615,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
62,COMERCIO VAREJISTA,41 775,170 653,84 202,14 685 619,314 621 686,311 135 876,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
63,"PROD. ALIMENTICIOS, BEBIDAS E FUMO",18 882,40 412,7 393,1 666 213,35 378 895,33 214 817,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
64,"PROD. FARMACÑO, COMERCIA E VETER",2 861,11 066,5 991,1 047 190,24 819 590,24 212 085,,,,,,,,50,51,mistral_table,mistral_table_partial,yes
65,"TECIDOS, VESTUARIO E ARMARINHO",7 363,31 311,16 963,2 360 173,30 845 567,30 746 710,,,,,,,,50,51,mistral_table,missing,yes
