order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_production_1980,salaries_withdrawals_other_compensation_1980_mil_cruzeiros,gross_production_value_1980_mil_cruzeiros,industrial_transformation_value_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_production_1985,salaries_withdrawals_other_compensation_1985_mil_cruzeiros,gross_production_value_1985_mil_cruzeiros,industrial_transformation_value_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,226 306,5 720 006,4 196 989,1 041 218 082,10 204 222 502,4 307 628 522,,,,,,,,4,5,mistral_table,missing,yes
2,EXTRATIVA MINERAL,4 837,110 044,72 463,26 949 370,208 088 815,147 834 407,,,,,,,,4,5,mistral_table,pdf_text_layout_partial,yes
3,TRANSFORMAÇÃO,220 788,5 562 241,4 083 604,996 691 627,9 966 396 527,4 133 054 310,,,,,,,,4,5,mistral_table,pdf_text_layout_partial,yes
4,NÃO METALICOS,35 501,444 372,323 845,54 725 509,425 494 952,233 650 607,,,,,,,,4,5,mistral_table,missing,yes
5,METALÚRGICA,19 948,641 546,471 734,132 735 895,1 396 560 294,480 289 548,,,,,,,,4,5,mistral_table,pdf_text_layout_partial,yes
6,MECANICA,12 412,602 453,474 578,156 492 399,762 640 905,419 786 672,66,173,10 511,s 10•,261 925 815,3 757 2S2 472,2 026 90 ASO,4,5,mistral_table,pdf_text_layout,no
7,MATERIAL ELETRICO,4 656,297 378,218 147,56 972 713,542 665 099,288 072 959,•1,SA,su,05,6 12' 371,"67 398 . . ,",49 269 A92,4,5,mistral_table,pdf_text_layout,no
8,TRANSPORTE,4 526,344 790,250 189,88 039 736,776 469 693,307 868 236,,,,,,,,4,5,mistral_table,missing,yes
9,MODEIRA,20 613,274 247,208 640,26 599 317,201 203 001,108 702 601,,,,,,,,4,5,mistral_table,missing,yes
10,MOBILIÁRIO,13 750,186 686,140 588,20 939 585,145 723 480,73 500 928,12 145,13 759,116 '67,1'7 126,"1 701 . , , 02'",12 945 016 093,6 IH 3DI AI&,4,5,mistral_table,pdf_text_layout,no
11,PAPEL E PAPELÃO,2 151,130 018,91 562,24 936 128,264 220 323,114 495 098,1 317,2 107,"132 , . .",H 957,2 739 039 127,30 119 131 25•,1' OI 5 ' 03 HS,4,5,mistral_table,pdf_text_layout,no
12,BORRACHA,1 519,64 765,49 942,13 686 227,149 210 017,51 953 533,1 OS6,1 '21,71 656,53 447,1 667 459 058,17 711 912 05,I 105 '59 A53,4,5,mistral_table,pdf_text_layout,no
13,COUROS E PELES,1 509,45 317,36 936,5 879 184,48 600 831,19 567 217,,,,,,,,4,5,mistral_table,missing,yes
