order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_production_1980,salaries_withdrawals_other_compensation_1980_mil_cruzeiros,gross_production_value_1980_mil_cruzeiros,industrial_transformation_value_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_production_1985,salaries_withdrawals_other_compensation_1985_mil_cruzeiros,gross_production_value_1985_mil_cruzeiros,industrial_transformation_value_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
14,QUÍMICA,4 774,222 118,121 129,80 844 941,1 766 457 710,601 354 695,,,,,,,,4,5,mistral_table,missing,yes
15,FARMACÊUTICA,1 122,54 426,26 814,19 691 111,107 267 595,66 020 199,•33,930,A9 051,24 212,1 4 54 315 316,12 577 172 729,"1 071 . , , 6'1",4,5,mistral_table,pdf_text_layout,no
16,PERFUMÁRIA,113,36 239,20 271,6 352 570,84 004 488,39 280 355,,,,,,,,4,5,mistral_table,missing,yes
17,MATS. PLASTICAS,3 147,135 681,102 573,21 926 260,196 638 919,94 709 899,,,,,,,,4,5,mistral_table,missing,yes
18,TEXTIL,7 177,417 750,348 224,58 695 563,634 946 615,257 835 663,3 81',5 570,351 360,296 196,4 501 530 660,81 117 869 •56,21 '34 008 601,4,5,mistral_table,pdf_text_layout,no
19,VESTUÁRIO,20 571,492 863,410 530,48 172 080,377 802 507,195 750 623,21 688,23 200,655 234,560 662,s 552 313 929,'7 4U 497 411,2 4 70 '60 OOA,4,5,mistral_table,pdf_text_layout,no
20,ALIMENTARES,46 662,724 213,490 214,86 311 627,1 580 985 683,479 457 327,35 690,'3 03•,733 199,505 691,• 555 S62 '76,172 320 771 707,57 AOS 540 '62,4,5,mistral_table,pdf_text_layout,no
21,BEBIDAS,3 216,77 021,46 092,14 218 331,112 006 572,55 555 135,• 50,• 933,65 121,51 295,579 276 221,s 064 '72 32•,3 152 927 906,4,5,mistral_table,pdf_text_layout,no
22,FUMO,590,29 527,21 772,7 006 654,59 696 294,31 462 531,1A3,A34,27 92•,15 990,725 922 476,6 378 669 516,3 637 174 ISS,4,5,mistral_table,pdf_text_layout,no
23,GRAFICA,9 061,169 883,101 427,34 415 147,156 882 437,103 891 041,001,9 053,16• 523,101 721,2 121 271 601,",.. . . . 553 199","9 278 233 , . .",4,5,mistral_table,pdf_text_layout,no
24,DIVERSAS,6 518,170 988,128 197,29 050 688,176 918 866,109 864 243,,,,,,,,4,5,mistral_table,missing,yes
25,REGIÃO SUL,47 527,1 058 510,820 761,140 137 528,1 615 892 345,662 000 561,37 U2,A3 934,1 121 737,1101 312,13 720 7ta •25,113 •2• 621 561,10 tsl 157 063,4,5,mistral_table,pdf_text_layout,no
26,EXTRATIVA MINERAL,687,17 421,14 475,2 991 541,11 304 647,8 170 706,333,•61,18 OH,1S 373,296 952 658,1 579 261 890,os• 130 us,4,5,mistral_table,pdf_text_layout,no
27,TRANSFORMAÇÃO,46 770,1 037 782,803 622,136 538 010,1 603 540 253,652 889 977,36 809,A3 A65,1 102 639,116 009,13 '23 135 767,111 IAS 359 678,79 797 026 101,4,5,mistral_table,pdf_text_layout,no
28,NÃO METALICOS,6 196,79 003,59 715,7 995 086,59 385 437,34 661 028,,,,,,,,4,5,mistral_table,pdf_text_layout_partial,yes
29,METALÚRGICA,3 765,83 867,63 622,12 323 860,103 154 760,46 583 719,,,,,,,,4,5,mistral_table,missing,yes
30,MECANICA,2 542,89 909,70 906,16 393 488,100 714 366,52 514 450,1 80,2 379,". , 872",7 1 909,Sta 601 261,12 705 209 675,7 394 9'1 33 1,4,5,mistral_table,pdf_text_layout,no
31,MATERIAL ELETRICO,608,27 000,20 808,4 528 962,37 050 049,20 559 870,397,110,33 190,26 265,629 827 951,s 533 322 665,3 •07 7'5 316,4,5,mistral_table,pdf_text_layout,no
32,TRANSPORTE,1 069,64 444,28 448,6 366 869,88 292 882,21 058 981,909,019,33 412,"26 . , 1",625 716 85•,' 594 202 438,2 52Z 326 991,4,5,mistral_table,pdf_text_layout,no
33,MODEIRA,9 874,755 379,108 399,12 505 747,12 282 321,52 514 450,,,,,,,,4,5,mistral_table,pdf_text_layout_partial,yes
34,MOBILIÁRIO,3 290,54 866,44 067,5 668 298,44 947 823,23 395 789,,,,,,,,4,5,mistral_table,missing,yes
35,PAPEL E PAPELÃO,444,26 618,20 568,4 066 495,55 263 489,22 715 542,,,,,,,,4,5,mistral_table,missing,yes
36,BORRACHA,337,8 204,6 586,1 287 519,13 548 613,5 675 741,,,,,,,,4,5,mistral_table,missing,yes
37,COUROS E PELES,474,19 356,16 766,2 338 437,22 438 970,9 279 709,,,,,,,,4,5,mistral_table,missing,yes
38,QUÍMICA,784,25 315,14 555,7 495 122,230 388 029,74 725 832,,,,,,,,4,5,mistral_table,missing,yes
39,FARMACÊUTICA,174,3 613,1 322,1 053 926,2 741 503,1 815 222,,,,,,,,4,5,mistral_table,missing,yes
40,PERFUMÁRIA,1 174,1 174,1 545,1 741 503,1 029 541,1 229 541,,,,,,,,4,5,mistral_table,missing,yes
41,MATS. PLASTICAS,429,19 527,14 793,2 738 794,34 730 993,16 340 622,,,,,,,,4,5,mistral_table,missing,yes
42,TEXTIL,946,43 451,52 439,9 979 479,95 305 988,36 955 746,,,,,,,,4,5,mistral_table,missing,yes
43,VESTUÁRIO,4 526,136 287,117 699,13 263 432,105 482 017,59 757 040,,,,,,,,4,5,mistral_table,missing,yes
44,ALIMENTARES,8 970,157 622,115 338,17 714 026,463 885 096,125 351 023,,,,,,,,4,5,mistral_table,missing,yes
45,BEBIDAS,725,14 835,9 138,2 469 285,25 775 846,13 067 090,,,,,,,,4,5,mistral_table,missing,yes
46,FUMO,176,8 957,5 872,2 294 687,26 518 005,11 829 549,,,,,,,,4,5,mistral_table,missing,yes
47,GRAFICA,1 612,21 717,13 697,3 199 252,12 097 892,7 745 601,,,,,,,,4,5,mistral_table,missing,yes
48,DIVERSAS,1 220,21 906,17 343,2 690 023,17 917 542,10 816 997,,,,,,,,4,5,mistral_table,missing,yes
49,PARANA,15 052,294 640,191 278,32 208 060,494 201 097,172 648 291,,,,,,,,4,5,mistral_table,missing,yes
50,EXTRATIVA MINERAL,285,3 290,2 440,366 912,1 574 650,1 118 530,,,,,,,,4,5,mistral_table,missing,yes
51,TRANSFORMAÇÃO,14 754,251 032,188 542,31 764 210,492 503 708,171 415 015,,,,,,,,4,5,mistral_table,pdf_text_layout_partial,yes
52,NÃO METALICOS,2 007,25 002,18 933,2 568 929,23 986 671,12 937 224,,,,,,,,4,5,mistral_table,pdf_text_layout_partial,yes
53,METALÚRGICA,1 010,13 163,9 620,1 660 956,14 873 207,6 444 531,,,,,,,,4,5,mistral_table,pdf_text_layout_partial,yes
54,MECANICA,789,18 931,14 900,3 523 059,18 775 423,8 394 450,,,,,,,,4,5,mistral_table,missing,yes
55,MATERIAL ELETRICO,200,6 598,5 040,1 148 915,10 861 597,6 654 329,,,,,,,,4,5,mistral_table,missing,yes
56,TRANSPORTE,417,9 160,7 045,1 558 651,8 496 865,3 592 765,,,,,,,,4,5,mistral_table,missing,yes
57,MADEIRA,2 511,28 075,47 713,5 324 946,53 261 343,26 840 929,1 313,701,41 107,3• 837,311 '57 728,2 750 380 347,626 IAS 114,4,5,mistral_table,pdf_text_layout,no
58,MOBILIÁRIO,1 087,17 294,13 987,1 637 865,13 483 923,6 702 353,H I,016,18 192,IS 946,127 171 311,", 165 533 442",590 59S 319,4,5,mistral_table,pdf_text_layout,no
59,PAPEL E PAPELÃO,167,9 552,7 443,1 472 958,23 457 555,10 036 784,IS,112,11 29',1 630,198 852 506,2 151 909 771,1 302 258 1 92,4,5,mistral_table,pdf_text_layout,no
60,BORRACHA,117,1 774,1 295,245 061,2 405 922,1 137 962,75,91,1 771,1 237,23 696 A03,227 521 407,115 915 . . .,4,5,mistral_table,pdf_text_layout,no
61,COUROS E PELES,74,2 168,1 877,176 216,2 098 901,702 092,86,75,3 332,2 996,24 115 HO,U7 781 231,152 IU 532,4,5,mistral_table,pdf_text_layout,no
62,QUÍMICA,295,8 707,4 827,2 534 416,100 966 543,25 277 116,,,,,,,,4,5,mistral_table,pdf_text_layout_partial,yes
63,FARMACÊUTICA,50,854,139,337 394,- 288 914,226 759,12,.. 44,771,U6,26 373 222,A3 806 170,33 59• 579,4,5,mistral_table,pdf_text_layout,no
64,PERFUMÁRIA,55,568,288,90 827,1 363 490,460 370,53,&5,1 056,683,11 ou 206,202 391 179,120 5• 1 9A9,4,5,mistral_table,pdf_text_layout,no
65,MATS. PLASTICAS,123,4 901,3 729,643 723,6 478 931,2 547 200,,,,,,,,4,5,mistral_table,missing,yes
66,TEXTIL,227,7 769,6 193,949 250,23 960 039,8 844 464,,,,,,,,4,5,mistral_table,missing,yes
67,VESTUÁRIO,872,8 999,6 887,702 180,4 560 551,2 216 076,759,103,l i 01',• ll06,73 9U 253,639 865 023,313 682 472,4,5,mistral_table,pdf_text_layout,no
68,ALIMENTARES,3 656,41 899,28 063,4 855 813,169 302 349,41 199 718,,,,,,,,4,5,mistral_table,missing,yes
69,BEBIDAS,128,3 391,2 103,537 076,4 042 842,1 921 561,,,,,,,,4,5,mistral_table,missing,yes
70,FUMO,27,1 345,869,386 220,6 229 571,610 442,6,19,1 700,160,31 170 133,39 1 213 us,126 404 6'7,4,5,mistral_table,pdf_text_layout,no
71,GRAFICA,610,6 667,4 441,884 278,3 389 899,2 068 471,Sl2,58S,6 9U,' 8$9,75 120 776,365 776 666,227 09 509,4,5,mistral_table,pdf_text_layout,no
72,DIVERSAS,322,4 215,3 150,525 477,3 300 202,1 999 449,229,210,5 IH,' '13,66 156 412,560 71' 373,351 029 625,4,5,mistral_table,pdf_text_layout,no
73,REGIÃO METROPOLITANA,3 860,99 571,75 208,16 044 987,213 593 049,78 218 839,2 362,3 102,101 04,77 25 1,537 091 1196,26 U7 090 440,11 910 150 783,4,5,mistral_table,pdf_text_layout,no
74,EXTRATIVA MINERAL,93,704,502,83 864,477 480,297 781,,,,,,,,4,5,mistral_table,missing,yes
75,TRANSFORMAÇÃO,3 757,98 919,74 480,15 892 231,213 006 001,77 817 691,,,,,,,,4,5,mistral_table,missing,yes
76,,,,,,,,135,204,3 305,7 738,213 761 965,589 562 575,983 936 282,6,7,missing,mistral_table,yes
77,METALURGICA,399,7 294,5 511,1 031 555,9 154 591,4 824 586,261,301,5 371,4 116,71 857 948,893 362 426,389 889 200,6,7,mistral_table,mistral_table,no
78,MECANICA,240,9 674,7 216,2 113 829,13 816 591,5 337 731,,,,,,,,6,7,mistral_table,missing,yes
79,MATERIAL ELETRICO,116,5 561,4 280,1 021 255,9 685 649,6 053 076,59,117,8 178,5 901,200 404 544,1 814 051 512,1 332 601 382,6,7,mistral_table,mistral_table,no
80,TRANSPORTE,94,4 771,3 731,1 108 347,6 053 096,2 275 988,51,76,5 589,4 674,115 387 348,1 713 267 674,846 143 113,6,7,mistral_table,mistral_table,no
81,MADEIRA,347,11 885,9 536,1 494 587,16 273 698,8 115 477,219,274,9 780,8 095,93 369 526,1 071 759 929,595 961 562,6,7,mistral_table,mistral_table,no
82,MOBILIARIO,225,889,7 544,994 246,7 668 220,2 275 988,261,285,7 890,6 820,58 954 597,476 843 268,251 364 045,6,7,mistral_table,mistral_table,no
83,PAPEL E PAPELÃO,48,3 072,2 337,582 608,7 867 488,2 772 759,27,54,3 226,2 470,59 528 449,716 770 983,275 431 890,6,7,mistral_table,mistral_table,no
84,BORRACHA,39,964,718,770 762,1 847 739,865 197,26,35,954,579,16 578 119,159 950 401,82 707 141,6,7,mistral_table,mistral_table,no
85,COUROS E PELES,19,1 443,1 312,110 157,1 027 064,415 435,9,12,1 773,1 552,12 472 355,142 125 806,73 938 427,6,7,mistral_table,mistral_table,no
86,QUÍMICA,130,4 132,2 196,1 317 616,76 993 669,15 332 316,49,138,5 177,3 514,146 672 503,11 547 820 076,3 756 111 151,6,7,mistral_table,mistral_table,no
87,FARMACÉUTICA,56,811,109,330 554,267 043,210 621,7,37,709,92,24 487 670,29 936 992,24 051 958,6,7,mistral_table,mistral_table,no
88,PERFUMARIA,29,399,203,67 189,1 226 910,775 388,22,34,848,576,9 982 144,190 064 148,115 265 032,6,7,mistral_table,mistral_table,no
89,MATS. PLASTICAS,84,3 525,2 567,508 678,4 604 564,1 846 574,54,74,4 949,4 065,57 699 624,663 911 640,320 339 785,6,7,mistral_table,mistral_table,no
90,TEXTIL,49,1 828,1 461,251 050,3 178 876,1 335 447,20,30,1 600,1 336,21 812 031,300 531 471,135 111 325,6,7,mistral_table,mistral_table,no
91,VESTUARIO,215,2 973,2 349,508 397,1 671 688,853 604,144,169,3 093,2 425,29 184 034,160 476 574,76 872 454,6,7,mistral_table,mistral_table,no
92,ALIMENTARES,457,9 785,7 003,1 365 324,25 311 747,9 259 846,239,331,6 003,5 577,119 679 971,2 393 745 762,1 003 979 090,6,7,mistral_table,mistral_table,no
93,BEBIDAS,36,1 531,924,314 942,2 231 504,1 106 604,23,32,1 644,981,26 967 422,213 732 882,126 209 423,6,7,mistral_table,mistral_table,no
94,FUMO,10,590,420,129 188,1 519 641,467 109,8,8,903,619,18 149 279,223 058 385,63 270 802,6,7,mistral_table,mistral_table,no
95,GRAFICA,234,3 505,2 331,594 515,1 982 858,1 232 375,166,201,3 794,2 544,52 662 644,241 014 943,150 591 094,6,7,mistral_table,mistral_table,no
96,DIVERAS,132,2 824,2 244,394 780,2 594 016,1 474 315,78,113,4 271,3 386,54 489 731,493 833 550,312 458 089,6,7,mistral_table,mistral_table,no
97,CURITIBA,2 765,73 001,54 054,12 326 794,104 305 488,49 327 692,1 500,2 099,68 895,49 781,1 105 182 582,10 862 446 502,6 112 623 031,6,7,mistral_table,mistral_table,no
98,EXTRATIVA MINERAL,26,134,28,26 685,48 186,41 298,11,11,50,21,889 320,1 604 301,1 083 972,6,7,mistral_table,mistral_table,no
99,TRANSFORMAÇÃO,2 736,72 778,53 937,12 280 731,104 225 482,49 254 741,1 489,2 088,68 845,49 760,1 104 293 262,10 860 842 201,6 111 539 059,6,7,mistral_table,mistral_table,no
100,NÃO METALICOS,253,3 351,2 226,473 846,3 417 672,1 938 774,155,184,2 657,1 718,27 684 806,241 399 227,140 327 481,6,7,mistral_table,mistral_table,no
101,METALURGICA,310,6 140,4 673,908 406,8 363 547,4 257 195,191,223,3 232,2 265,45 275 216,407 351 998,183 368 758,6,7,mistral_table,mistral_table,no
102,MECANICA,163,7 835,5 958,1 750 890,12 213 962,4 437 615,95,155,8 019,5 700,159 557 149,1 382 342 737,841 968 638,6,7,mistral_table,mistral_table,no
103,MATERIAL ELETRICO,108,4 748,3 602,908 246,9 027 003,5 684 105,46,100,7 378,5 305,190 005 069,1 729 779 365,1 285 277 108,6,7,mistral_table,mistral_table,no
104,TRANSPORTE,81,4 579,3 568,1 090 644,5 617 058,2 126 883,38,62,5 111,4 258,111 467 622,1 686 266 457,834 877 828,6,7,mistral_table,mistral_table,no
105,MADEIRA,237,6 180,7 240,1 245 944,13 452 728,6 606 776,111,153,6 782,5 498,72 358 303,845 306 386,468 536 015,6,7,mistral_table,mistral_table,no
106,MOBILIARIO,232,6 084,5 143,677 565,4 946 996,2 518 880,173,190,4 629,3 930,37 145 260,263 547 351,149 171 091,6,7,mistral_table,mistral_table,no
107,PAPEL E PAPELÃO,36,2 200,1 629,435 298,6 006 925,2 102 065,21,45,2 567,1 965,17 667 241,586 365 771,248 076 454,6,7,mistral_table,mistral_table,no
108,BORRACHA,29,820,634,153 432,1 657 047,737 114,19,27,867,519,15 803 230,146 509 320,71 271 734,6,7,mistral_table,mistral_table,no
109,COUROS E PELES,17,430,1 306,106 655,1 017 714,412 214,8,11,766,1 946,13 419 673,141 967 153,73 849 021,6,7,mistral_table,mistral_table,no
110,QUÍMICA,106,2 998,1 543,780 552,7 892 268,4 134 413,20,85,2 731,1 807,50 353 664,509 201 112,250 668 723,6,7,mistral_table,mistral_table,no
111,FARMACÉUTICA,55,772,103,323 163,211 600,182 647,6,36,698,86,23 260 819,18 695 291,14 454 608,6,7,mistral_table,mistral_table,no
112,PERFUMARIA,27,370,187,62 628,1 174 328,745 467,12,20,501,279,7 120 104,104 427 094,90 855 090,6,7,mistral_table,mistral_table,no
113,MATS. PLASTICAS,61,2 360,1 780,384 246,2 810 171,1 271 109,32,45,2 566,2 003,30 602 053,275 081 298,139 556 657,6,7,mistral_table,mistral_table,no
114,TEXTIL,43,1 334,1 028,190 843,2 518 613,993 217,25,25,134,988,16 669 923,247 288 896,120 836 477,6,7,mistral_table,mistral_table,no
115,VESTUARIO,200,2 841,2 243,299 105,1 627 402,827 173,137,160,2 557,1 919,25 151 296,135 483 920,64 640 782,6,7,mistral_table,mistral_table,no
116,ALIMENTARES,286,8 455,5 909,1 145 774,14 982 457,5 357 076,185,262,7 250,4 221,92 502 606,1 213 026 375,860 530 828,6,7,mistral_table,mistral_table,no
117,BEBIDAS,28,1 418,826,305 376,2 118 268,1 046 722,14,22,430,809,25 220 470,183 718 467,109 249 492,6,7,mistral_table,mistral_table,no
118,FUMO,10,590,420,129 188,1 519 641,467 109,1,8,903,519,19 149 279,223 058 385,63 270 800,6,7,mistral_table,mistral_table,no
119,GRAFICA,216,3 306,2 172,576 280,1 918 612,1 194 906,150,185,3 582,2 379,50 908 051,225 873 305,142 771 884,6,7,mistral_table,mistral_table,no
120,DIVERAS,118,2 218,1 747,330 200,1 729 650,1 071 461,58,90,2 489,1 846,37 571 228,294 452 291,187 959 753,6,7,mistral_table,mistral_table,no
121,CASCAVEL,366,5 287,3 816,657 737,6 692 572,2 696 776,184,255,4 688,3 699,44 727 134,708 616 447,315 310 083,6,7,mistral_table,mistral_table,no
122,NÃO METALICOS,24,293,203,38 834,302 853,206 679,9,16,314,253,2 951 483,39 692 263,30 681 339,6,7,mistral_table,mistral_table,no
123,MECANICA,47,621,477,69 667,391 952,194 730,,,,,,,,6,7,mistral_table,missing,yes
124,MADEIRA,80,1 805,1 472,192 587,1 493 656,818 296,23,34,1 202,1 032,10 708 698,72 892 298,50 388 595,6,7,mistral_table,mistral_table,no
125,TEXTIL,5,58,45,2 235,22 708,15 547,,,,,,,,6,7,mistral_table,missing,yes
126,ALIMENTARES,57,915,651,95 876,3 613 337,969 527,28,49,887,635,10 651 320,364 287 039,102 420 797,6,7,mistral_table,mistral_table,no
127,DEMAIS GENÉROS,153,1 595,968,258 538,868 066,491 997,113,138,1 742,1 320,14 958 776,144 276 900,80 746 393,6,7,mistral_table,mistral_table,no
128,FOZ DO IGUAÇU,117,1 159,835,128 724,1 497 748,505 684,97,109,811,620,5 577 542,52 087 079,19 435 032,6,7,mistral_table,mistral_table,no
129,NÃO METALICOS,18,236,190,38 397,596 352,77 754,10,11,186,160,1 221 653,11 477 079,4 851 544,6,7,mistral_table,mistral_table,no
130,METALURGICA,12,105,73,10 277,44 604,23 681,20,20,117,92,610 955,3 748 060,1 565 776,6,7,mistral_table,mistral_table,no
131,MADEIRA,23,294,227,25 470,395 328,247 076,8,11,114,77,948 157,14 911 601,4 980 015,6,7,mistral_table,mistral_table,no
132,ALIMENTARES,20,258,163,20 673,336 506,87 341,28,32,190,138,1 345 459,14 092 776,4 279 443,6,7,mistral_table,mistral_table,no
133,GRAFICA,10,74,47,5 562,39 564,16 484,11,11,72,55,436 153,3 288 418,1 484 544,6,7,mistral_table,mistral_table,no
134,DEMAIS GENÉROS,34,192,135,28 345,85 432,53 348,20,24,132,98,1 015 165,4 569 145,2 273 710,6,7,mistral_table,mistral_table,no
135,QUARAPUAVA,283,6 666,5 496,616 194,6 381 895,3 271 475,147,196,5 166,4 195,50 904 975,692 886 318,369 149 245,6,7,mistral_table,mistral_table,no
136,NÃO METALICOS,19,(F),(F),(F),(E),(E),,,,,,,,6,7,mistral_table,missing,yes
137,MADEIRA,91,3 878,3 359,350 731,3 548 683,1 743 072,34,59,2 310,2 095,18 754 534,156 154 096,97 785 999,6,7,mistral_table,mistral_table,no
138,PAPEL E PAPELÃO,27,1 475,1 282,159 688,1 863 231,1 100 889,39,14,809,1 052,1 306 022,252 263 496,139 451 075,6,7,mistral_table,mistral_table,no
139,ALIMENTARES,41,347,190,30 948,617 914,215 063,30,38,324,191,3 116 616,39 229 104,15 055 641,6,7,mistral_table,mistral_table,no
140,BEBIDAS,1,(A),(A),(A),(A),(A),,,,,,,,6,7,mistral_table,missing,yes
141,DEMAIS GENÉROS,104,790,541,63 024,298 941,174 163,65,70,698,550,6 014 592,22 931 768,13 573 045,6,7,mistral_table,mistral_table,no
142,LONDRINA,653,14 290,10 760,1 860 022,22 751 176,8 543 888,385,501,14 809,11 538,160 452 055,2 658 448 313,3 236 080 291,6,7,mistral_table,mistral_table,no
143,NÃO METALICOS,45,1 270,964,156 167,1 321 113,847 148,16,29,1 052,795,11 388 172,96 220 446,51 837 653,6,7,mistral_table,mistral_table,no
144,QUÍMICA,32,352,172,164 764,1 857 267,981 119,9,31,306,135,8 728 085,226 967 398,163 185 063,6,7,mistral_table,mistral_table,no
145,TEXTIL,17,1 188,1 050,135 015,1 555 252,465 478,14,17,1 933,1 670,17 926 013,304 444 761,128 399 860,6,7,mistral_table,mistral_table,no
146,VESTUARIO,74,2 211,1 863,162 126,1 355 240,645 409,48,52,2 734,2 438,18 451 525,249 448 259,137 950 344,6,7,mistral_table,mistral_table,no
147,ALIMENTARES,138,3 450,2 433,511 229,11 736 081,2 891 623,67,96,3 200,2 135,44 456 296,1 341 430 781,517 495 659,6,7,mistral_table,mistral_table,no
148,DEMAIS GENÉROS,347,5 821,4 278,730 721,4 926 223,2 713 111,231,276,5 584,4 365,59 491 964,439 936 668,237 211 712,6,7,mistral_table,mistral_table,no
149,MARINGA,467,7 213,5 049,856 486,22 119 462,6 063 079,397,497,11 111,8 434,101 971 785,2 559 994 447,688 041 744,6,7,mistral_table,mistral_table,no
150,MOBILIARIO,36,564,437,43 617,563 521,289 961,41,45,1 121,949,7 298 993,105 727 199,56 220 390,6,7,mistral_table,mistral_table,no
151,QUÍMICA,17,342,60,102 205,627 371,327 678,13,23,630,111,5 892 254,131 422 271,72 627 503,6,7,mistral_table,mistral_table,no
152,TEXTIL,14,224,168,39 936,2 408 839,854 918,3,13,700,546,7 079 184,160 896 688,67 055 875,6,7,mistral_table,mistral_table,no
153,VESTUARIO,52,625,497,42 782,397 508,193 359,53,56,1 254,1 075,6 835 857,70 729 622,30 269 239,6,7,mistral_table,mistral_table,no
154,ALIMENTARES,106,2 443,1 704,327 162,16 302 997,3 347 120,70,109,3 917,3 073,44 178 431,1 805 276 126,327 346 209,6,7,mistral_table,mistral_table,no
155,DEMAIS GENÉROS,242,5 005,2 185,300 764,1 819 226,1 050 043,217,251,3 489,2 680,30 687 066,285 882 541,134 522 528,6,7,mistral_table,mistral_table,no
156,PONTA GROSSA,508,12 452,9 553,1 890 196,41 841 706,11 119 982,257,353,11 051,8 732,141 776 547,4 293 825 299,1 366 149 349,6,7,mistral_table,mistral_table,no
157,METALURGICA,51,1 149,899,188 620,1 431 944,537 988,31,36,865,753,11 205 775,126 008 460,54 036 755,6,7,mistral_table,mistral_table,no
158,MADEIRA,76,1 941,1 508,225 200,2 316 490,1 314 055,37,50,699,1 317,16 632 237,123 661 903,72 426 970,6,7,mistral_table,mistral_table,no
159,QUÍMICA,15,656,292,121 652,2 678 576,1 925 306,5,15,610,457,14 520 542,272 240 606,111 568 067,6,7,mistral_table,mistral_table,no
160,TEXTIL,10,887,612,96 000,1 544 373,832 446,6,7,812,756,9 269 659,186 685 581,126 982 250,6,7,mistral_table,mistral_table,no
161,ALIMENTARES,90,2 597,1 880,286 090,30 141 740,4 604 878,39,61,2 331,1 478,37 660 241,3 278 502 833,820 866 370,6,7,mistral_table,mistral_table,no
162,DEMAIS GENÉROS,266,5 222,4 162,672 634,3 527 583,1 905 309,139,184,4 734,3 971,52 488 093,306 725 916,180 268 937,6,7,mistral_table,mistral_table,no
163,ABATIA,5,15,4,541,2 529,802,5,7,31,19,325 114,16 758 312,4 559 752,8,9,mistral_table,mistral_table,no
164,ADRIANOPOLIS,15,535,477,77 534,1 957 217,248 239,4,14,543,401,6 732 148,121 479 933,42 219 753,8,9,mistral_table,mistral_table,no
165,AGUDOS DO SUL,9,45,26,3 815,21 062,11 107,7,8,18,7,109 424,376 046,248 717,8,9,mistral_table,mistral_table,no
166,ALMIRANTE TAMANDARE,84,1 167,913,102 228,754 637,441 062,69,72,1 568,1 352,11 248 274,116 971 019,69 403 388,8,9,mistral_table,mistral_table,no
167,ALTAMIRA DO PARANA,-,-,-,-,-,-,3,3,11,-,18 928,152 518,141 313,8,9,mistral_table,mistral_table,no
168,ALTONIA,59,258,121,12 121,583 202,63 631,41,43,219,136,1 611 505,51 925 761,6 011 347,8,9,mistral_table,mistral_table,no
169,ALTO PARANA,40,275,178,17 509,154 067,54 283,32,37,245,183,1 548 811,11 221 010,6 944 925,8,9,mistral_table,mistral_table,no
