order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_service_activity_1980,salaries_withdrawals_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_service_activity_1985,salaries_withdrawals_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,395 797,2 211 783,1 403 971,280 393 481,1 140 225 587,432 342,448 702,2 583 183,1 772 247,27 706 582 122,106 895 088 261,100,101,mistral_table,mistral_table,no
2,ALOJAMENTO E ALIMENTAÇÃO,193 646,665 805,318 154,46 296 556,283 052 664,215 570,219 353,783 553,417 959,4 765 334 943,26 502 365 187,100,101,mistral_table,mistral_table,no
3,ALOJAMENTO,15 207,124 214,80 774,10 706 778,45 958 354,14 591,15 212,147 604,113 089,1 176 006 032,5 351 981 782,100,101,mistral_table,mistral_table,no
4,ALIMENTAÇÃO,178 439,541 591,237 380,35 569 778,237 094 310,200 979,204 141,635 949,304 870,3 589 328 511,21 150 383 405,100,101,mistral_table,mistral_table,no
5,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",81 353,313 707,182 682,31 963 426,100 259 147,95 868,97 715,329 065,188 249,2 658 713 520,8 498 123 049,100,101,mistral_table,mistral_table,no
6,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",81 353,313 707,182 682,31 963 426,100 259 147,95 868,97 715,329 065,188 249,2 658 713 520,8 498 123 049,100,101,mistral_table,mistral_table,no
7,"PESSOAIS, DE HIGIENE E ESTÉTICA PESSOAL",25 887,86 910,49 001,7 466 095,21 487 674,26 597,27 536,93 538,55 223,630 335 408,1 803 070 259,100,101,mistral_table,mistral_table,no
8,PESSOAIS,9 354,35 867,20 365,3 032 078,11 699 168,8 953,9 748,34 031,19 703,228 563 002,834 399 911,100,101,mistral_table,mistral_table,no
9,HIGIENE E DE ESTÉTICA PESSOAL,16 533,51 043,28 636,4 434 017,9 788 506,17 644,17 788,59 507,35 520,401 772 406,968 670 348,100,101,mistral_table,mistral_table,no
10,"RADIOIDIFUSÃO, TELEVISÃO E DIVERSÕES",7 101,67 169,44 700,10 475 677,51 607 590,6 076,7 168,75 763,55 694,1 404 306 551,5 980 623 389,100,101,mistral_table,mistral_table,no
