order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_commercialization_1980,salaries_withdrawals_other_compensation_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,commercialization_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_commercialization_1985,salaries_withdrawals_other_compensation_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,commercialization_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,616 051,2 899 808,1 400 683,336 374 405,7 365 875 544,7 306 849 325,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
2,COMERCIO VAREJISTA,570 733,2 360 085,1 197 161,225 939 906,4 244 112 493,4 207 100 387,2 678 121,41 119,23 409,683 077 68S,16 682 308,S36,16 411 301 660,84,85,mistral_table,pdf_text_layout,no
3,"PROD. ALIMENTICIOS, BEBIDAS E FUMO",262 715,532 138,111 940,33 108 009,484 150 948,461 859 505,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
4,"PROD. FARMACÊUTICOS, ODONT. E VETER",31 605,139 248,78 452,13 629 895,219 239 442,216 902 722,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
5,"TECIDOS, VESTUÁRIO E ARMARINHO",107 052,439 864,246 740,37 512 955,431 527 595,430 261 066,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
6,MAG. E APARELHOS ELETR. USO DOMEST,25 923,172 449,98 967,20 654 336,355 149 005,352 597 265,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
7,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",36 436,207 827,104 491,22 677 834,410 433 115,406 586 622,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
8,"VEÍCULOS NOVOS E USADOS, PECAS",24 716,156 591,77 074,22 040 932,588 486 152,580 702 092,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
9,MAG. E EQUIP. DE USO INDUSTRIAL,6 610,59 407,28 866,12 301 580,210 153 837,204 315 389,284 441,14 030,8 464,194 098 326,3 722 227,79S,3 608 348 429,84,85,mistral_table,pdf_text_layout,no
10,COMBUSTÍVEIS E LUBRIFICANTES,19 525,138 075,85 796,14 015 878,597 953 680,593 316 849,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
11,"PAPELARIAS, LIVRARIAS",15 100,55 223,30 258,6 101 862,55 563 737,55 116 736,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
12,MERC. EM GERAL - INC. ALIMENTÍCIOS,15 395,278 123,229 600,24 208 763,659 175 478,657 495 119,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
13,MERC. EM GERAL - EXC. ALIMENTÍCIOS,3 108,60 236,44 150,7 994 169,125 266 152,124 245 663,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
14,ARTIGOS DIVERSOS,30 520,112 138,57 547,10 866 074,118 913 960,115 676 364,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
15,ARTIGOS USADOS,3 028,8 766,3 280,727 619,8 099 394,8 024 996,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
16,COMERCIO ATACADISTA,39 099,387 621,196 356,64 412 327,3 121 763 051,3 099 748 938,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
17,PRODUTOS EXTRATIVOS E AGROPECUÁRIOS,3 842,34 792,16 818,4 778 279,323 613 418,318 855 006,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
18,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",17 752,143 558,72 758,19 246 146,903 344 852,898 482 387,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
19,"PROD. FARMACÊUTICOS, ODONT. E VETER",2 318,31 651,15 895,6 389 971,181 570 324,179 500 911,2 419,3 010,46 406,30 396 737,679 266,19 878 685 S04,19 480 S13 12S,84,85,mistral_table,pdf_text_layout,no
20,"TECIDOS, VESTUÁRIO E ARMARINHO",2 773,24 570,13 821,3 663 486,101 358 892,100 735 448,3 328,3 774,35 900,24 006 400,811 788,12 S20 900 921,12 236 425 78S,84,85,mistral_table,pdf_text_layout,no
21,MAG. E APARELHOS ELETR. USO DOMEST,16 123,31 811,9 901,318 105,405 412 396,39 289 984,476,S7S,7 593,4 321 119,200 360,4 712 316 731,4 6S3 703 163,84,85,mistral_table,pdf_text_layout,no
22,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",4 009,48 669,22 348,9 730 213,247 183 111,245 140 841,3 832,4 S99,S7 954,33 775 917,174 930,22 245 S07 770,21 907 292 390,84,85,mistral_table,pdf_text_layout,no
23,"VEÍCULOS NOVOS E USADOS, PECAS",964,14 692,7 325,2 105 592,84 490 416,83 900 647,987,1 232,21 392,13 122 357,346 031,10 750 924 494,10 51S 439 467,84,85,mistral_table,pdf_text_layout,no
24,MAG. E EQUIP. DE USO INDUSTRIAL,1 053,14 381,6 245,4 420 849,79 422 721,76 426 937,1 071,1 4S3,19 776,11 070 429,702 133,7 32S 180 076,7 035 767 883,84,85,mistral_table,pdf_text_layout,no
25,COMBUSTÍVEIS E LUBRIFICANTES,875,11 276,6 741,2 192 849,920 082 217,919 182 586,,,,,,,,84,85,mistral_table,missing,yes
26,"PAPELARIAS, LIVRARIAS",1 106,12 105,6 311,2 243 546,50 461 127,50 021 570,984,1 27S,17 14S,9 930 274,427 267,6 S83 310 848,6 421 636 872,84,85,mistral_table,pdf_text_layout,no
27,MERC. EM GERAL - INC. ALIMENTÍCIOS,443,17 881,11 843,2 714 247,108 634 976,106 878 263,217,397,1 s 325,9 786 342,570 11 S,16 582 624 028,16 306 264 768,84,85,mistral_table,pdf_text_layout,no
28,MERC. EM GERAL - EXC. ALIMENTÍCIOS,180,2 601,1 287,383 461,11 608 452,11 540 154,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
29,ARTIGOS DIVERSOS,1 453,12 129,6 007,2 176 734,38 895 791,38 388 303,775,999,17 887,10 809 237,299 015,4· 669 911 907,4 S43 314 287,84,85,mistral_table,pdf_text_layout,no
30,ARTIGOS USADOS,1 789,13 193,6 106,1 459 636,31 683 358,31 404 901,789,883,14 185,8 314 133,S98 075,2 948 220 528,2 921 5S3 141,84,85,mistral_table,pdf_text_layout,no
