order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_commercialization_1980,salaries_withdrawals_other_compensation_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,commercialization_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_commercialization_1985,salaries_withdrawals_other_compensation_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,commercialization_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
31,REGIÃO SUDESTE,303 813,1 562 294,780 894,201 999 836,4 317 656 300,4 284 161 886,311 265,34S 190,1 946 717,1 137 172,19 081 992 561,417 024 S28 398,410 948 136 1SS,84,85,mistral_table,pdf_text_layout,no
32,COMÉRCIO VAREJISTA,279 367,1 243 179,663 418,127 230 204,2 380 475 063,2 359 929 546,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
33,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",107 971,234 095,80 794,15 432 394,242 480 264,242 409 872,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
34,"PROD. FARMACÊUTICOS, ODONT. E VETER",107 971,234 095,80 794,15 432 394,242 480 264,242 409 872,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
35,"TECIDOS, VESTUÁRIO E ARMARINHO",56 908,236 135,134 272,21 305 700,234 575 883,233 877 260,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
36,MAG. E APARELHOS ELETR. USO DOMEST,14 507,90 624,51 269,11 459 938,187 918 577,186 454 637,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
37,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",20 712,121 547,59 784,13 485 259,244 253 162,242 204 033,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
38,"VEÍCULOS NOVOS E USADOS, PECAS",13 508,86 163,41 835,12 649 061,330 488 316,326 064 222,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
39,MAG. E EQUIP. DE USO INDUSTRIAL,3 133,28 736,13 847,6 738 248,105 039 279,101 665 130,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
40,COMBUSTÍVEIS E LUBRIFICANTES,9 727,73 944,45 740,7 837 674,338 731 874,336 247 505,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
41,"PAPELARIAS, LIVRARIAS",425,35 852,19 562,4 213 977,36 294 315,36 031 261,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
42,MERC. EM GERAL - INC. ALIMENTÍCIOS,6 564,152 178,125 370,13 831 802,383 668 530,382 969 086,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
43,MERC. EM GERAL - EXC. ALIMENTÍCIOS,1 514,36 223,27 321,6 318 464,78 685 020,77 851 436,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
44,ARTIGOS DIVERSOS,18 049,67 528,34 369,6 898 051,76 458 229,74 233 845,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
45,ARTIGOS USADOS,1 935,5 673,2 043,485 573,5 877 584,5 833 484,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
46,COMÉRCIO ATACADISTA,21 281,227 137,113 275,41 994 676,1 937 181 237,1 924 232 340,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
47,PRODUTOS EXTRATIVOS E AGROPECUÁRIOS,747,6 009,2 607,846 366,64 776 993,63 895 641,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
48,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",8 811,76 680,50 648,11 920 485,608 986 250,606 164 755,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
49,"PROD. FARMACÊUTICOS, ODONT. E VETER",1 276,18 412,9 133,1 134 656,124 616 027,123 170 722,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
50,"TECIDOS, VESTUÁRIO E ARMARINHO",1 932,17 200,5 619,12 695 595,75 112 624,74 607 599,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
51,MAG. E APARELHOS ELETR. USO DOMEST,346,4 108,1 676,642 830,32 349 505,32 258 663,,,,,,,,84,85,mistral_table,missing,yes
52,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",2 847,35 213,16 024,7 391 696,190 261 582,186 900 600,,,,,,,,84,85,mistral_table,missing,yes
53,"VEÍCULOS NOVOS E USADOS, PECAS",638,9 821,4 958,3 215 069,61 976 608,61 564 875,,,,,,,,84,85,mistral_table,missing,yes
54,MAG. E EQUIP. DE USO INDUSTRIAL,738,10 600,4 545,3 501 720,59 963 094,57 305 659,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
55,COMBUSTÍVEIS E LUBRIFICANTES,416,6 913,3 726,2 042 100,549 111 879,548 388 146,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
56,"PAPELARIAS, LIVRARIAS",787,8 753,4 484,1 668 549,39 264 124,38 962 309,,,,,,,,84,85,mistral_table,missing,yes
57,MERC. EM GERAL - INC. ALIMENTÍCIOS,165,9 655,6 667,1 628 714,65 276 906,64 150 131,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
58,MERC. EM GERAL - EXC. ALIMENTÍCIOS,94,1 145,611,172 345,7 350 348,7 342 821,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
59,ARTIGOS DIVERSOS,1 054,9 588,4 738,11 784 960,31 409 177,31 017 358,,,,,,,,84,85,mistral_table,missing,yes
60,ARTIGOS USADOS,1 428,11 040,4 839,1 249 591,26 726 120,26 495 061,,,,,,,,84,85,mistral_table,pdf_text_layout_partial,yes
61,MINAS GERAIS,77 481,292 521,133 450,26 600 737,622 056 984,618 195 927,79 182,87 397,360 26S,196 472,2 610 436 631,65 668 044 641,6S D20 309 706,84,85,mistral_table,pdf_text_layout,no
62,COMÉRCIO VAREJISTA,73 311,252 597,117 282,20 221 732,395 337 328,392 358 165,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
63,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",35 464,69 528,15 295,3 550 530,58 039 892,57 890 870,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
64,"PROD. FARMACÊUTICOS, ODONT. E VETER",3 873,16 087,9 023,1 506 531,25 627 339,25 487 322,4 638,5 197,21 S80,12 448,164 S91 881,2 238 921 114,2 223 70S 48S,84,85,mistral_table,pdf_text_layout,no
65,"TECIDOS, VESTUÁRIO E ARMARINHO",14 623,49 264,24 972,3 425 931,40 493 504,40 403 408,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
66,MAG. E APARELHOS ELETR. USO DOMEST,3 105,16 259,8 092,1 597 270,28 000 515,27 838 465,2 499,3 489,18 620,12 2S3,144 S40 379,2 493 007 606,2 47S 760 4S1,84,85,mistral_table,pdf_text_layout,no
67,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",4 334,22 459,11 026,1 325 860,41 624 087,41 315 925,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
68,"VEÍCULOS NOVOS E USADOS, PECAS",2 818,17 291,8 514,2 176 570,57 576 248,56 736 844,3 966,4 407,29 961,17 275,280 83S 204,7 074 784 970,6 872 401 932,84,85,mistral_table,pdf_text_layout,no
69,MAG. E EQUIP. DE USO INDUSTRIAL,627,5 591,2 644,985 636,16 969 924,16 640 087,838,993,7 6S5,4 36S,92 72S 911,2 147 885 094,2 079 3SO 439,84,85,mistral_table,pdf_text_layout,no
70,COMBUSTÍVEIS E LUBRIFICANTES,2 225,15 898,6 711,1 377 469,51 626 730,61 051 061,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
71,"PAPELARIAS, LIVRARIAS",1 387,5 756,3 219,556 006,5 048 294,4 989 936,1 383,1 S38,6 023,3 493,37 6S1 118,390 028 188,381 S11 346,84,85,mistral_table,pdf_text_layout,no
72,MERC. EM GERAL - INC. ALIMENTÍCIOS,1 341,18 886,15 148,510 617,43 345 360,43 244 637,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
73,MERC. EM GERAL - EXC. ALIMENTÍCIOS,262,4 682,3 268,518 255,7 893 734,7 878 275,117 174,3 613,3 060,2S S96 647,S10 238,342,506 904 964,84,85,mistral_table,pdf_text_layout,no
74,ARTIGOS DIVERSOS,2 977,10 053,5 064,817 275,8 173 368,7 971 213,,,,,,,,84,85,mistral_table,mistral_table_partial,yes
75,ARTIGOS USADOS,275,843,306,65 782,918 333,910 937,S22,S36,1 416,611,6 872 S22,76 839 742,76 06S 872,84,85,mistral_table,pdf_text_layout,no
76,COMERCIO ATACADISTA,3 588,30 745,15 860,4 375 452,226 719 656,225 837 762,3 341,4 057,39 503,26 164,453 172 229,25 446 375 021,25 327 688 795,86,87,mistral_table,pdf_text_layout,no
77,PRODUTOS EXTRATIVOS E AGROPECUARIOS,181,819,348,90 402,4 145 825,4 123 073,376,398,2 273,1 456,17 235 710,623 042 814,612 964 719,86,87,mistral_table,pdf_text_layout,no
78,"PROD. ALIMENTICIOS, BEBIDAS E FUMO",1 990,14 249,6 886,1 548 093,70 915 303,70 569 086,1 676,2 010,17 335,11 629,154 137 205,795 444 238,9 755 658 316,86,87,mistral_table,pdf_text_layout,no
79,"PROD. FARMACÊUTICOS, ODONT. E VETER",210,2 468,1 222,456 890,9 576 258,9 443 881,221,261,3 728,2 541,51 264 566,422 126 931,1 415 159 778,86,87,mistral_table,pdf_text_layout,no
80,"TECIDOS, VESTUÁRIO E ARMARINHO",209,2 093,1 293,333 573,9 384 337,9 338 722,276,326,3 011,2 005,28 761 795,015 583 340,1 010 488 146,86,87,mistral_table,pdf_text_layout,no
81,MAG. E APARELHOS ELETR. USO DOMEST,31,251,124,36 067,656 311,646 906,21,31,346,185,4 127 438,59 117 832,56 820 397,86,87,mistral_table,pdf_text_layout,no
82,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",341,3 580,1 866,640 809,18 749 490,18 645 725,254,339,3 883,2 231,54 078 003,1 906 411 075,t 888 147 142,86,87,mistral_table,pdf_text_layout,no
83,"VEÍCULOS NOVOS E USADOS, PECAS",71,940,584,159 708,4 896 813,4 856 373,54,81,966,620,14 748 552,426 489 797,419 979 394,86,87,mistral_table,pdf_text_layout,no
84,MAG. E EQUIP. DE USO INDUSTRIAL,62,911,532,256 286,5 696 546,5 656 349,47,66,674,430,17 516 942,291 745 188,280 339 806,86,87,mistral_table,pdf_text_layout,no
85,COMBUSTÍVEIS E LUBRIFICANTES,89,988,536,187 189,77 583 434,77 522 261,44,102,t 155,928,23 070 374,7 010 408 481,7 000 048 355,86,87,mistral_table,pdf_text_layout,no
86,"PAPELARIAS, LIVRARIAS",79,744,382,147 305,2 737 975,2 728 183,64,84,858,524,12 571 799,264 089 344,261 004 240,86,87,mistral_table,pdf_text_layout,no
87,MERC. EM GERAL - INC. ALIMENTÍCIOS,37,1 576,1 006,252 999,13 192 188,13 141 370,16,29,2 454,1 912,53 801 127,2 092 777 971,2 092 575 291,86,87,mistral_table,pdf_text_layout,no
88,MERC. EM GERAL - EXC. ALIMENTÍCIOS,31,487,257,84 381,5 507 182,5 503 452,13,21,611,372,s 506 652,190 957 666,190 449 559,86,87,mistral_table,pdf_text_layout,no
89,ARTIGOS DIVERSOS,104,683,392,99 781,1 968 118,1 957 273,121 135,147 716,9,175 612,177 450,068 174,760 612,86,87,mistral_table,pdf_text_tokens,no
90,ARTIGOS USADOS,153,956,431,81 969,1 709 876,1 703 108,158 174,062 615,7,176 454,170 730,276 169,293 040,86,87,mistral_table,pdf_text_tokens,no
91,REGIÃO METROPOLITANA,13 905,90 028,51 503,11 553 961,250 111 167,248 446 915,13 943,16 592,109 559,69 272,1 061 291 417,24 542 539 451,24 304 967 aso,86,87,mistral_table,pdf_text_layout,no
92,COMÉRCIO VARGÍSTA,12 642,72 083,43 805,7 888 550,128 441 885,127 247 036,12 902,15 118,88 493,57 679,749 574 133,12 902 996 656,12 734 265 654,86,87,mistral_table,pdf_text_layout,no
93,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",4 351,11 104,4 879,791 452,13 202 792,13 170 322,4 167,4 772,14 555,7364,81 082 829,1 146 696 267,1 138 560 155,86,87,mistral_table,pdf_text_layout,no
94,"PROD. FARMACÊUTICOS, ODONT. E VETER",689,4 369,2 879,572 482,5 290 938,5 259 842,895,1 031,6 430,3985,62 043 541,439 575 836,432 877 835,86,87,mistral_table,pdf_text_layout,no
95,"TECIDOS, VESTUÁRIO E ARMARINHO",2 645,14 777,9 892,1 347 457,13 811 353,13 768 070,2 822,3 260,18 644,1'3170,135 883 770,t 476 162 475,1 469 690 240,86,87,mistral_table,pdf_text_layout,no
96,MAG. E APARELHOS ELETR. USO DOMEST,766,4 763,2 971,607 112,8 671 029,8 590 091,570,800,5 108,3378,49 452 819,812 920 709,802 559 119,86,87,mistral_table,pdf_text_layout,no
97,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",1 308,8 025,4 027,975 053,16 291 368,16 150 820,1 346,1 519,9 042,5617,78 049 901,1 290 783 972,1 275 295 087,86,87,mistral_table,pdf_text_layout,no
98,"VEÍCULOS NOVOS E USADOS, PECAS",595,5 071,2 742,826 903,18 146 868,17 842 192,,,,,,,,86,87,mistral_table,mistral_table_partial,yes
99,MAG. E EQUIP. DE USO INDUSTRIAL,195,2 376,1 052,565 964,7 948 356,7 751 185,,,,,,,,86,87,mistral_table,mistral_table_partial,yes
100,COMBUSTÍVEIS E LUBRIFICANTES,350,3 935,1 2 685,415 652,15 352 699,15 196 057,,,,,,,,86,87,mistral_table,missing,yes
101,"PAPELARIAS, LIVRARIAS",432,2 882,745,377 620,2 881 717,2 845 515,433,490,2 501,1 613,19 170 447,195 267 104,192 650 205,86,87,mistral_table,pdf_text_layout,no
102,MERC. EM GERAL - INC. ALIMENTÍCIOS,235,7 044,6 309,657 065,16 189 528,16 159 412,88,232,7 254,6 044,58 885 482,1 722 099 320,1 719 773 042,86,87,mistral_table,pdf_text_layout,no
103,MERC. EM GERAL - EXC. ALIMENTÍCIOS,89,2 910,1 986,341 738,5 366 803,5 355 557,18,40,2 331,2 051,17 387 274,339 136 180,336 370 456,86,87,mistral_table,pdf_text_layout,no
104,ARTIGOS DIVERSOS,900,4 373,2 573,468 504,4 581 660,4 454 347,993,1 171,5 530,3 412,40 247 315,418 428 762,401 922 952,86,87,mistral_table,pdf_text_layout,no
105,ARTIGOS USADOS,115,434,185,41 348,706 776,703 626,195,200,603,284,3 447 476,47 506 697,47 086 615,86,87,mistral_table,pdf_text_layout,no
106,COMÉRCIO ATACADISTA,1 080,13 283,7 468,2 447 693,121 669 278,121 199 879,1 041,1 315,17 007,11 412,226 733 194,11 635 400 484,11 570 701 396,86,87,mistral_table,pdf_text_layout,no
107,PRODUTOS EXTRATIVOS E AGROPECUARIOS,18,105,30,22 380,523 955,516 929,49,51,386,281,3 765 725,77 215 052,77 146 787,86,87,mistral_table,pdf_text_layout,no
108,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",423,4 394,1 2 398,639 331,23 562 550,23 415 731,345,417,5 255,3 822,55 136 811,2 214 167 425,2 201 332 973,86,87,mistral_table,pdf_text_layout,no
109,"PROD. FARMACÊUTICOS, ODONT. E VETER",91,1 507,782,306 915,5 259 620,5 142 553,91,110,2 206,t 595,33 362 294,742 601 320,739 710 45.7,86,87,mistral_table,pdf_text_layout,no
110,"TECIDOS, VESTUÁRIO E ARMARINHO",88,1 038,553,150 014,4 054 936,4 044 826,135,1 59,t 582,1 130,14 647 904,554 098 696,550 834 732,86,87,mistral_table,pdf_text_layout,no
111,MAG. E APARELHOS ELETR. USO DOMEST,35,711,59,23 760,41 701,4 701,12,19,241,106,3 308 181,44 001 536,42 338 399,86,87,mistral_table,pdf_text_layout,no
112,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",174,2 291,1 209,501 638,13 384 185,13 318 953,143,201,2 669,1 444,43 760 977,1 538 049 643,1 524 360 301,86,87,mistral_table,pdf_text_layout,no
113,"VEÍCULOS NOVOS E USADOS, PECAS",42,723,452,133 029,3 894 059,3 870 227,32,51,703,423,12 421 603,354 074 519,348 801 413,86,87,mistral_table,pdf_text_layout,no
114,MAG. E EQUIP. DE USO INDUSTRIAL,35,711,403,213 026,4 308 666,4 275 184,39,50,548,334,14 057 087,243 863 599,233 096 321,86,87,mistral_table,pdf_text_layout,no
115,COMBUSTÍVEIS E LUBRIFICANTES,22,385,347,86 417,54 567 957,54 524 463,,,,,,,,86,87,mistral_table,mistral_table_partial,yes
116,"PAPELARIAS, LIVRARIAS",50,593,301,135 996,2 526 493,2 517 769,,,,,,,,86,87,mistral_table,mistral_table_partial,yes
117,MERC. EM GERAL - INC. ALIMENTÍCIOS,6,347,335,63 303,2 457 473,2 457 294,t,4,303,252,5 704 815,305 593 845,309 539 204,86,87,mistral_table,pdf_text_layout,no
118,MERC. EM GERAL - EXC. ALIMENTÍCIOS,9,216,90,53 913,4 347 963,4 344 715,5,12,434,231,4 194 093,1 58 257 473,157 749 366,86,87,mistral_table,pdf_text_layout,no
119,ARTIGOS DIVERSOS,50,368,211,66 480,1 276 113,1 267 978,68,75,788,481,6 323 164,123 15 t 11 t,120 590 817,86,87,mistral_table,pdf_text_layout,no
120,ARTIGOS USADOS,62,480,196,51 491,1 111 510,1 109 550,64,74,550,348,4 127 940,105 109 158,104 796 586,86,87,mistral_table,pdf_text_layout,no
121,BELO HORIZONTE,10 914,76 566,44 795,10 113 388,164 610 370,163 344 170,10 291,12 411,89 138,57 785,868 660 285,14 998 844 448,14 802 116 568,86,87,mistral_table,pdf_text_layout,no
122,COMÉRCIO VARGÍSTA,9 923,61 497,38 853,6 924 313,108 947 992,107 929 141,,,,,,,,86,87,mistral_table,mistral_table_partial,yes
123,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",3 191,8 306,3 865,600 725,9 882 494,9 855 381,2 863,3 303,10 781,5 756,61 862 095,876 863 567 870,472 280,86,87,mistral_table,pdf_text_layout,no
124,"PROD. FARMACÊUTICOS, ODONT. E VETER",562,3 923,2 659,436 113,4 665 351,4 634 883,673,796,5 627,3 559,56 469 053,391 042 977 384,379 085,86,87,mistral_table,pdf_text_layout,no
125,"TECIDOS, VESTUÁRIO E ARMARINHO",2 107,13 536,5 475,1 274 277,13 093 086,13 050 479,,,,,,,,86,87,mistral_table,mistral_table_partial,yes
126,MAG. E APARELHOS ELETR. USO DOMEST,627,4 290,2 690,567 539,7 892 412,7 811 504,452,634,4 483,2 991,45 283 274,748 444 285 738,201 151,86,87,mistral_table,pdf_text_layout,no
127,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",985,6 645,3 411,841 573,13 958 918,13 832 799,937,1 084,7 331,4 719,66 885 909,123 935 029 109,508 885,86,87,mistral_table,pdf_text_layout,no
128,"VEÍCULOS NOVOS E USADOS, PECAS",485,4 152,2 281,673 881,14 714 961,14 443 012,633,748,7 166,4 290,86 604 658,865 751 551 827,206 393,86,87,mistral_table,pdf_text_layout,no
129,MAG. E EQUIP. DE USO INDUSTRIAL,189,2 192,949,525 864,7 316 003,7 142 841,245,277,3 031,1 702,50 123 948,137 063 626 094,692 235,86,87,mistral_table,pdf_text_layout,no
130,COMBUSTÍVEIS E LUBRIFICANTES,252,2 475,1 773,234 549,10 451 017,10 373 199,225,250,2 614,2 078,21 031 258,786 441 119 782,691 541,86,87,mistral_table,pdf_text_layout,no
131,"PAPELARIAS, LIVRARIAS",388,2 781,1 714,371 471,2 828 855,2 792 811,368,422,2 305,1 519,18 236 739,182 095 493 179,512 735,86,87,mistral_table,pdf_text_layout,no
132,MERC. EM GERAL - INC. ALIMENTÍCIOS,170,5 993,5 417,585 260,13 786 367,13 775 534,53 160,5 371,5 035,40 266 340,1 289 820 024,1 288,128 791,86,87,mistral_table,pdf_text_layout,no
133,MERC. EM GERAL - EXC. ALIMENTÍCIOS,43,2 671,1 965,323 968,5 328 034,5 316 845,15,31,2 311,2 037,17 291 838,338 425 960 335,660 236,86,87,mistral_table,pdf_text_layout,no
134,ARTIGOS DIVERSOS,827,4 219,2 523,458 311,4 484 970,4 359 501,839,1 005,5 125,3 240,38 431 452,405 592 810 389,243 984,86,87,mistral_table,pdf_text_layout,no
135,ARTIGOS USADOS,97,314,131,30 782,543 504,540 352,148,152,440 192,2 716 204,33 975 472,33,646 696,86,87,mistral_table,pdf_text_layout,no
136,COMÉRCIO ATACADISTA,819,10 581,5 720,2 015 298,55 662 379,55 415 029,730,913,12 492 258,165 477 940,4 445,661 271,4 403 023 105,86,87,mistral_table,pdf_text_layout,no
137,PRODUTOS EXTRATIVOS E AGROPECUARIOS,34,105,30,22 380,523 955,516 929,21,21,238 189,1 876 139,42,546 007,42 546 007,86,87,mistral_table,pdf_text_layout,no
138,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",240,2 981,1 601,449 205,17 569 770,17 525 460,145 178,2 935,2 142,33 918,460 953,141 071,949 744 970,86,87,mistral_table,pdf_text_layout,no
139,"PROD. FARMACÊUTICOS, ODONT. E VETER",81,1 560,755,289 767,4 872 510,4 810 497,,,,,,,,86,87,mistral_table,mistral_table_partial,yes
140,"TECIDOS, VESTUÁRIO E ARMARINHO",82,994,522,146 686,4 013 815,4 003 708,129 151,1 552,1 114,14 377,705 543,457 288,540 198 052,86,87,mistral_table,pdf_text_layout,no
141,MAG. E APARELHOS ELETR. USO DOMEST,10,125,59,23 760,393 798,391 707,12,19,241 106,3 308 181,44,001 536,42 338 399,86,87,mistral_table,pdf_text_layout,no
