entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,merchandise_sales_revenue_1985_million_cruzeiros,merchandise_sales_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
"BRASIL . . • . . . . . . . . . . . . """,723 409,"100,0",3 704 338,"100,0",34 556 170,"100,0",723 782 437,"100,0",81,pdf_text_layout,no
TOTAL DAS REGIOES METROPOLITANAS,209 749,"29,0",1 521 942,"41, 1",17 041 669,"49,3",327 343 724,"45,2",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,513 660,"71,0",2 182 396,"58,9",17 514 501,"50,7",396 438 713,"54,8",81,pdf_text_layout,no
REGIÃO NORTE . . . . . . '-,36 353,"100,0",155 316,"100,0",1 598 760,"100,0",25 239 223,"100,0",81,pdf_text_layout,no
TOTAL DA REGIAO METROPOLITANA,4 Z20,11. 6,34 501,"22,2",311 877,"19,S",6 459 051,"25,6",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,32 133,"88,4",120 815,"77,B",1 286 883,"ao,5",18 780 '172 ~~,"7 4, 4",81,pdf_text_layout,no
"PARA.,'--'",15 566,"100,0",71 658,"100,0",702 822,"100,0",11 359 820,"100,0",81,pdf_text_layout,no
REGIAO METROPOLITANA - BELEM,4 220,27. 1,34 501,48. 1,311 877,"44,4",6459051,"56,9",81,pdf_text_layout,no
REGIÃO NOROESTE,";i:. ••••••• , •••••••••••••••••••• 156 016","100,0",632 262,100.0,4 914 003,"100,0","90 717,832","·100,0",81,pdf_text_layout,no
TOTAL DAS REGIOES METROPOLITANAS,30 376,"19, 5",203 124,"JZ, 1",1 950 737,"39,7",36 613 574,"40,4",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,125 640,"80,5",429 138,"67,9",2 963 266,"60,3",54104 12:59,"59,6",81,pdf_text_layout,no
CEARA . .t,25 026,"100,0",97 465,"100,0",783 663,"100,0",13 023 '·344,"100,0",81,pdf_text_layout,no
REGIAO METROPOLITANA - FORTALEZA,9 553,"38,2",56 243,"57,7",471 968,"60,2",8 984(7â9,"69,0",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,15 473,61. 8,41 222,"42,3",311 695,"39,8",4 038'555,"31 ,O",81,pdf_text_layout,no
PERNAMl;!UCO,32 045,"100,0",136 895,"100,0",1 127 333,"100,0",19 794 971,"100,0",81,pdf_text_layout,no
REGIAO METROPOLITANA - RECIFE,12 273,"38,3",76 196,"55,7",720 749,"63,9",13 537 446,"68,4",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,19 772,"61, 7",60 699,"44,3",406 584,"36, 1","6 257 ""524","31,6",81,pdf_text_layout,no
BAHIA.'--,42 802,"100,0",188 298,"100,0",1 550 503,"100,0",30 37 t 583,"100,0",81,pdf_text_layout,no
REGIAO METROPOLITANA - SALVADOR,8 550,"20,0",70 685,"37,5",758 020,"48,9",14 091 339,"46,4",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,34 252,"80,0",117 613,"62,5",792 483,51. 1,16 280 244,"53,6",81,pdf_text_layout,no
