order_number,entry,establishments_1975,personnel_occupied_total_1975,personnel_occupied_linked_to_production_1975,average_monthly_personnel_occupied_1975,salaries_total_1975_thousand_cruzeiros,salaries_production_personnel_1975_thousand_cruzeiros,miscellaneous_expenses_1975_thousand_cruzeiros,industrial_operations_expenses_total_1975_thousand_cruzeiros,industrial_operations_expenses_raw_materials_materials_components_1975_thousand_cruzeiros,production_value_1975_thousand_cruzeiros,industrial_transformation_value_1975_thousand_cruzeiros,entry_ocr,source_page_left,source_page_right,entry_correction_method,left_extraction_method,right_extraction_method,needs_review
5063,BORRACHA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),BORRACHA,19,20,ocr_exact,mistral_table,tesseract_review_verified_all_suppressed,no
5064,QUIMICA,8,452,411,424,11 133,8 983,19 960,211 097,204 311,301 082,89 985,QUIMICA,19,20,ocr_exact,mistral_table,mistral_table,no
5065,PRODUTOS DE MATERIAS PLASTICAS,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS DE MATERIAS PLASTICAS,19,20,ocr_exact,mistral_table,mistral_table,no
5066,TEXTIL,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),TEXTIL,19,20,ocr_exact,mistral_table,mistral_table,no
5067,PRODUTOS ALIMENTARES,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS ALIMENTARES,19,20,ocr_exact,mistral_table,mistral_table,no
5068,DIVERSAS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),DIVERSAS,19,20,ocr_exact,mistral_table,tesseract_review_verified_all_suppressed,no
5069,ATIVIDADES DE APOIO E DE SERVICOS DE CARATER INDUSTRIAL,4,196,189,199,4 285,4 217,1 830,475,88,6 591,6 116,ATIVIDADES DE APOIO E DE SERVICOS DE CARA-TER INDUSTRIAL,19,20,industry_lexicon,mistral_table,mistral_table,no
5070,VERA CRUZ,29,195,143,174,2 241,1 198,4 025,18 411,18 015,27 243,8 832,VERA CRUZ,19,20,ocr_exact,mistral_table,mistral_table,no
5071,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),TRANSFORMACAO DE PRODUTOS DE MINERAIS NÃO METALICOS,19,20,ocr_exact,mistral_table,mistral_table,no
5072,MECANICA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MECANICA,19,20,ocr_exact,mistral_table,mistral_table,no
5073,MATERIAL DE TRANSPORTE,2,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),MATERIAL DE TRANSPORTE,19,20,ocr_exact,mistral_table,mistral_table,no
5074,MADEIRA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MADEIRA,19,20,ocr_exact,mistral_table,mistral_table,no
5075,MOBILIARIO,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MOBILIARIO,19,20,ocr_exact,mistral_table,mistral_table,no
5076,PAPEL E PAPELAO,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PAPEL E PAPELÃO,19,20,ocr_exact,mistral_table,mistral_table,no
5077,QUIMICA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),QUIMICA,19,20,ocr_exact,mistral_table,mistral_table,no
5078,"PERFUMARIA, SABOES E VELAS",1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"PERFUMARIA, SABTES E VELAS",19,20,industry_lexicon,mistral_table,tesseract_review_verified_all_suppressed,no
5079,PRODUTOS ALIMENTARES,13,98,77,82,782,461,1 704,15 576,15 451,19 666,4 090,PRODUTOS ALIMENTARES,19,20,ocr_exact,mistral_table,mistral_table,no
5080,EDITORIAL E GRAFICA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),EDITORIAL E GRAFICA,19,20,ocr_exact,mistral_table,mistral_table,no
5081,DIVERSAS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),DIVERSAS,19,20,ocr_exact,mistral_table,mistral_table,no
5082,VINHEDO,79,2 259,2 063,2 173,26 404,22 553,26 756,148 063,127 519,296 382,148 319,VINHEDO,19,20,ocr_exact,mistral_table,mistral_table,no
5083,EXTRACAO DE MINERAIS,1,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),EXTRACAO DE MINERAIS,19,20,ocr_exact,mistral_table,mistral_table,no
5084,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,19,907,819,951,12 195,10 465,11 797,67 733,54 730,153 584,85 851,TRANSFORMACAO DE PRODUTOS DE MINERAIS NÃO METALICOS,19,20,ocr_exact,mistral_table,mistral_table,no
5085,METALURGICA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),METALURGICA,19,20,ocr_exact,mistral_table,mistral_table,no
5086,MECANICA,11,175,161,183,3 413,3 096,3 213,4 453,4 058,19 158,14 705,MECANICA,19,20,ocr_exact,mistral_table,mistral_table,no
5087,MATERIAL ELETRICO E DE COMUNICACOES,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MATERIAL ELETRICO E DE COMUNICACOES,19,20,ocr_exact,mistral_table,mistral_table,no
5088,MATERIAL DE TRANSPORTE,3,81,66,62,780,684,1 511,2 918,2 598,7 664,4 746,MATERIAL DE TRANSPORTE,19,20,ocr_exact,mistral_table,mistral_table,no
5089,MADEIRA,5,22,18,15,219,117,273,653,629,1 282,629,MADEIRA,19,20,ocr_exact,mistral_table,mistral_table,no
5090,MOBILIARIO,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MOBILIARIO,19,20,ocr_exact,mistral_table,mistral_table,no
5091,PAPEL E PAPELAO,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PAPEL E PAPELÃO,19,20,ocr_exact,mistral_table,mistral_table,no
5092,BORRACHA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),BORRACHA,19,20,ocr_exact,mistral_table,tesseract_review_verified_all_suppressed,no
5093,QUIMICA,4,63,56,52,530,405,532,9 048,8 921,12 772,3 724,QUIMICA,19,20,ocr_exact,mistral_table,scan_verified_override,no
5094,PRODUTOS DE MATERIAS PLASTICAS,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS DE MATERIAS PLASTICAS,19,20,ocr_exact,mistral_table,tesseract_review_verified_all_suppressed,no
5095,TEXTIL,7,339,330,273,1 926,1 826,2 161,5 833,5 489,16 639,10 806,TEXTIL,19,20,ocr_exact,mistral_table,mistral_table,no
5096,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",3,20,19,13,126,126,120,253,244,786,533,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",19,20,ocr_exact,mistral_table,mistral_table,no
5097,PRODUTOS ALIMENTARES,7,321,06,305,1 709,1 282,1 181,44 468,43 797,52 400,7 932,PRODUTOS ALIMENTARES,19,20,ocr_exact,mistral_table,mistral_table,no
5098,EDITORIAL E GRAFICA,1,(X),1,(X),(X),(X),(X),(X),(X),(X),(X),EDITORIAL E GRAFICA,19,20,ocr_exact,mistral_table,mistral_table,no
5099,DIVERSAS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),DIVERSAS,19,20,ocr_exact,mistral_table,mistral_table,no
5100,ATIVIDADES DE APOIO E DE SERVICOS DE CARATER INDUSTRIAL,7,126,17,114,2 656,2 531,2 858,5 272,791,10 784,5 512,ATIVIDADES DE APOIO E DE SERVICOS DE CARA-TER INDUSTRIAL,19,20,industry_lexicon,mistral_table,mistral_table,no
