order_number,entry,establishments_1975,personnel_occupied_total_1975,personnel_occupied_linked_to_production_1975,average_monthly_personnel_occupied_1975,salaries_total_1975_thousand_cruzeiros,salaries_production_personnel_1975_thousand_cruzeiros,miscellaneous_expenses_1975_thousand_cruzeiros,industrial_operations_expenses_total_1975_thousand_cruzeiros,industrial_operations_expenses_raw_materials_materials_components_1975_thousand_cruzeiros,production_value_1975_thousand_cruzeiros,industrial_transformation_value_1975_thousand_cruzeiros,entry_ocr,source_page_left,source_page_right,entry_correction_method,left_extraction_method,right_extraction_method,needs_review
4562,MOBILIARIO,19,104,61,86,932,541,776,1 643,1 589,3 487,1 844,MOBILIARIO,1,2,ocr_exact,mistral_table,mistral_table,no
4563,"COUROS E PELES, ARTEFATOS PARA VIAGEM",1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"COUROS E PELES, ARTEFATOS PARA VIAGEM",1,2,ocr_exact,mistral_table,mistral_table,no
4564,QUIMICA,7,448,297,371,4 766,2 791,21 200,450 146,446 950,539 722,89 576,QUIMICA,1,2,ocr_exact,mistral_table,mistral_table,no
4565,"PERFUMARIA, SABOES E VELAS",1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"PERFUMARIA, SABDES E VELAS",1,2,industry_lexicon,mistral_table,mistral_table,no
4566,PRODUTOS DE MATERIAS PLASTICAS,3,69,57,56,1 438,821,1 661,2 960,2 882,6 931,3 971,PRODUTOS DE MATERIALO PLASTICAS,1,2,industry_lexicon,mistral_table,mistral_table,no
4567,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",12,54,21,41,272,136,218,1 233,1 206,2 104,871,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",1,2,ocr_exact,mistral_table,mistral_table,no
4568,PRODUTOS ALIMENTARES,94,581,206,514,5 611,1 463,4 665,16 181,14 634,31 574,15 393,PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
4569,EDITORIAL E GRAFICA,7,61,42,60,935,732,498,1 883,1 820,4 382,2 499,EDITORIAL E GRAFICA,1,2,ocr_exact,mistral_table,mistral_table,no
4570,DIVERAS,1,(X),-,(X),-,-,(X),(X),(X),(X),(X),DIVERAS,1,2,ocr_exact,mistral_table,mistral_table,no
4571,SARAPUI,4,12,6,12,27,27,80,135,108,369,234,SARAPUI,1,2,ocr_exact,mistral_table,mistral_table,no
4572,EXTRACAO DE MINERAIS,1,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),EXTRACAO DE MINERAIS,1,2,ocr_exact,mistral_table,mistral_table,no
4573,PRODUTOS ALIMENTARES,3,(X),(X),(X),(X),(X),(X),(X),108,(X),(X),PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
4574,SARUTAIA,9,37,25,33,198,105,753,1 311,1 292,6 159,4 848,SARUTAIA,1,2,ocr_exact,mistral_table,mistral_table,no
4575,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,3,27,19,23,161,71,730,1 284,1 276,6 067,4 783,TRANSFORMACAO DE PRODUTOS DE MINERAIS NFO METALICOS,1,2,industry_lexicon,mistral_table,mistral_table,no
4576,MADEIRA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MADEIRA,1,2,ocr_exact,mistral_table,mistral_table,no
4577,PRODUTOS ALIMENTARES,5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
4578,SEBASTIANOPOLIS DO SUL,6,13,6,13,64,64,28,36,(X),185,149,SEBASTIANOPOLIS DO SUL,1,2,ocr_exact,mistral_table,mistral_table,no
4579,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),TRANSFORMACAO DE PRODUTOS DE MINERAIS NFO METALICOS,1,2,industry_lexicon,mistral_table,mistral_table,no
4580,MADEIRA,1,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),MADEIRA,1,2,ocr_exact,mistral_table,mistral_table,no
4581,PRODUTOS ALIMENTARES,4,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
4582,SERRA AZUL,14,46,16,46,90,84,77,170,122,658,488,SERRA AIUL,1,2,scan_verified_override,mistral_table,mistral_table,no
4583,EXTRACAO DE MINERAIS,2,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),EXTRACAO DE MINERAIS,1,2,ocr_exact,mistral_table,mistral_table,no
4584,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,5,30,12,30,67,61,28,20,4,263,243,TRANSFORMACAO DE PRODUTOS DE MINERAIS NFO METALICOS,1,2,industry_lexicon,mistral_table,mistral_table,no
4585,METALURGICA,1,(X),-,(X),-,-,(X),(X),(X),(X),(X),METALURGICA,1,2,ocr_exact,mistral_table,mistral_table,no
4586,MADEIRA,1,(X),-,(X),-,-,(X),(X),(X),(X),(X),MADEIRA,1,2,ocr_exact,mistral_table,mistral_table,no
4587,PRODUTOS ALIMENTARES,5,9,(X),9,(X),(X),13,117,(X),192,75,PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
4588,SERRANA,37,595,475,640,9 020,7 735,13 342,68 025,58 061,114 045,46 020,SERRANA,1,2,ocr_exact,mistral_table,mistral_table,no
4589,EXTRACAO DE MINERAIS,10,56,36,45,469,290,1 087,469,-,2 586,2 117,EXTRACAO DE MINERAIS,1,2,ocr_exact,mistral_table,mistral_table,no
4590,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,4,38,31,40,295,253,80,130,78,556,426,TRANSFORMACAO DE PRODUTOS DE MINERAIS NFO METALICOS,1,2,industry_lexicon,mistral_table,mistral_table,no
4591,MECANICA,3,217,212,169,2 837,2 798,1 764,2 014,1 768,6 927,4 913,MECANICA,1,2,ocr_exact,mistral_table,mistral_table,no
4592,MATERIAL DE TRANSPORTE,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MATERIAL DE TRANSPORTE,1,2,ocr_exact,mistral_table,mistral_table,no
4593,MOBILIARIO,3,8,2,8,52,24,25,50,47,159,105,MOBILIARIO,1,2,ocr_exact,mistral_table,mistral_table,no
4594,PAPEL E PAPELAO,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PAPEL E PAPELRO,1,2,municipality_1985_lexicon,mistral_table,mistral_table,no
4595,QUIMICA,5,43,29,31,614,386,1 605,5 756,5 062,10 004,4 248,QUIMICA,1,2,ocr_exact,mistral_table,mistral_table,no
4596,PRODUTOS ALIMENTARES,7,173,115,269,3 967,3 367,7 462,57 303,50 285,89 228,31 925,PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
4597,EDITORIAL E GRAFICA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),EDITORIAL E GRAFICA,1,2,ocr_exact,mistral_table,mistral_table,no
4598,ATIVIDADES DE APOIO E DE SERVICOS DE CARATER INDUSTRIAL,4,14,11,31,479,446,549,1 468,212,2 495,1 027,ATIVIDADES DE APOIO E DE SERVICOS DE CARA-TER INDUSTRIAL,1,2,industry_lexicon,mistral_table,mistral_table,no
4599,SERRA NEGRA,95,567,451,549,5 533,4 034,5 064,34 955,34 047,53 304,18 349,SERRA NEGRA,3,4,ocr_exact,mistral_table,mistral_table,no
4600,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,6,26,17,29,232,168,288,370,288,1 404,1 034,TRANSFORMACRO DE PRODUTOS DE MINERAIS NAO METALICOS,3,4,industry_lexicon,mistral_table,mistral_table,no
4601,METALURGICA,5,66,54,58,709,515,1 057,3 243,3 177,6 463,3 220,METALURGICA,3,4,ocr_exact,mistral_table,mistral_table,no
4602,MATERIAL DE TRANSPORTE,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MATERIAL DE TRANSPORTE,3,4,ocr_exact,mistral_table,mistral_table,no
4603,MADEIRA,14,81,62,75,654,464,644,2 969,2 882,5 018,2 049,MADEIRA,3,4,ocr_exact,mistral_table,mistral_table,no
4604,MOBILIARIO,6,77,68,77,851,629,644,2 939,2 911,5 398,2 459,MOBILIARIO,3,4,ocr_exact,mistral_table,mistral_table,no
4605,"COUROS E PELES, ARTEFATOS PARA VIAGEM",5,14,11,10,45,45,23,135,129,288,153,"COURDS E PELES, ARTEFATOS PARA VIAGEM",3,4,industry_lexicon,mistral_table,mistral_table,no
4606,QUIMICA,1,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),QUIMICA,3,4,ocr_exact,mistral_table,mistral_table,no
4607,TEXTIL,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),TEXTIL,3,4,ocr_exact,mistral_table,mistral_table,no
4608,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",37,149,127,140,1 097,964,559,4 253,4 185,6 975,2 722,"VESTUARIO, CALCADES E ARTEFATOS DE TECIDOS",3,4,industry_lexicon,mistral_table,mistral_table,no
4609,PRODUTOS ALIMENTARES,11,60,44,69,651,465,1 086,17 987,17 650,20 932,2 945,PRODUTOS ALIMENTARES,3,4,ocr_exact,mistral_table,mistral_table,no
4610,BEBIDAS,4,35,21,32,477,154,295,565,536,1 654,1 089,BEBIDAS,3,4,ocr_exact,mistral_table,mistral_table,no
4611,EDITORIAL E GRAFICA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),EDITORIAL E GRAFICA,3,4,ocr_exact,mistral_table,mistral_table,no
4612,DIVERSAS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),DIVERSAS,3,4,ocr_exact,mistral_table,mistral_table,no
4613,SERTÃOZINHO,238,3 880,2 440,3 870,67 659,59 177,117 203,524 040,482 391,842 278,318 238,SERTAOZINHO,3,4,ocr_exact,scan_verified_override,mistral_table,no
4614,EXTRACAO DE MINERAIS,1,-,-,(X),(X),(X),(X),(X),(X),(X),(X),EXTRACRO DE MINERAIS,3,4,industry_lexicon,mistral_table,mistral_table,no
4615,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,15,47,26,52,285,267,267,1 267,1 125,1 928,661,TRANSFORMACRO DE PRODUTOS DE MINERAIS NAO METALICOS,3,4,industry_lexicon,mistral_table,mistral_table,no
4616,METALURGICA,39,675,601,606,13 250,11 231,8 279,75 176,69 116,107 210,32 034,METALURGICA,3,4,ocr_exact,mistral_table,mistral_table,no
4617,MECANICA,74,1 464,1 343,1 461,30 479,27 529,20 624,98 237,78 543,169 663,71 426,MECANICA,3,4,ocr_exact,mistral_table,mistral_table,no
4618,MATERIAL ELETRICO E DE COMUNICACOES,4,88,82,60,449,340,328,2 843,1 908,4 336,1 493,MATERIAL ELETRICO E DE COMUNICACOES,3,4,ocr_exact,mistral_table,mistral_table,no
4619,MATERIAL DE TRANSPORTE,8,134,117,135,2 357,2 162,1 654,11 962,11 770,21 001,9 039,MATERIAL DE TRANSPORTE,3,4,ocr_exact,mistral_table,mistral_table,no
4620,MADEIRA,13,55,32,50,728,518,426,1 520,1 139,3 052,1 532,MADEIRA,3,4,ocr_exact,mistral_table,mistral_table,no
4621,MOBILIARIO,12,99,78,89,1 313,1 057,664,1 465,1 426,4 194,2 729,MOBILIARIO,3,4,ocr_exact,mistral_table,mistral_table,no
4622,BORRACHA,1,(X),-,-,(X),-,(X),(X),(X),(X),(X),BORRACHA,3,4,ocr_exact,mistral_table,mistral_table,no
4623,QUIMICA,7,38,32,56,667,636,3 285,24 556,23 770,36 814,12 258,QUIMICA,3,4,ocr_exact,mistral_table,mistral_table,no
4624,PRODUTOS DE MATERIAS PLASTICAS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS DE MATERIAS PLASTICAS,3,4,ocr_exact,mistral_table,mistral_table,no
4625,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",4,49,40,47,67,44,34,71,70,175,104,"VESTUARIO, CALCADES E ARTEFATOS DE TECIDOS",3,4,industry_lexicon,mistral_table,mistral_table,no
4626,PRODUTOS ALIMENTARES,23,792,728,838,9 094,8 442,69 496,290 351,281 067,450 918,160 567,PRODUTOS ALIMENTARES,3,4,ocr_exact,mistral_table,mistral_table,no
4627,BEBIDAS,8,116,80,101,1 628,529,2 640,7 669,7 398,13 549,5 880,BEBIDAS,3,4,ocr_exact,mistral_table,mistral_table,no
4628,EDITORIAL E GRAFICA,4,19,(X),17,223,(X),142,405,393,1 079,674,EDITORIAL E GRAFICA,3,4,ocr_exact,mistral_table,mistral_table,no
4629,DIVERSAS,1,(X),-,(X),(X),-,(X),(X),(X),(X),(X),DIVERSAS,3,4,ocr_exact,mistral_table,mistral_table,no
4630,ATIVIDADES DE APOIO E DE SERVICOS DE CARATER INDUSTRIAL,23,277,254,309,6 688,6 064,8 531,7 838,4 057,25 788,17 950,ATIVIDADES DE APOIO E DE SERVICOS DE CARA-TER INDUSTRIAL,3,4,industry_lexicon,mistral_table,mistral_table,no
4631,SETE BARRAS,8,64,41,63,1 202,975,1 086,1 712,1 015,4 199,2 487,SETE BARRAS,3,4,ocr_exact,mistral_table,mistral_table,no
4632,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,3,44,32,44,1 133,920,1 037,1 557,889,3 750,2 193,TRANSFORMACRO DE PRODUTOS DE MINERAIS NAO METALICOS,3,4,industry_lexicon,mistral_table,mistral_table,no
4633,MADEIRA,4,(X),9,(X),69,55,(X),(X),(X),(X),(X),MADEIRA,3,4,ocr_exact,mistral_table,mistral_table,no
4634,MOBILIARIO,1,(X),-,(X),-,-,(X),(X),(X),(X),(X),MOBILIARIO,3,4,ocr_exact,mistral_table,mistral_table,no
4635,SEVERINIA,13,58,54,155,877,853,4 566,18 248,17 822,30 770,12 522,SEVERINIA,3,4,ocr_exact,mistral_table,mistral_table,no
4636,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,1,(X),(X),(X),-,-,(X),(X),-,(X),(X),TRANSFORMACRO DE PRODUTOS DE MINERAIS NAO METALICOS,3,4,industry_lexicon,mistral_table,mistral_table,no
4637,MECANICA,1,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),MECANICA,3,4,ocr_exact,mistral_table,mistral_table,no
4638,QUIMICA,1,-,-,(X),(X),(X),(X),(X),(X),(X),(X),QUIMICA,3,4,ocr_exact,mistral_table,mistral_table,no
4639,PRODUTOS ALIMENTARES,9,(X),(X),107,532,588,4 278,17 964,(X),28 546,10 582,PRODUTOS ALIMENTARES,3,4,ocr_exact,mistral_table,mistral_table,no
4640,ATIVIDADES DE APOIO E DE SERVICOS DE CARATER INDUSTRIAL,1,-,-,(X),(X),(X),(X),(X),-,(X),(X),ATIVIDADES DE APOIO E DE SERVICOS DE CARA-TER INDUSTRIAL,3,4,industry_lexicon,mistral_table,mistral_table,no
4641,SILVEIRAS,5,20,12,20,190,75,412,6 478,6 408,6 683,205,SILVEIRAS,3,4,ocr_exact,mistral_table,mistral_table,no
4642,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,2,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),TRANSFORMACRO DE PRODUTOS DE MINERAIS NAO METALICOS,3,4,industry_lexicon,mistral_table,mistral_table,no
4643,PRODUTOS ALIMENTARES,3,(X),(X),(X),(X),(X),(X),(X),6 408,(X),(X),PRODUTOS ALIMENTARES,3,4,ocr_exact,mistral_table,mistral_table,no
4644,SOCORRO,120,466,360,447,3 416,2 604,3 578,20 996,20 240,31 380,10 384,SOCORRO,3,4,ocr_exact,mistral_table,mistral_table,no
4645,EXTRACAO DE MINERAIS,6,53,46,48,452,356,301,35,21,1 575,1 540,EXTRACRO DE MINERAIS,3,4,industry_lexicon,mistral_table,mistral_table,no
4646,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,63,190,142,184,1 406,937,691,935,440,3 522,2 587,TRANSFORMACRO DE PRODUTOS DE MINERAIS NAO METALICOS,3,4,industry_lexicon,mistral_table,mistral_table,no
4647,METALURGICA,3,14,12,13,85,73,63,224,217,352,128,METALURGICA,3,4,ocr_exact,mistral_table,mistral_table,no
4648,MADEIRA,3,8,8,8,41,41,24,28,20,145,117,MADEIRA,3,4,ocr_exact,mistral_table,mistral_table,no
4649,MOBILIARIO,5,25,25,25,170,138,369,1 578,1 567,2 265,687,MOBILIARIO,3,4,ocr_exact,mistral_table,mistral_table,no
4650,"COUROS E PELES, ARTEFATOS PARA VIAGEM",1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"COURDS E PELES, ARTEFATOS PARA VIAGEM",3,4,industry_lexicon,mistral_table,mistral_table,no
4651,QUIMICA,3,5,3,5,20,20,11,12,12,54,42,QUIMICA,3,4,ocr_exact,mistral_table,mistral_table,no
4652,TEXTIL,6,12,9,14,120,108,119,1 843,1 836,2 309,465,TEXTIL,3,4,ocr_exact,mistral_table,mistral_table,no
4653,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"VESTUARIO, CALCADES E ARTEFATOS DE TECIDOS",3,4,industry_lexicon,mistral_table,mistral_table,no
4654,PRODUTOS ALIMENTARES,19,107,82,101,788,648,1 658,15 299,15 135,18 986,3 687,PRODUTOS ALIMENTARES,3,4,ocr_exact,mistral_table,mistral_table,no
4655,BEBIDAS,6,32,22,30,173,164,196,628,593,1 277,649,BEBIDAS,3,4,ocr_exact,mistral_table,mistral_table,no
4656,EDITORIAL E GRAFICA,3,9,7,9,72,56,38,52,49,129,77,EDITORIAL E GRAFICA,5,6,ocr_exact,mistral_table,mistral_table,no
4657,DIVERSAS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),DIVERSAS,5,6,ocr_exact,mistral_table,mistral_table,no
4658,SOROCABA,523,18 983,16 644,18 100,290 443,228 045,292 484,1 772 808,1 667 138,2 961 649,1 188 841,SOROCABA,5,6,ocr_exact,mistral_table,mistral_table,no
4659,EXTRACAO DE MINERAIS,3,6,2,5,48,18,44,29,29,319,290,EXTRACAO DE MINERAIS,5,6,ocr_exact,mistral_table,mistral_table,no
4660,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,115,1 368,1 035,1 310,14 973,9 397,24 986,94 271,82 284,194 229,99 958,TRANSFORMACAO DE PRODUTOS DE MINERAIS NFO METALICOS,5,6,industry_lexicon,mistral_table,mistral_table,no
4661,METALURGICA,53,1 695,1 513,1 768,27 520,21 801,33 465,302 828,276 746,512 128,209 300,METALURGICA,5,6,ocr_exact,mistral_table,mistral_table,no
4662,MECANICA,42,2 917,2 598,2 677,62 499,51 759,53 337,342 580,329 142,587 523,244 943,MECANICA,5,6,ocr_exact,mistral_table,mistral_table,no
4663,MATERIAL ELETRICO E DE COMUNICACOES,13,639,520,528,13 306,9 825,11 034,12 097,11 774,34 670,22 573,MATERIAL ELETRICO E DE COMUNICACOES,5,6,ocr_exact,mistral_table,mistral_table,no
4664,MATERIAL DE TRANSPORTE,22,1 704,1 385,1 700,26 349,25 719,26 004,77 175,69 557,155 810,78 635,MATERIAL DE TRANSPORTE,5,6,ocr_exact,mistral_table,mistral_table,no
4665,MADEIRA,13,104,76,103,972,599,1 882,5 479,5 404,9 405,3 926,MADEIRA,5,6,ocr_exact,mistral_table,mistral_table,no
4666,MOBILIARIO,21,492,430,444,5 983,4 233,6 127,21 693,20 597,4 732,23 039,MOBILIARIO,5,6,ocr_exact,mistral_table,mistral_table,no
4667,PAPEL E PAPELAO,3,306,263,300,3 179,1 878,5 642,10 969,9 745,31 736,20 767,PAPEL E PAPELRO,5,6,municipality_1985_lexicon,mistral_table,mistral_table,no
4668,BORRACHA,8,211,174,213,2 803,1 816,4 353,20 443,19 626,33 388,12 945,BORRACHA,5,6,ocr_exact,mistral_table,mistral_table,no
4669,"COUROS E PELES, ARTEFATOS PARA VIAGEM",5,54,39,44,423,331,258,1 452,1 407,2 224,772,"COUROS E PELES, ARTERATOS PARA VIAGEM",5,6,industry_lexicon,mistral_table,mistral_table,no
4670,QUIMICA,8,196,175,291,2 517,2 293,1 623,24 447,24 082,30 538,6 091,QUIMICA,5,6,ocr_exact,mistral_table,mistral_table,no
4671,PRODUTOS DE MATERIAS PLASTICAS,7,197,167,197,2 613,1 567,3 847,11 212,10 344,20 587,9 775,PRODUTOS DE MATERIAS PLASTICAS,5,6,ocr_exact,mistral_table,mistral_table,no
4672,TEXTIL,57,6 464,6 275,6 183,90 448,79 489,94 304,708 966,676 057,1 073 608,364 642,TEXTIL,5,6,ocr_exact,mistral_table,mistral_table,no
4673,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",18,448,382,419,3 472,2 541,1 975,11 439,10 574,20 059,8 620,"VESTUARIO, CALCAIOS E ARTERATOS DE TECIDOS",5,6,industry_lexicon,mistral_table,mistral_table,no
4674,PRODUTOS ALIMENTARES,83,1 227,927,1 137,12 265,7 256,13 045,99 616,97 140,151 094,51 478,PRODUTOS ALIMENTARES,5,6,ocr_exact,mistral_table,mistral_table,no
4675,BEBIDAS,3,77,71,77,683,445,590,5 205,5 166,6 960,1 755,BEBIDAS,5,6,ocr_exact,mistral_table,mistral_table,no
4676,EDITORIAL E GRAFICA,22,428,215,411,4 815,2 910,3 257,7 646,7 515,19 414,11 768,EDITORIAL E GRAFICA,5,6,ocr_exact,mistral_table,mistral_table,no
4677,DIVERSAS,10,272,236,212,1 837,1 084,2 904,9 301,8 686,17 867,8 566,DIVERSAS,5,6,ocr_exact,mistral_table,mistral_table,no
4678,ATIVIDADES DE APOIO E DE SERVICOS DE CARATER INDUSTRIAL,13,178,161,176,3 738,3 084,3 807,5 960,1 263,15 358,9 398,ATIVIDADES DE APOIO E DE SERVICOS DE CARA-TER INDUSTRIAL,5,6,industry_lexicon,mistral_table,mistral_table,no
4679,SUD MENUCCI,8,23,14,22,139,103,158,2 427,2 346,2 820,393,SUD MENUCCI,5,6,ocr_exact,mistral_table,mistral_table,no
4680,MADEIRA,1,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),MADEIRA,5,6,ocr_exact,mistral_table,mistral_table,no
4681,PRODUTOS ALIMENTARES,7,(X),(X),(X),(X),(X),(X),(X),2 346,(X),(X),PRODUTOS ALIMENTARES,5,6,ocr_exact,mistral_table,mistral_table,no
4682,SUMARE,206,5 681,5 018,5 646,121 543,92 851,128 881,979 556,913 857,2 068 431,1 088 875,SUMARE,5,6,ocr_exact,mistral_table,mistral_table,no
4683,EXTRACAO DE MINERAIS,1,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),EXTRACAO DE MINERAIS,5,6,ocr_exact,mistral_table,mistral_table,no
4684,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,33,879,791,818,11 924,8 969,14 909,43 201,37 191,116 738,73 537,TRANSFORMACAO DE PRODUTOS DE MINERAIS NFO METALICOS,5,6,industry_lexicon,mistral_table,mistral_table,no
4685,METALURGICA,12,575,557,581,11 828,11 650,31 874,46 687,38 765,149 510,102 823,METALURGICA,5,6,ocr_exact,mistral_table,mistral_table,no
4686,MECANICA,22,1 216,1 099,1 187,28 471,25 783,19 750,228 049,213 669,531 122,303 073,MECANICA,5,6,ocr_exact,mistral_table,mistral_table,no
4687,MATERIAL ELETRICO E DE COMUNICACOES,12,359,312,473,10 696,8 381,6 176,227 312,212 949,496 895,269 583,MATERIAL ELETRICO E DE COMUNICACOES,5,6,ocr_exact,mistral_table,mistral_table,no
4688,MATERIAL DE TRANSPORTE,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MATERIAL DE TRANSPORTE,5,6,ocr_exact,mistral_table,mistral_table,no
4689,MADEIRA,6,30,24,28,261,256,813,237,204,1 386,1 149,MADEIRA,5,6,ocr_exact,mistral_table,mistral_table,no
4690,MOBILIARIO,8,170,152,166,2 162,1 411,2 859,18 754,18 601,31 034,12 280,MOBILIARIO,5,6,ocr_exact,mistral_table,mistral_table,no
4691,PAPEL E PAPELAO,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PAPEL E PAPELRO,5,6,municipality_1985_lexicon,mistral_table,mistral_table,no
4692,BORRACHA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),BORRACHA,5,6,ocr_exact,mistral_table,mistral_table,no
4693,QUIMICA,3,129,89,130,4 599,1 942,7 256,84 781,83 694,135 756,50 975,QUIMICA,5,6,ocr_exact,mistral_table,mistral_table,no
4694,PRODUTOS FARMACEUTICOS E VETERINARIOS,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS FARMACUTICOS E VETERINARIOS,5,6,industry_lexicon,mistral_table,mistral_table,no
4695,"PERFUMARIA, SABOES E VELAS",1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"PERFUMARIA, SABOES E VELAS",5,6,ocr_exact,mistral_table,mistral_table,no
4696,PRODUTOS DE MATERIAS PLASTICAS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS DE MATERIAS PLASTICAS,5,6,ocr_exact,mistral_table,tesseract_review_verified_all_suppressed,no
4697,TEXTIL,68,1 198,1 079,1 162,13 575,11 295,17 088,113 237,100 732,170 230,56 973,TEXTIL,5,6,ocr_exact,mistral_table,mistral_table,no
4698,PRODUTOS ALIMENTARES,21,153,111,150,1 882,1 167,2 559,32 306,31 979,36 675,4 369,PRODUTOS ALIMENTARES,5,6,ocr_exact,mistral_table,mistral_table,no
4699,BEBIDAS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),BEBIDAS,5,6,ocr_exact,mistral_table,mistral_table,no
4700,EDITORIAL E GRAFICA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),EDITORIAL E GRAFICA,5,6,ocr_exact,mistral_table,mistral_table,no
4701,DIVERSAS,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),DIVERSAS,5,6,ocr_exact,mistral_table,mistral_table,no
4702,ATIVIDADES DE APOIO E DE SERVICOS DE CARATER INDUSTRIAL,7,253,148,246,21 753,8 836,6 223,3 873,257,31 858,27 985,ATIVIDADES DE APOIO E DE SERVICOS DE CARA-TER INDUSTRIAL,5,6,industry_lexicon,mistral_table,mistral_table,no
4703,SUZANO,214,9 317,8 020,8 874,198 866,153 988,229 639,1 434 831,1 343 633,2 569 635,1 134 804,SUZANO,5,6,ocr_exact,mistral_table,mistral_table,no
4704,EXTRACAO DE MINERAIS,12,139,109,147,1 654,1 069,3 947,2 225,646,17 233,15 008,EXTRACAO DE MINERAIS,5,6,ocr_exact,mistral_table,mistral_table,no
4705,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,50,1 436,1 221,1 386,23 643,18 529,25 688,110 309,94 015,212 731,102 422,TRANSFORMACAO DE PRODUTOS DE MINERAIS NFO METALICOS,5,6,industry_lexicon,mistral_table,mistral_table,no
4706,METALURGICA,19,480,404,445,7 982,5 674,9 704,15 654,11 415,40 255,24 601,METALURGICA,5,6,ocr_exact,mistral_table,mistral_table,no
4707,MECANICA,16,1 591,1 467,1 548,49 424,44 224,34 820,118 183,111 396,230 944,112 761,MECANICA,5,6,ocr_exact,mistral_table,mistral_table,no
4708,MATERIAL DE TRANSPORTE,3,30,22,25,764,444,627,864,824,2 469,1 605,MATERIAL DE TRANSPORTE,5,6,ocr_exact,mistral_table,mistral_table,no
4709,MADEIRA,6,123,49,124,3 150,911,3 761,66 767,66 354,74 329,7 562,MADEIRA,5,6,ocr_exact,mistral_table,mistral_table,no
4710,MOBILIARIO,8,115,102,108,1 951,1 846,762,1 750,1 663,4 008,2 258,MOBILIARIO,5,6,ocr_exact,mistral_table,mistral_table,no
