order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_service_activity_1980,salaries_withdrawals_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_service_activity_1985,salaries_withdrawals_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,395 797,2 211 783,1 403 971,280 393 481,1 140 225 587,432 342,448 702,2 583 183,1 772 247,77 706 582 122,106 895 088 261,172,173,mistral_table,mistral_table,no
2,ALOJAMENTO E ALIMENTAÇÃO,193 646,665 805,318 154,46 296 556,283 052 684,215 570,219 353,783 553,417 959,4 765 334 543,26 502 365 187,172,173,mistral_table,mistral_table,no
3,ALOJAMENTO,15 207,124 214,80 774,10 706 778,45 958 354,14 591,15 212,147 604,113 085,1 176 006 032,5 351 981 782,172,173,mistral_table,mistral_table,no
4,ALIMENTAÇÃO,178 439,541 591,237 380,35 589 778,237 094 310,200 979,204 141,635 949,304 870,3 589 328 511,21 150 383 405,172,173,mistral_table,mistral_table,no
5,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",81 353,313 707,182 682,31 963 426,100 259 147,95 868,97 715,329 065,188 249,2 658 713 520,8 498 123 049,172,173,mistral_table,mistral_table,no
6,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",81 353,313 707,182 682,31 963 426,100 259 147,95 868,97 715,329 065,186 249,2 658 7i3 520,8 498 123 049,172,173,mistral_table,pdf_text_layout,no
7,"PESSOAIS, DE HIGIENE E ESTÉTICA PESSOAL",25 887,86 910,49 001,7 466 095,21 487 674,26 597,27 536,93 538,55 223,630 335 408,1 803 070 259,172,173,mistral_table,mistral_table,no
8,PESSOAIS,9 354,35 887,20 365,3 032 078,11 699 168,8 953,9 748,34 031,19 703,228 563 002,834 399 911,172,173,mistral_table,mistral_table,no
9,HIGIENE E DE ESTÉTICA PESSOAL,16 533,51 043,28 836,4 434 017,9 788 506,17 544,17 788,59 507,35 520,401 772 406,988 670 348,172,173,mistral_table,mistral_table,no
10,"RADIOIDIFUSÃO, TELEVISÃO E DIVERSÕES",7 101,67 169,44 700,10 475 977,51 607 590,6 076,7 168,75 763,55 694,404 306 551,5 980 623 389,172,173,mistral_table,mistral_table,no
11,RADIOIDIFUSÃO E TELEVISÃO,1 484,38 842,26 363,7 672 816,37 996 335,1 224,1 498,48 420,37 140,1 194 584 410,4 707 066 590,172,173,mistral_table,mistral_table,no
12,DIVERSÕES,5 617,28 327,18 337,2 803 161,13 611 255,4 852,5 670,27 343,18 554,209 722 141,1 273 556 799,172,173,mistral_table,mistral_table,no
13,AUXILIARES DIVERSOS,74 512,993 654,763 469,170 933 010,606 107 958,77 435,85 785,1 234 983,1 012 962,17 490 327 257,60 551 009 729,172,173,mistral_table,mistral_table,no
14,AUX. DA AGROPECUARIA E REFLORESTAMENTO,3 046,59 496,40 744,10 280 038,29 092 093,1 550,1 988,80 286,65 742,1 275 850 148,2 721 230 782,172,173,mistral_table,mistral_table,no
15,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",11 182,82 825,50 791,16 981 326,125 969 772,15 100,16 873,118 778,81 727,2 292 221 794,13 018 820 244,172,173,mistral_table,mistral_table,no
16,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",1 866,18 424,12 061,4 287 167,19 075 271,1 503,1 731,19 209,13 860,428 011 363,2 307 092 508,172,173,mistral_table,mistral_table,no
17,AUXILIARES DOS TRANSPORTES,7 157,83 844,58 430,16 414 800,89 433 768,4 682,7 006,108 114,88 950,2 440 552 118,9 374 032 489,172,173,mistral_table,mistral_table,no
18,"AUX. CONSTRUÇÃO, OBRAS, GEOGESIA, ETC",4 464,80 902,56 343,27 692 252,85 731 097,3 831,4 197,80 481,63 076,1 930 277 140,6 478 506 320,172,173,mistral_table,mistral_table,no
19,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",2 789,160 906,150 380,10 128 024,25 491 050,2 889,3 168,200 922,188 311,992 588 312,2 365 090 853,172,173,mistral_table,mistral_table,no
20,AUX. PRESTADOS A EMPRESAS E PESSOAS,38 640,476 120,375 864,81 075 064,218 815 284,42 081,44 777,593 244,488 289,7 813 506 990,23 146 767 656,172,173,mistral_table,mistral_table,no
21,AUXILIARES DA SAÚDE,5 348,31 137,18 856,4 074 339,12 501 623,5 719,6 045,33 949,23 027,316 919 422,1 139 368 877,172,173,mistral_table,mistral_table,no
22,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMOVEIS",13 298,84 538,45 965,13 258 417,77 710 554,10 796,11 145,66 281,42 160,757 564 843,3 559 896 648,172,173,mistral_table,mistral_table,no
23,COMPRA E VENDA DE BENS IMOVEIS,8 113,42 753,19 913,7 228 498,51 183 919,4 135,4 260,17 728,9 802,196 029 654,1 176 344 861,172,173,mistral_table,mistral_table,no
24,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",5 185,41 785,26 052,6 029 919,26 526 735,6 661,6 885,48 553,32 358,561 535 189,2 363 551 767,172,173,mistral_table,mistral_table,no
25,REGIÃO NORDESTE,47 913,263 441,169 065,27 180 705,116 710 587,77 255,79 507,385 143,258 037,3 369 509 556,12 286 412 414,172,173,mistral_table,mistral_table,no
26,ALOJAMENTO E ALIMENTAÇÃO,22 173,84 279,43 709,5 432 956,28 443 945,40 073,40 677,145 212,82 401,865 323 756,4 165 504 112,172,173,mistral_table,mistral_table,no
27,ALOJAMENTO,2 727,20 646,12 935,1 557 253,6 963 460,2 968,3 088,27 128,20 601,184 262 135,900 597 321,172,173,mistral_table,mistral_table,no
28,ALIMENTAÇÃO,19 446,63 633,30 774,3 875 703,21 480 486,37 105,37 589,118 084,61 800,681 061 621,3 264 906 791,172,173,mistral_table,mistral_table,no
29,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",12 259,47 984,29 863,4 339 273,11 360 704,21 051,21 268,72 531,45 809,586 453 354,1 572 666 962,172,173,mistral_table,mistral_table,no
30,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",12 259,47 984,29 863,4 339 273,11 360 704,21 051,21 268,72 531,45 809,586 453 354,1 572 666 962,172,173,mistral_table,mistral_table,no
31,"PESSOAIS, DE HIGIENE E ESTÉTICA PESSOAL",3 171,10 186,5 974,790 202,2 033 372,5 066,5 165,15 518,9 139,104 602 426,286 067 226,172,173,mistral_table,mistral_table,no
32,PESSOAIS,993,3 507,1 944,254 196,936 213,1 539,1 622,4 798,2 634,32 868 756,117 120 240,172,173,mistral_table,mistral_table,no
33,HIGIENE E DE ESTÉTICA PESSOAL,2 178,6 679,4 030,536 006,1 097 159,3 517,3 543,10 720,6 505,71 733 670,168 946 986,172,173,mistral_table,mistral_table,no
34,"RADIOIDIFUSÃO, TELEVISÃO E DIVERSÕES",1 222,10 470,6 620,1 085 810,5 185 725,1 408,1 530,11 381,8 422,113 232 353,637 321 418,172,173,mistral_table,mistral_table,no
35,RADIOIDIFUSÃO E TELEVISÃO,182,6 106,3 964,774 388,3 613 546,208,234,6 499,5 224,80 410 655,493 568 880,172,173,mistral_table,mistral_table,no
36,DIVERSÕES,1 040,4 364,2 656,311 422,1 572 179,1 200,1 296,4 882,3 198,32 821 698,143 752 538,172,173,mistral_table,mistral_table,no
37,AUXILIARES DIVERSOS,8 265,104 149,79 517,14 527 550,63 731 377,8 958,10 143,135 789,108 965,1 648 964 951,5 343 954 075,172,173,mistral_table,mistral_table,no
38,AUX. DA AGROPECUARIA E REFLORESTAMENTO,415,11 646,7 316,2 528 400,7 215 995,132,211,12 592,6 458,315 919 637,587 837 761,172,173,mistral_table,mistral_table,no
39,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",1 766,11 194,6 947,1 775 641,9 622 626,1 799,2 111,15 817,11 871,216 135 928,1 222 377 759,172,173,mistral_table,mistral_table,no
40,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",1 168,746,452,127 218,649 651,78,126,718,483,12 154 937,98 005 625,172,173,mistral_table,mistral_table,no
41,AUXILIARES DOS TRANSPORTES,697,9 418,7 055,1 795 698,21 891 090,365,692,11 036,9 212,214 739 701,883 932 176,172,173,mistral_table,mistral_table,no
42,"AUX. CONSTRUÇÃO, OBRAS, GEOGESIA, ETC",349,6 704,4 964,1 698 929,7 330 243,385,452,9 204,7 589,166 373 783,633 047 429,172,173,mistral_table,mistral_table,no
43,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",292,15 051,13 843,835 709,2 262 047,339,370,18 720,17 817,89 398 649,222 423 740,172,173,mistral_table,mistral_table,no
44,AUX. PRESTADOS A EMPRESAS E PESSOAS,3 718,45 141,36 488,5 258 979,13 257 380,4 814,5 114,63 236,52 723,597 088 303,1 567 849 310,172,173,mistral_table,mistral_table,no
45,AUXILIARES DA SAÚDE,860,4 249,2 452,505 976,1 502 345,1 046,1 067,4 466,2 812,37 154 113,128 436 275,172,173,mistral_table,mistral_table,no
46,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMOVEIS",823,6 373,3 382,1 004 914,5 955 463,709,724,4 712,3 301,50 932 716,280 898 621,172,173,mistral_table,mistral_table,no
47,COMPRA E VENDA DE BENS IMOVEIS,611,4 006,1 893,650 013,4 037 180,357,361,1 393,776,13 456 885,55 259 163,172,173,mistral_table,mistral_table,no
48,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",212,2 367,1 489,354 901,1 918 283,352,363,3 319,2 525,37 476 031,225 639 458,172,173,mistral_table,mistral_table,no
49,MARANHÃO,3 079,15 759,9 820,1 283 768,4 517 256,5 053,5 179,27 754,18 950,211 738 429,807 977 844,172,173,mistral_table,mistral_table,no
50,ALOJAMENTO E ALIMENTAÇÃO,1 450,5 634,2 961,305 977,1 762 577,2 285,2 304,8 737,4 946,44 745 989,237 352 796,172,173,mistral_table,mistral_table,no
51,ALOJAMENTO,338,1 778,1 029,111 142,559 765,342,347,2 199,1 478,12 166 976,74 791 250,172,173,mistral_table,mistral_table,no
52,ALIMENTAÇÃO,1 112,3 856,1 932,194 835,1 202 812,1 943,1 957,6 538,3 468,32 579 310,162 561 546,172,173,mistral_table,mistral_table,no
53,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",853,3 080,1 855,239 784,706 129,1 657,1 662,6 007,3 848,36 824 531,115 812 701,172,173,mistral_table,mistral_table,no
54,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",853,3 080,1 855,239 784,706 129,1 657,1 662,6 007,3 848,36 824 531,115 812 701,172,173,mistral_table,mistral_table,no
55,"PESSOAIS, DE HIGIENE E ESTÉTICA PESSOAL",240,791,479,56 363,192 864,414,417,1 363,840,7 049 632,20 630 765,172,173,mistral_table,mistral_table,no
56,PESSOAIS,97,340,202,19 519,114 376,125,128,417,232,2 418 586,8 887 312,172,173,mistral_table,mistral_table,no
57,HIGIENE E DE ESTÉTICA PESSOAL,143,451,277,36 844,78 488,289,289,946,608,4 631 046,11 743 453,172,173,mistral_table,mistral_table,no
58,"RADIOIDIFUSÃO, TELEVISÃO E DIVERSÕES",107,689,444,45 215,270 583,160,166,818,519,5 614 934,39 100 447,172,173,mistral_table,mistral_table,no
59,RADIOIDIFUSÃO E TELEVISÃO,10,329,239,25 397,170 283,12,13,298,211,2 615 317,25 805 711,172,173,mistral_table,mistral_table,no
60,DIVERSÕES,97,360,205,19 818,100 300,148,153,520,308,2 999 617,13 294 736,172,173,mistral_table,mistral_table,no
61,AUXILIARES DIVERSOS,395,5 322,3 972,596 525,1 423 425,512,603,10 697,8 710,116 488 882,383 297 797,172,173,mistral_table,mistral_table,no
62,AUX. DA AGROPECUARIA E REFLORESTAMENTO,27,1 191,569,225 467,382 218,7,12,1 714,773,26 494 986,54 938 318,172,173,mistral_table,mistral_table,no
63,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",56,351,181,48 762,238 286,106,124,1 190,994,12 007 191,77 810 558,172,173,mistral_table,mistral_table,no
64,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",2,(A),(A),(X),(B),2,4,11,8,85 016,652 364,172,173,mistral_table,mistral_table,no
65,AUXILIARES DOS TRANSPORTES,57,506,402,60 286,154 502,22,63,732,583,12 425 475,97 559 451,172,173,mistral_table,mistral_table,no
66,"AUX. CONSTRUÇÃO, OBRAS, GEOGESIA, ETC",23,578,538,70 518,189 832,26,37,1 239,1 174,30 639 443,63 281 461,172,173,mistral_table,mistral_table,no
67,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",12,(F),(F),(X),(E),14,15,569,545,3 489 701,6 928 751,172,173,mistral_table,mistral_table,no
68,AUX. PRESTADOS A EMPRESAS E PESSOAS,182,2 188,1 882,162 586,369 192,270,283,5 000,4 490,29 540 829,76 136 783,172,173,mistral_table,mistral_table,no
69,A_UXILIARES DA SAUDE,,,,,,,,,,,,174,175,pdf_text_layout_partial,missing,yes
70,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMÓVEIS",34,243,109,39,904,25,27,132,87,1 014 461,11 783 338,174,175,mistral_table,mistral_table,no
71,COMPRA E VENDA DE BENS IMÓVEIS,30,180,79,27,125,13,14,81,55,480 626,3 486 572,174,175,mistral_table,mistral_table,no
72,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",4,63,30,12,776,12,13,51,32,533 633,8 296 765,174,175,mistral_table,mistral_table,no
73,SÃO LUIS,955,8 152,5 639,814,642,2 049,2 122,16 801,12 436,147 253 087,550 392 609,174,175,mistral_table,mistral_table,no
74,ALOJAMENTO E ALIMENTAÇÃO,389,2 167,1 404,151,114,815,830,3 622,2 282,20 222 412,112 869 644,174,175,mistral_table,mistral_table,no
75,ALOJAMENTO,55,702,539,61,390,44,46,859,783,6 772 081,47 587 649,174,175,mistral_table,mistral_table,no
76,ALIMENTAÇÃO,334,1 455,865,89,721,771,784,2 663,1 499,13 450 331,65 281 795,174,175,mistral_table,mistral_table,no
77,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",277,1 195,731,104,309,674,676,2 455,1 533,14 828 123,51 807 247,174,175,mistral_table,mistral_table,no
78,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",277,1 195,731,104,309,674,678,2 455,1 533,14 828 123,51 807 247,174,175,mistral_table,mistral_table,no
79,"PESSOAIS, DE HIGIENE E ESTÉTICA PESSOAL",103,420,276,30,396,763,263,921,583,4 516 788,12 697 695,174,175,mistral_table,mistral_table,no
80,PESSOAIS,38,164,132,10,946,49,49,212,131,1 296 840,4 330 258,174,175,mistral_table,mistral_table,no
81,HIGIENE E DE ESTÉTICA PESSOAL,65,236,144,19,453,214,214,709,452,3 219 948,8 357 437,174,175,mistral_table,mistral_table,no
82,"RADIODIFUSÃO, TELEVISÃO E DIVERSÕES",18,356,256,28,484,48,50,370,238,2 889 883,27 063 877,174,175,mistral_table,mistral_table,no
83,RADIODIFUSÃO E TELEVISÃO,5,290,206,24,123,5,5,226,149,2 139 344,24 129 526,174,175,mistral_table,mistral_table,no
84,DIVERSÕES,12,66,50,4,361,43,45,144,89,750 539,2 934 351,174,175,mistral_table,mistral_table,no
85,AUXILIARES DIVERSOS,145,3 825,2 882,464,587,232,282,9 331,7 725,104 069 225,335 634 179,174,175,mistral_table,mistral_table,no
86,AUX. DA AGROPECUARIA E REFLORESTAMENTO,3,889,394,198,964,-,4,1 671,749,26 323 450,41 780 517,174,175,mistral_table,mistral_table,no
87,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",12,263,143,40,071,89,105,1 106,930,10 717 883,72 334 026,174,175,mistral_table,mistral_table,no
88,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",2,(A),(A),(A),(B),2,4,11,8,85 016,652 364,174,175,mistral_table,mistral_table,no
89,AUXILIARES DOS TRANSPORTES,12,263,161,35,318,11,19,501,367,9 470 723,90 717 948,174,175,mistral_table,mistral_table,no
90,"AUX. CONSTRUÇÃO, OBRAS, DEODÉSIA, ETC",9,286,271,49,273,12,20,1 086,1 044,28 693 313,58 767 071,174,175,mistral_table,mistral_table,no
91,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",4,(F),(F),(F),(D),5,6,519,507,3 177 508,5 260 884,174,175,mistral_table,mistral_table,no
92,AUX. PRESTADOS À EMPRESAS E PESSOAS,60,1 723,1 574,119,972,87,96,4 302,4 036,24 541 497,92 606 361,174,175,mistral_table,mistral_table,no
93,AUXILIARES DA SAÚDE,13,110,68,10,552,26,26,135,84,1 059 835,3 524 986,174,175,mistral_table,mistral_table,no
94,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMÓVEIS",23,189,80,35,749,17,19,102,75,726 656,10 319 967,174,175,mistral_table,mistral_table,no
95,COMPRA E VENDA DE BENS IMÓVEIS,20,140,59,24,096,8,9,61,45,290 323,2 316 579,174,175,mistral_table,mistral_table,no
96,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",3,49,21,11,653,9,10,41,30,436 333,8 003 388,174,175,mistral_table,mistral_table,no
97,CAXIAS,134,501,284,30,476,174,175,696,453,3 050 253,12 636 280,174,175,mistral_table,mistral_table,no
98,ALOJAMENTO,3,26,13,984,8,10,10,35,21,110 182,989 119,174,175,mistral_table,mistral_table,no
99,ALIMENTAÇÃO,50,162,80,6,742,58,58,209,106,758 971,4 874 054,174,175,mistral_table,mistral_table,no
100,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",44,176,110,9,988,77,77,353,262,1 560 946,4 472 064,174,175,mistral_table,mistral_table,no
101,DEMAIS GÊNEROS,33,137,81,12,762,29,30,99,64,620 154,2 301 043,174,175,mistral_table,mistral_table,no
102,CEDO,79,283,177,16,922,98,98,379,230,2 161 163,7 300 661,174,175,mistral_table,mistral_table,no
103,ALOJAMENTO,8,40,20,2,423,7,7,42,30,143 497,1 127 854,174,175,mistral_table,mistral_table,no
104,ALIMENTAÇÃO,25,76,39,14,31,31,31,115,64,506 713,2 698 776,174,175,mistral_table,mistral_table,no
105,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",25,62,57,5,908,43,43,156,98,1 028 482,2 477 174,174,175,mistral_table,mistral_table,no
106,DEMAIS GÊNEROS,21,86,61,5,477,17,18,66,38,482 471,996 857,174,175,mistral_table,mistral_table,no
107,IMPERATRIZ,356,1 423,895,113,011,454,466,2 131,1 499,13 225 217,49 002 036,174,175,mistral_table,mistral_table,no
108,ALOJAMENTO,35,154,67,8,922,44,46,242,176,1 515 351,7 903 319,174,175,mistral_table,mistral_table,no
109,ALIMENTAÇÃO,84,278,135,17,060,91,91,408,267,1 568 479,8 269 289,174,175,mistral_table,mistral_table,no
110,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",123,387,232,35,145,171,171,703,482,3 513 156,12 977 731,174,175,mistral_table,mistral_table,no
