entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,total_revenue_1985_million_cruzeiros,total_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
CAPITAL,5 022,"30,6",45 666,"54,7",518 631,"65,2",1 748 949,"59,9",170,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,3 384,"20,6",14 790,"17,7",123 004,"15,5",527 902,"18,1",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,8 014,"48,8",22 998,"27,6",153 452,"19,2",642 815,"22,0",170,mistral_table,no
ALAGOAS,3 688,"100,0",18 578,"100,0",162 863,"100,0",547 390,"100,0",170,mistral_table,no
CAPITAL,1 729,"44,5",11 674,"62,8",115 326,"70,8",366 127,"66,9",170,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,395,"10,2",1 389,"7,5",8 542,"5,2",22 570,"4,1",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 754,"45,4",5 515,"29,7",38 995,"23,9",158 693,"29,0",170,mistral_table,no
SERGIPE,2 765,"100,0",12 652,"100,0",97 714,"100,0",391 387,"100,0",170,mistral_table,no
CAPITAL,1 044,"37,8",7 065,"55,8",65 416,"66,9",254 609,"65,1",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 721,"62,2",5 587,"44,2",32 299,"33,1",136 778,"34,9",170,mistral_table,no
BANÍA,28 485,"100,0",131 744,"100,0",1 211 094,"100,0",4 454 810,"100,0",171,mistral_table,no
CAPITAL,5 949,"20,9",54 640,"41,5",667 595,"55,1",2 489 132,"55,9",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,5 289,"18,6",19 271,"14,6",140 951,"11,6",460 857,"10,3",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,17 251,"60,8",57 633,"43,9",402 548,"33,2",1 504 822,"33,8",171,mistral_table,no
REGIÃO SUDESTE,244 472,"100,0",1 558 644,"100,0",18 263 645,"100,0",70 957 024,"100,0",171,mistral_table,no
TOTAL DAS CAPITAIS,86 686,"35,5",796 743,"51,1",11 944 139,"65,4",47 972 665,"67,6",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,74 529,"30,9",403 754,"25,9",3 790 628,"20,8",14 022 580,"19,8",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,83 257,"34,1",359 147,"23,0",2 528 878,"13,8",8 961 779,"12,6",171,mistral_table,no
MINAS GERAIS,56 463,"100,0",245 189,"100,0",1 892 251,"100,0",7 454 268,"100,0",171,mistral_table,no
CAPITAL,10 315,"18,3",88 439,"36,1",987 535,"52,2",3 510 698,"47,1",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,11 812,"20,9",53 272,"21,7",350 496,"18,5",1 433 400,"19,2",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,34 336,"60,8",103 478,"42,2",554 220,"29,3",2 510 169,"33,7",171,mistral_table,no
ESPIRITO SANTO,7 656,"100,0",49 068,"100,0",316 889,"100,0",1 529 284,"100,0",171,mistral_table,no
CAPITAL,1 684,"22,0",25 427,"51,8",178 396,"56,3",516 385,"59,9",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,2 978,"38,9",13 711,"27,9",86 742,"27,4",355 660,"23,3",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 994,"39,1",9 930,"20,2",51 750,"16,3",257 240,"16,8",171,mistral_table,no
RIO DE JANEIRO,53 014,"100,0",413 063,"100,0",5 545 470,"100,0",22 332 762,"100,0",171,mistral_table,no
CAPITAL,27 112,"51,1",310 361,"75,1",4 841 906,"87,3",19 303 371,"86,4",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,19 377,"36,6",78 238,"18,9",521 798,"9,4",2 148 433,"9,6",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,6 525,"12,3",24 464,"5,9",181 786,"3,3",880 958,"3,9",171,mistral_table,no
SÃO PAULO,127 339,"100,0",852 324,"100,0",10 509 035,"100,0",39 640 709,"100,0",171,mistral_table,no
CAPITAL,47 575,"37,4",372 516,"43,7",5 936 300,"56,5",24 242 211,"61,2",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,40 362,"31,7",258 533,"30,3",2 831 593,"26,9",10 083 087,"25,4",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,39 402,"30,9",221 275,"26,0",1 741 142,"16,6",5 313 411,"13,4",171,mistral_table,no
REGIÃO SUL,80 855,"100,0",391 359,"100,0",3 629 271,"100,0",13 709 758,"100,0",171,mistral_table,no
TOTAL DAS CAPITAIS,13 772,"17,0",131 454,"33,6",587 624,"43,7",5 429 037,"39,5",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,20 139,"24,9",96 695,"24,7",875 879,"24,1",3 572 871,"26,1",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,46 944,"58,1",163 210,"41,7",1 155 768,"32,1",4 707 849,"34,3",171,mistral_table,no
PARANA,31 421,"100,0",155 436,"100,0",1 330 682,"100,0",5 217 223,"100,0",171,mistral_table,no
CAPITAL,5 700,"18,1",49 316,"31,7",557 842,"41,9",2 035 089,"39,0",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,5 976,"19,0",34 027,"21,9",270 680,"20,3",1 129 368,"21,6",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,19 745,"62,8",72 093,"46,4",502 160,"37,7",2 052 766,"39,3",171,mistral_table,no
SANTA CATARINA,16 482,"100,0",72 926,"100,0",629 036,"100,0",2 402 004,"100,0",171,mistral_table,no
CAPITAL,1 166,"7,1",14 778,"20,3",181 067,"28,8",525 253,"21,9",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,4 903,"29,7",22 193,"30,4",199 333,"31,7",822 473,"34,2",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,10 413,"63,2",35 955,"49,3",248 636,"39,5",1 054 278,"43,9",171,mistral_table,no
RIO GRANDE DO SUL,32 952,"100,0",162 997,"100,0",1 669 553,"100,0",6 090 531,"100,0",171,mistral_table,no
CAPITAL,6 906,"21,0",67 360,"41,3",848 715,"50,8",2 868 695,"47,1",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,9 260,"28,1",40 475,"24,8",405 866,"24,3",1 621 031,"26,6",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,16 786,"50,9",55 162,"33,8",414 972,"24,9",1 600 806,"28,3",171,mistral_table,no
REGIÃO CENTRO-OESTE,26 855,"100,0",150 656,"100,0",1 440 542,"100,0",6 207 269,"100,0",171,mistral_table,no
TOTAL DAS CAPITAIS,11 751,"43,8",98 992,"65,7",1 089 219,"75,6",4 751 736,"76,6",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,1 751,"6,5",7 284,"4,8",61 344,"4,3",217 067,"3,5",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,13 353,"49,7",44 380,"29,5",289 979,"20,1",1 238 466,"20,0",171,mistral_table,no
MATO GROSSO DO SUL,5 285,"100,0",23 758,"100,0",194 892,"100,0",648 011,"100,0",171,mistral_table,no
CAPITAL,1 607,"30,4",10 922,"46,0",103 711,"53,2",317 869,"49,1",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,410,"7,8",1 961,"8,3",15 981,"8,1",57 234,"8,8",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,3 268,"61,8",10 875,"45,8",75 201,"38,6",272 908,"42,1",171,mistral_table,no
MATO GROSSO,5 112,"100,0",20 931,"100,0",211 028,"100,0",692 119,"100,0",171,mistral_table,no
CAPITAL,1 710,"33,5",9 687,"46,3",123 329,"58,4",357 587,"51,7",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,629,"12,3",2 594,"12,4",21 819,"10,3",76 669,"11,1",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 773,"54,2",8 650,"41,3",65 878,"31,2",257 863,"37,3",171,mistral_table,no
GUIAS,11 050,"100,0",49 025,"100,0",366 501,"100,0",1 426 916,"100,0",171,mistral_table,no
CAPITAL,3 026,"27,4",21 441,"43,7",194 058,"52,9",636 057,"44,6",171,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,712,"6,4",2 729,"5,6",23 544,"6,4",83 163,"5,8",171,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,7 312,"66,2",24 855,"50,7",148 900,"40,6",707 696,"49,6",171,mistral_table,no
DISTRITO FEDERAL,5 408,"100,0",56 942,"100,0",668 122,"100,0",3 440 223,"100,0",171,mistral_table,no
