entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,total_revenue_1985_million_cruzeiros,total_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,196 617,"43,6",746 151,"28,9",5 320 155,"19,2",20 033 951,"18,7",170,mistral_table,no
INGUÍA NORTE,17 013,"100,0",96 381,"100,0",1 003 615,"100,0",3 734 625,"100,0",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,9 586,"56,3",40 319,"41,7",385 626,"38,4",1 504 252,"40,3",170,mistral_table,no
RONDONIA,3 184,"100,0",12 302,"100,0",118 881,"100,0",449 934,"100,0",170,mistral_table,no
CAPITAL,1 206,"37,9",5 370,"43,7",56 359,"47,4",204 616,"45,5",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 978,"62,1",6 932,"56,3",62 522,"52,6",245 318,"54,5",170,mistral_table,no
ACRE,1 040,"100,0",3 570,"100,0",44 770,"100,0",136 218,"100,0",170,mistral_table,no
CAPITAL,649,"62,4",2 522,"70,6",33 384,"74,6",93 544,"68,7",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,391,"37,6",1 048,"29,4",11 386,"25,4",42 673,"31,3",170,mistral_table,no
AMAZONAS,3 098,"100,0",22 277,"100,0",253 694,"100,0",1 012 561,"100,0",170,mistral_table,no
CAPITAL,2 022,"65,3",18 854,"84,6",218 890,"86,3",869 144,"85,8",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 076,"34,7",3 423,"15,4",34 805,"13,7",143 417,"14,2",170,mistral_table,no
RORAÍNA,438,"100,0",2 255,"100,0",29 790,"100,0",88 778,"100,0",170,mistral_table,no
CAPITAL,365,"83,3",2 030,"90,0",27 038,"90,8",78 881,"86,5",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,73,"16,7",225,"10,0",2 751,"9,2",9 897,"11,1",170,mistral_table,no
PARA,6 950,"100,0",47 537,"100,0",489 047,"100,0",1 763 945,"100,0",170,mistral_table,no
CAPITAL,2 279,"32,8",22 706,"47,8",234 537,"48,0",824 430,"46,7",170,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,403,"5,8",2 123,"4,5",17 836,"3,6",57 241,"3,2",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,4 268,"61,4",22 708,"47,8",236 674,"48,4",882 273,"50,0",170,mistral_table,no
AMAPÁ,508,"100,0",2 574,"100,0",30 639,"100,0",108 082,"100,0",170,mistral_table,no
CAPITAL,457,"90,0",2 439,"94,8",29 242,"95,4",99 760,"92,3",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,51,"10,0",135,"5,2",1 398,"4,6",8 301,"7,7",170,mistral_table,no
TOCANTINS,1 795,"100,0",5 866,"100,0",36 793,"100,0",175 108,"100,0",170,mistral_table,no
CAPITAL,46,"2,6",118,"2,0",503,"1,4",2 736,"1,6",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 749,"97,4",5 748,"98,0",36 290,"98,6",172 371,"98,4",170,mistral_table,no
REGIÃO NORDESTE,79 507,"100,0",385 143,"100,0",3 369 510,"100,0",12 286 412,"100,0",170,mistral_table,no
TOTAL DAS CAPITAIS,23 370,"29,4",197 154,"51,2",2 061 565,"61,2",7 347 020,"59,8",170,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,12 480,"15,7",48 784,"12,7",358 239,"10,6",1 317 786,"10,7",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,43 677,"54,8",139 195,"36,1",949 705,"28,2",3 621 606,"29,5",170,mistral_table,no
MARANHÃO,5 179,"100,0",27 754,"100,0",211 738,"100,0",807 978,"100,0",170,mistral_table,no
CAPITAL,2 122,"41,0",16 801,"60,5",147 253,"69,5",550 393,"68,1",170,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,855,"16,5",3 645,"13,1",20 690,"9,8",75 385,"9,3",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 202,"42,5",7 308,"26,3",43 795,"20,7",182 201,"22,5",170,mistral_table,no
PIAUI,4 145,"100,0",17 230,"100,0",113 119,"100,0",412 342,"100,0",170,mistral_table,no
CAPITAL,1 157,"27,9",8 803,"51,1",67 040,"59,3",213 574,"51,8",170,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,341,"8,2",1 022,"5,9",5 152,"4,6",24 645,"6,0",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 647,"63,9",7 405,"43,0",40 928,"36,2",174 124,"42,2",170,mistral_table,no
CEARA,10 180,"100,0",52 162,"100,0",450 505,"100,0",1 556 449,"100,0",170,mistral_table,no
CAPITAL,4 092,"40,2",33 582,"63,2",322 217,"71,5",1 109 179,"71,3",170,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,842,"8,3",3 054,"5,7",19 999,"4,4",66 157,"4,3",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,5 246,"51,6",16 526,"31,1",108 289,"24,0",381 113,"24,5",170,mistral_table,no
RIO ORANDE DO NORTE,4 280,"100,0",21 193,"100,0",183 235,"100,0",733 619,"100,0",170,mistral_table,no
CAPITAL,1 480,"34,6",12 116,"57,2",118 275,"64,5",59 538,"62,6",170,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,475,"11,1",1 988,"8,4",12 965,"7,6",58 864,"8,0",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 325,"54,3",7 089,"33,4",50 995,"27,8",215 117,"29,3",170,mistral_table,no
PARAIBA,4 161,"100,0",19 376,"100,0",144 154,"100,0",462 771,"100,0",170,mistral_table,no
CAPITAL,775,"18,6",6 807,"35,1",39 813,"27,6",155 521,"33,8",170,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,679,"21,1",3 635,"18,8",25 036,"18,0",81 308,"17,6",170,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 507,"60,3",8 934,"46,1",78 405,"54,4",225 943,"48,8",170,mistral_table,no
PERNAMBUCO,16 420,"100,0",83 454,"100,0",795 087,"100,0",2 919 666,"100,0",170,mistral_table,no
