entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,merchandise_sales_revenue_1985_million_cruzeiros,merchandise_sales_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
BRASIL,723 409,"100,0",3 704 336,"100,0",34 556 170,"100,0",723 783 437,"100,0",82,mistral_table,no
TOTAL DAS CAPITAIS,194 108,"25,8",1 474 016,"35,8",16 934 695,"45,0",306 214 915,"42,3",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,162 233,"22,4",933 846,"25,2",6 304 326,"24,0",200 279 717,"27,7",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,367 068,"50,7",1 296 476,"35,0",9 317 149,"27,0",217 287 805,"30,0",82,mistral_table,no
REGIÃO NORTE,36 353,"100,0",155 316,"100,0",1 598 760,"100,0",25 239 223,"100,0",82,mistral_table,no
TOTAL DAS CAPITAIS,13 865,"38,2",80 266,"51,7",861 675,"53,9",15 632 992,"61,9",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,1 031,"2,8",4 247,"2,7",40 901,"2,6",605 296,"2,4",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,21 437,"59,0",70 803,"45,6",696 184,"43,5",9 000 933,"35,7",82,mistral_table,no
RONDONIA,4 512,"100,0",20 136,"100,0",209 986,"100,0",3 793 720,"100,0",82,mistral_table,no
CAPITAL,1 986,"37,4",7 176,"32,6",82 025,"39,1",1 986 975,"52,4",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 826,"62,6",12 960,"64,4",127 957,"60,9",1 806 745,"47,6",82,mistral_table,no
ACRE,3 331,"100,0",9 323,"100,0",146 106,"100,0",1 196 382,"100,0",82,mistral_table,no
CAPITAL,2 001,"60,1",6 253,"67,1",106 969,"73,2",803 327,"67,1",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 330,"36,9",3 070,"32,9",39 139,"28,8",393 055,"32,5",82,mistral_table,no
AMAZONAS,7 637,"100,0",36 199,"100,0",405 128,"100,0",6 509 686,"100,0",82,mistral_table,no
CAPITAL,4 501,"58,9",26 699,"73,8",300 608,"74,2",5 636 872,"86,6",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,3 136,"41,1",9 500,"26,2",104 520,"25,8",872 816,"13,4",82,mistral_table,no
RORAIMA,747,"100,0",3 163,"100,0",41 739,"100,0",524 662,"100,0",82,mistral_table,no
CAPITAL,598,"80,1",2 824,"89,3",36 205,"86,7",409 354,"78,0",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,149,"19,9",339,"10,7",5 534,"13,3",115 308,"22,0",82,mistral_table,no
PARA,15 566,"100,0",71 658,"100,0",702 822,"100,0",11 359 820,"100,0",82,mistral_table,no
CAPITAL,4 158,"26,7",33 726,"47,1",303 865,"43,2",6 244 273,"55,0",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,1 031,"6,6",4 247,"5,9",40 901,"5,8",605 298,"5,3",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,10 377,"66,7",33 685,"47,0",358 057,"50,9",4 510 248,"39,7",82,mistral_table,no
AMAPA,1 017,"100,0",3 753,"100,0",36 560,"100,0",570 449,"100,0",82,mistral_table,no
CAPITAL,847,"83,3",3 358,"89,5",30 967,"87,1",529 358,"92,8",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,170,"16,7",395,"10,5",4 593,"12,9",41 091,"7,2",82,mistral_table,no
TOCANTINS,3 543,"100,0",11 084,"100,0",57 416,"100,0",1 284 502,"100,0",82,mistral_table,no
CAPITAL,94,"2,7",230,"2,1",1 032,"1,8",22 832,"1,8",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,3 449,"97,3",10 854,"97,9",56 384,"98,2",1 261 970,"98,2",82,mistral_table,no
REGIÃO NORDESTE,156 016,"100,0",632 262,"100,0",4 914 003,"100,0",90 717 832,"100,0",82,mistral_table,no
TOTAL DAS CAPITAIS,40 716,"26,1",269 348,"42,6",2 477 899,"50,4",45 616 958,"50,3",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,21 947,"14,1",99 373,"15,7",712 249,"14,5",16 691 151,"18,4",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,92 353,"59,8",263 541,"41,7",1 723 855,"35,1",28 409 723,"31,3",82,mistral_table,no
MARANHÃO,12 959,"100,0",46 202,"100,0",298 564,"100,0",5 343 090,"100,0",82,mistral_table,no
CAPITAL,3 743,"28,9",17 653,"38,2",125 828,"42,1",2 727 808,"51,1",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,1 677,"12,9",7 950,"17,2",55 175,"18,5",1 035 269,"19,4",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,7 539,"56,2",20 599,"44,6",117 561,"39,4",1 580 013,"29,6",82,mistral_table,no
PIAUI,10 855,"100,0",33 267,"100,0","204 8,7","100,0",3 911 261,"100,0",82,mistral_table,no
CAPITAL,3 337,"30,7",14 704,"44,1",96 476,"47,1",2 340 982,"59,9",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,744,"6,9",2 443,"7,3",12 846,"6,3",226 753,"5,8",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,6 774,"62,4",16 120,"48,5",95 495,"46,6",1 343 527,"34,3",82,mistral_table,no
CEARA,25 026,"100,0",97 465,"100,0",783 663,"100,0",13 023 344,"100,0",82,mistral_table,no
CAPITAL,8 610,"34,4",53 529,"54,9",450 636,"57,5",8 637 504,"66,3",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,2 001,"8,0",7 473,"7,7",45 047,"6,3",912 662,"7,0",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,14 415,"57,5",36 463,"37,4",283 980,"36,2",3 473 178,"26,7",82,mistral_table,no
RIO GRANDE DO NORTE,9 591,"100,0",36 761,"100,0",294 122,"100,0",4 403 221,"100,0",82,mistral_table,no
CAPITAL,3 067,"32,0",17 776,"48,4",172 099,"58,5",2 775 082,"63,0",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,793,"8,3",4 005,"10,9",28 077,"9,5",447 584,"10,2",82,mistral_table,no
