entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,total_revenue_1985_million_cruzeiros,total_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
BRASIL,448 702,"100,0",2 583 183,"100,0",27 706 582,"100,0",106 895 088,"100,0",169,mistral_table,no
REGIÃO MUNICIPAL,17 013,"100,0",96 381,"100,0",1 003 615,"100,0",3 734 626,"100,0",169,mistral_table,no
TOTAL DA REGIÃO METROPOLITANA,2 304,"13,5",22 870,"23,7",236 199,"23,5",831 611,"22,3",169,mistral_table,no
DEMAIS MUNICIPIOS,14 709,"86,5",73 511,"76,3",767 416,"76,5",393 583,"2.5,3",169,mistral_table_plus_pdf_text_layout,no
PARA,6 950,"100,0",47 537,"100,0",489 047,"100,0",1 763 945,"100,0",169,mistral_table_plus_pdf_text_layout,no
REGIÃO METROPOLITANA - BELEM,2 304,"33,2",22 870,"48,1",236 199,"48,3",831 611,"47,1",169,mistral_table,no
DEMAIS MUNICIPIOS,4 646,"66,8",24 667,"51,9",252 846,"51,7",932 334,"52,9",169,mistral_table,no
REGIÃO NORDESTE,79 507,"100,0",385 142,"100,0",3 369 510,"100,0",,,169,mistral_table_partial,yes
TOTAL DAS REGIÕES METROPOLITANAS,18 317,"23,0",153 900,"40,0",1 681 390,"49,8",63 S34 933,"75,4",169,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,61 190,"77,0",231 243,"60,0",1 688 119,"50,0",778 911,"26,7",169,mistral_table_plus_pdf_text_layout,no
CEARA,10 180,"100,0",53 162,"100,0",450 505,"100,0",556 449,"100,0",169,mistral_table_plus_pdf_text_layout,no
REGIÃO METROPOLITANA - FORTALEZA,4 492,"44,1",36 090,"67,9",337 277,"74,9",,,169,mistral_table_partial,yes
DEMAIS MUNICIPIOS,5 688,"55,9",17 072,"32,1",113 229,"25,1",393 583,"25,3",169,mistral_table,no
PERNAMBUCO,16 420,"100,0",83 454,"100,0",795 087,"100,0",,,169,mistral_table_partial,yes
REGIÃO METROPOLITANA - RECIFE,7 005,"42,7",55 274,"66,2",600 322,"75,5",2 140 755,"73,3",169,mistral_table_plus_pdf_text_layout,no
