municipio,juros,salarios,terras,transporte
Porto Nacional,Nao ha taxas estabelecidas.,"Um trabalhador rural ganha 1$000 diarios; um vaqueiro encar regado da criacao (verdadeiro administrador de fazenda de criar), percebe 25 da produccao animal; nao ha escrivaes de fazenda; um carpinteiro, 3$000 diarios; uma .cozinheira, 15$000 mensaes; lavadeira, 10$000 mensaes. Os salarios sao pagos.e. os",Qualidades -As terras do: municipio sao na maior parte inferio capoeiras e campos e por alguns cerrados e carrascaes. Precos - O hectare de terra pertencente ao Estado custa 1$000 a 1$200; a particulares de 8o a 100 réis.,"Para o mercado local paga-se de 15 a 2o réis por litro de cereal; para Maroba e outros pontos, 1oo a 200 réis por litro."
Posse,A taxa é de 2% mensaes.,"Um trabalhador rural ganha 5oo réis diarios; um cozinheiro, de 6$000 a 10$000 mensaes; as lavadeiras cobram 20 réis por peca de roupa a lavar; um carpinteiro ganha de 2$000 a 3$000 diarios; nao ha administradores nem escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades-No municipio ha terras de todas as qualidades boas, regulares e inferiores. A vegetacao é muito vicosa durante a estacao das_chuvas. Precos-Um.hectare.de terras boas custa.1$200, mais ou menos.",A conduccao para o mercado local é feita pelos proprios productores.
Pouso Alto,Taxa de 12% annuaes.,"Um trabalhador rural ganha 500 réis diarios; um cozinheiro, de 6$000 a tofooo mensaes ; as lavadeiras cobram 20 réis por peça de roupa a lavar; um carpinteiro ganha de 2$000 a 38000 diarios ; não ha administradores nem escrivães de fazenda. Os | Um trabalhador rural ganha 1$000 diarios cu 28000 mensaes ; administradores e escrivães de fazenda, não ha; existem vaqueiros que ganham 5008000 annuaes; um carpinteiro 48000 a 68000 diarios; wma cozinheira 10$000 mensaes; uma lavadeira, 58000 mensaes. Os","Qualidades -- As terras sao geralmente boas; regulares, em uma ou outra parte do municipio; inferiores, sac unicamente as pequenas extenses das terras dos cerrados; quasi todas sao argillosas, poucas arenosas, e misturadas. .O municipio, comquanto plano, tenm pequenas partes accidentadas. As terras sao frescas e enxutas, nao ha terras pedregosas, nem pantanosas. A vegetacao é representada en sua naioria, pcr mattas virgens, capoeiras, bons campos e poucos cerrados. Nao ha carrascaes. Precos-Un hectare de terra boa custa de 4$000 a 5$000, approximadamente.","O transporte para o mercado local é feito em animaes dos proprios productores; para Araguary, é feito em tropas e carros de bois, custando 133 réis o kilo de cereal ou outra mercadoria agricola."
Pyrenopolis,Nao ha taxa fixa.,"O trabalhador rural ganha 1$000 diarios; um cozinheiro, de 10$000 a 15$000 mensaes; as lavadeiras ganham 4o réis por peca de roupa a lavar; um carpinteiro, de 3$000 a 5$000 diarios; nao ha administradores nen escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","qualidades -O municipio tem terras de toda sorte, boas, regulares e inferiores; umas sac. misturadas, outras arenosas e argillosas; ora planas, ora montanhosas. A vegetacao é representada por boas mattas, capoeiras, cerrados, carrascaes e campos. Precos-Um hectare de terras boas custa mais ou menos.de 2$000 a 2$400.","Os proprios productores conduzem seus generos ao mercado local; para a capital o transporte é feito em carros ou tropas, á razao de 1$500 por 15 kilos de cereaes."
Rio Bonito,1 a 2% ao mez.,"Trabalhador rural ganha 1$500 a 2$000 com comida ou 2$500 a 3$000 a secco; cozinheira, 12$000 a 15$000 mensaes; lavadeira, 10$000; carpinteiro, 5$000 a 6$000 por dia. Nao ha escrivaes nen adninistradores de fazenda. Os salarios sao pagos e os contractos","Qualidades - Em sua maioria planas e boas, parte argillosas, parte arenosas; ha poucas regulares e inferiores. A vegetacao é representada em grande parte por mattas virgens, capoeiras e boa parte de cerrados e muitos canpos. Precos - O preco de um hectare :de terra varia de 4$000 até 10$000, conforne a qualidade e situacao dos terrenos.","De Uberabinha a Rio Bonito (1o5 leguas) paga-se por tuma carga de 100 a 120 arrobas, 550$000 a 600$000!"
Rio Verde,De 1 a 1 1/2% ao mez.,"Um trabalhador rural, ganha 1$000 a 2$000 diarios; um vaqueiro ou ganha de 60$000 a 80$000, mensaes, ou tem porcentagem na produccao do gado de que toma conta, a qual é de 25 °, das crias. Nao ha escrivaes de fazenda. Um carpinteiro ganha de 5$000 a 8$000,diarios,com comidaum.cozinheiro,de 60$000 a.80$000 mensaes, (so para viagens distantes) ; uma lavadeira, de 20$000 a 30$000, mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Em sua maioria boas, argillosas e planas; havendo regulares, inferiores, arenosas e misturadas..A vegetacao é representada por mattas virgens, muitos campos.e cerradcs e alguns_carrascaes. Precos -- Um alqucire de terra com 48.40o,m2, custa cerca de 4$000 a 5$000 em terreno dlc campo; de 20$000 a 25$000 em terreno de matta. Nas immediaces da cidade, custa de &0$000 a 120$000.","Os agricultores fazen seus transportes, em geral,por-conta propria para o mercado local. Uma carrada ou carro de 1oo arrobas, custa de 10$000 a 20$000, nas distancias de cinco a dez leguas, respectivamente."
Santa Cruz,"Geralmente a taxa é de 2% mensaes,quando encontram prestamistas.","Um trabalhador rural ganha 1$000 diarios ou 20$000 mensaes; administradores nem escrivaes de fazenda nao ha; os vaqueiros que tomam conta do gado ganham um quarto da criacao, ou entao 400$000 annuaes; um carpinteiro ganha 2$500 a 3$000 diarios; uma cozinheira, 5$000 mensaes; as lavadeiras cobram 500 réis por duzia de roupa. Geralmente os salarios sao pagos e os contractos cumpridos.","Qualidades-As terras do municipio sao: boas, em sua maioria e regulares em pequena quantidade; inferiores, quasi nao ha; ha poucas; sao-quasi todas frescas e planas; montanhosas, sao unicamente as dos valles dos rios do Peixe e Coruimba. A vegetacao é representada por mattas virgens magnificas ; boas capoeiras; bons campos e alguns cerrados. Precos - Um hectare de terra boa custa de 2$000 a 3$000, approximadamente.","O transporte para o mercado local é feito em animaes dos proprios productores; até Araguary, em trcpa ou carro de bois custa 266 réis por kilo ou litro de cereal"
Santa Luzia,A taxa usual é de 1% ao mez.,"O.trabalhador rural ganha1$000 diarios;ocosinheiro,15$000 mensaes; as lavadeiras...5oo.réis por -duzia de pecas a lavar; um carpinteiro, de 4$000.a :5$000 diarios ; nao ha administradores nem escrivaes de -fazenda. Os.salarios sao pagos e os contractos","cumpridos... montanhosas, pedregosas e sécccas. A vegetacao é representada por mattas virgens, capoeiras, cerrados, carrascaes e campos. Precos-O preco de um hectare .de terra boa, é de 2$000 e talvez menos.","Para o mercado local o transporte é feito pelos proprios productores.. Para Araguary pagam pelo transporte de um kilo, cerca de 333 réis."
Santa Rita do Paranahyba,A taxa é de 1% ao mez.,"O trabalhador rural ganha de 1$500 a 2$000 diarios ou de 45$000 a 50$000 mensaes; um cozinheiro, 15$000 mensaes; uma lavadeira, de 10$000 a 12$000; um carpinteiro, de 4$000 a 5$000 diarios; nao ha administradores nem escrivaes de fazenda; os vaqueiros encarregados da criacao percebem 1/4 da produccao animal. Os salarios sao pagos e os contractos cumpridos.","Qualidades - As terras sao na geral boas; sao misturadas e montanhosas. A vegetacao é representada por mattas-virgens magnificas, capoeiras, cerrados, carrascaes e campos. Precos - O hectare de terra boa custa 6$000, mais ou menos.",Para Araguary e Uberabinha o custo do transporte é de 33 a 40 réis por kilo.
Sao Domingos,Nao ha emprestimos.,"Um trabalhador rural ganha 8oo réis diarios; nao ha administra dores nem escrivaes de fazenda;..o. vaqueiro, verdadeiro administrador, ganha. 25 """", sobre a produccao. da criacao da qual toma. conta; carpinteira, 3$000: diarics; cozinheira ou lavadeira, .10$000 mensaes. Os salarios sao pagos e.os contractos cumpridos.","Qualidades -As. terras do municipio sao em sua. maioria boas; em böa parte misturadas, montanhosas e..seccas; havendo algumas argillosas.e arenosas. A vegetacao é representada pcr mattas virgens, capoeiras, cerrados e muitos campos; nao ha carrascaes. Precos-Um hectare de terra böa custa 3$000, mais ou menos.",Sao feitos pelos proprios productores.
S. José do Tocantins,Taxa de 12% annuaes.,"Um trabalhador rural ganha 200 réis. diarios: não ha administradores nem escrivães de fazenda; o vaqueiro, verdadeiro administrador, ganha. 25 °|°, sobre a producção da criação da qual toma conta; carpinteiro, 38000. diarics: cozinheira ou lavadeira, T0$000 mensaes. Os","Qualidades - As terras do municipio sao magnificas, cobertas de ricas mattas, de culturas e de campos de criar; sao quasi em geral pedregosas e montanhosas; nao. ha terras pantanosas. Quanto a vegetacao ella é representada por mattas virgens fertilissimas, boas capoeiras, alguns cerrados e optimos campos. Precos - Das terras pertencentes ao Estado, em mattas, custa 8oo réis o hectare e em campos 50o réis. As terras de propriedade parti- cular tém ainda menor preco.",O transporte ao mercado local é feito pelos proprios produ ctores; ao ponto mais proximo da estrada de ferro custa 6oo réis um kilo de mercadoria.
Sitio d'Abbadia,Os agricultores tomam dinheiro para pagarem com productos das suas colheitas.,"Um trabalhador rural ganha 6oo réis diarios; nao ha administra dores, nem escrivaes de fazenda; carpinteiro, de 2$000 a 3$000 diarios; os cosinheiros,tem salario variavel; as lavadeiras cobram 2o réis por peca de roupa. Os salarios sao pagos, porém, os con-","Precos - Um hectare de terra böa custa 1$200, approximadamente.",O transporte para o mercado local é feito pelos proprios productores; nao ha 'carros nen tropas para conduccao de cargas.
Taguatinga,Nao ha taxa fixa.,"Um.trabalhador rural ganha 1$000 a sécco e 5oo réis com comida; cozinheira, 10$000 mensaes; lavadeira, 10$000 mensaes; carpinteiro, 2$000 a 2$500 diarios; um vaqueiro ganha 25"" da produccao animal. Nao ha administradores nen escrivaes de fazenda. Os salarios.assim como os .contractos, ora sao pagos.e","Qualidades-As terras do municipio sao em sua maioria boas e misturadas, planas, séccas e pedregosas, havendo em menor numero argillosas e. arenosas. A vegetacaoé representada por mattas virgens,capoeiras,cerrados e campos. Precos ---Um hectare de terra boa custa 2$000, mais ou menos.",O.preco dos transportes é muito variavel.
