municipio,juros,salarios,terras,transporte
Chapéo,Nao ha taxa determinada.,"Um trabalhador rural ganha 5oo réis a 2$000 diarios; nao ha administradores nem escrivaes de fazenda; un carpinteiro ganha 3$000 diarios; uma cozinheira ou lavadeira, 8$000 a 10$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","planos, montanhosos, seccos e pedregosos. A vegetacao é represen- tada por muitas. mattas virgens, capoeiras, cerrados e grandes campos. Precos --O hectare de terra; de propriedade particular, é vendido, mais ou menos, a 10o réis; e do Estado, de 50o réis a 1$200.","Para o.mercadc local, paga-se 20 a 50 réis por litro de cereal, conforre a distancia."
Conceicao do Norte,Nao usam fazer emprestimos à lavoura.,"Um trabalhador rural ganha 1$000 diarios; nao ha administradores nem escrivaes de fazenda; um vaqueiro, verdadeiro administrador das fazendas de criar, percebe como vencimento, o leite das vaccas e a quarta parte da produccao da criacao de que toma conta; um carpinteiro, 2$000 a -3$000 diarios; um cozinheiro ou uma lavadeira, 10$000 mensaes. Os contractos sao pagos e os contractos cunpridos.","Qualidades - As terras do .municipio sao na maioria boas e regula res, sillico-argillosas. e planas, existindo muitos terrenos pedregosos e seccos. A vegetacao é representada por poucas mattas virgens, muitas capoeiras,cerrados e campos. Precos - Q hectare de terra boa custa mais ou menos, 1$000 a 1$200.","Para o mercado local ou para outros pontos, pagam de 1o a 15 réis por transporte de um litro de cereal."
Corumba,Nao ha emprestimos.,"Um trabalhador rural ganha 1$000 diarios; um cozinheiro 10$000 a 15$000 mensaes;uma lavadeira,8$000 mensaes; um carpinteiro, de 3$000 a 5$000 diarios; nao ha administradores nem escrivaes de fazenda. Os salarios sao pagos e os contractos","Qualidades-O municipio possue terras de toda sorte, predomi nando as boas, as argillosas e montanhosas. A vegetacao é representada por mattas virgens, cerrados, capoeiras, carrascaes e_campos. Precos-Um hectare de terra boa custa mais ou menos, de 2$000 a 3$000.","O transporte ao mercado local é feito pelo proprio productor. Pagam para a capital, em tropas ou carro de bois, 2$000 por 15kilos."
Corumbahyba,A taxa é de 1% ao mez.,"O.trabalhador rural ganha 1$000 diarios ou 25$000 mensaes; uma cozinheira ou lavadeira, 10$000 mensaes; um carpinteiro, 5$000 diarios; nao ha administradores nem escrivaes de fazenda. Os vaqueiros percebem 400$000 annuaes e uma porcentagenm variavel sobre a criacao. Os salarios sao pagos e cs contractos","Qualidades -Nao ha no municipio terras inferiores; sao geralmente boas e regulares; na maioria silico-argillosas e planas, salvo as dos valles dos rios Verissimo, Corumba e Periquitcs, que sao nontanhosas; existem em alguns pontos terrenos pedregosos,mas nao ha pantanos :e terras seccas. A vegetacao é fcrmada por mattas-virgens, capoeiras, cerrados, carrascaes e canmpos. Precos-O lectare de terra boa custa 12$000,nais ou menos.","Para o mercado local as cargas sao transportadlas pelos productores para Araguary; paga-se 4oo réis por uma arroba, em carros de bois ou em tropas."
Curralinho,A taxa é de 8 a 10% annuaes.,"Um trabalhador rural ganha de 15$000 a 208000 mensaes ; administradores e escrivães de fazenda não ha; existem vaqueiros que ganhem 74 da criação nascida do gado de que tomam conta, ou 20$000 mensaes; um carpinteiro ganha sãooo diarios; um cozinheiro, de 108000 a 12$000 mensaes: uma lavadeira, de 5$000 a 0$000 mensaes. Os","Oualidades-As terras do municipio sao boas na sua quasi totalidade, existindo poucas regulares: e inferiores.Geralmente sao argillosas, havendo pequenas extenses de terrenos misturados. Nao ha terra arenosa. O municipio é geralmente plano existindo poucas terras montanhosas. As terras pedregosas sao em pequena quantidade. Nao ha terras propriamente seccas, sendo em geral, frescas e enxutas, assim tambem nao existem terras pantanosas. A vegetacao é representada por mattas virgens, capoeiras, cerrados e campos. Nao ha .carrascaes. Precos - Um alqueire de terra boa, de propriedade particular, custa de 80$000 a 100$000, e do Estado custa o hectare 2$000. A differenca, de preco é devido a distancia.","O custo de transporte.é de 2$000 por. arroba,conforme as distancias a percorrer; até Araguary custa o transporte 4oo réis por litro ou kilo de cereaes."
S. José do Duro,Nao sao usuaes os emprestimos agricolas.,"O trabalhador rural ganha 1$000 a 1$200 diarios; um adminis trador de fazenda, I :000$000 annuaes; nao ha escrivaes de fazen- da; um carpinteiro, 2$000 diarios;'uma cozinheira ou lavadeira, 10$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades -- As terras do municipio podem ser, mais ou menos, assim divididas: boas, as das mattas e capoes; regulares, as dos cerrados e taboleiros; e inferiores, a das chapadas; na maioria sa silico-argillosas. Sao planas, existindo muitos terrenos pedregosos. A vegetacao é representada por algumas mattas, cerrados e muitas capoeiras e canpos. Precos--O hectare de terra boa custa de $000 a 1$200, mais ou menos.","Para o mercado local paga-se de 5 a 2o réis por litro de cereal, conforme a distancia; e para os outros pontos de 15 a 30 réis por litro de cereal."
Formosa,Nao ha taxa fixa.,"Um trabalhador rural ganha 1$000 diarios; nao ha administra dores nem escrivaes de fazenda; um carpinteiro ganha 4$000 diarios ; um cozinheiro, 15$000 mensaes; pagam 50o réis por duzia de pecas de roupa lavada. Os salarios sao pagos e os contractos","Qualidades-As terras do, municipio sao böas e geralmente misturadas e planas. A vegetacao, é rcpresentada por mattas, capoeiras, cerrados, carrascaes e campos. Precos - Um hectare de terra boa custa 1$200, approximadamente.","Cobram de transporte, para Araguary, em tropas, 40o réis por kilo de cereaes e em carros, 200 réis."
Forte,Taxade 2% ao mez.,"Um trabalhador rural ganha 5oo réis diarios; nao ha administra dores nem escrivaes de fazenda; um carpinteiro ganha 2$000 diarios; um cozinheiro, 15$000'mensaes; as lavadeiras ganham 4o réis por peca de roupa lavada. Os salarios sao pagos, mas o$",".- Qualidades- No municipio ha terras de toda qualidade. Sua vege tacao é representada por optimas mattas virgens; boas capoeiras; cerrados, carrascaes.e campos magnificos, na estacao chuvosa, principalmente. Precos -Um hectare de terra boa custa 1$200 approximadamente. E2",O transporte para o mercado 1ocal é feito pelos proprios productores
Goyaz,A taxa adoptada é de 1% ao mez.,"O trabalhadlor rural, ganha, quando em servico diario, 1$000; nensal, 15$000 a 20$000; administradores de fazenda, nao ha; os vaqueiros, ganham um quarto da produccao annual do gado de que toman conta; escrivaes de fazenda, nao ha; carpinteiro, ganla de 4$000 a 6$000 diarios; cozinheiro, de 15$000 a 20$000, mensaes; as lavadeiras, cobram, segundo o tempo, sécco ou chuvosc, de 6oo a 8oo réis por 3o pecas. Os salarios nem sempre sao pagos, assin","Qualidades-Em sua maioria boas, algunas regulares; argillosas na bacia do ria Urubu (confluente do rio das Almas) ; arenosas na bacia do rio Vermelho (confluente do Araguaya); misturadas, algumas; regular extensao de planas e séccas; em sua maioria montanhosas e um tanto pedregosas. Pantanosas s6 em,alguns trechos nas margens dlos rios Vernelho e Araguaya. A vegetacao é representada em sua maioria por. mattas e capceiras, havendo alguns cerrados e campos; os carrascaes sao em pequena quantidade. Precos--Os precos do Estado para. um hectare de terra hoa, sao; campo, 50o réis; campo e matta, 1$000.",O transporte para o mercado local é feito pelos proprios productores
Ipamery,A taxa é de 1% ao mez.,"O trabalhador rural ganha 1$000 diarios ou 20$000 mensaes; um cozinheiro ou uma lavadeira ganha de 10$000 a 15$000 mensaes ; um carpinteiro, 5$000 diarios; nao ha administradores nem escrivaes de fazenda; os vaqueiros ganham; ou 500$000 annuaes pelo trato que dao ao gado, ou un quarto da produccao da criacao. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Os terrenos do municipio sao geralmente planos, predominando as terras boas nos valles dos rios S. Marcos e Vae-Vem, onde sao argillosas e nas margens dc Corumba e Verissimo, onde sao arenosas, encontrando-se porém, terras misturadas, por toda parte. A vegetacao é representada por grandes mattas virgens, capoeiras, cerrados, carrascaes e bons campos. Precos- O hectare de terra böa, custa 20$000, mais ou mencs.","Para o mercado iocal, o transporte é feito pelos proprietarios ; para f6ra do municipio paga-se 25 réis por kilo, em carros dc bois ou tropas."
