municipio,juros,salarios,terras,transporte
Curitiba,Nao ha emprestimos communs.,"'T'rabalhador rural, de 2$500 a 5$000 por dia, com ou scm comida ; nao ha adninistradores ncm escrivaes de fazendacarpinteiro,dc 4$000 a 6ooo por diacoznheiro,de 30$000 a 40$000 por mez: iavadeira & paga por peca, a razao de 1$000, a duzia. Os contractos sac cumpridos e os salarios pagos.","Qualidades-Boas, pequenaparte; regulares, na maior parte; inferiores nos altos dos campos;argillosaspoucas;arcnosas nas margens dos rios; misturadas na maior extensao do municipio: planas sónmente en algunas varzeas dlos rios; pantanosas, ha nuitas. Em nattas virgens e rapoeiras po:cas; cm cerradcs muitas. .. Os campos sao geralmentc inferiores e cheios de macéga. Precos -O preco do hectare de terra depende do logar, e varia de 2$000a50$000.","Para o nercado os productos sao conduzidos pr conta do agricultor. sendo muito variavcis os prccos para outra's pontos, conforme a procedencia."
Deodoro,Nao ha taxa fixa.,"Trabalhador rural, 3$000 diarios.; nao ha administradores nen escrivaes defazenda; naoha salarios.determinadospara os cozinheiros; as.lavadeiras cobrani 1$000 por duzia de peqas: carpinteiro,de 4$000. a 5$000 diarios.Os salarios sao pagos e os","Qualidades -- Na maioria sao inferiores, havendo boas c regulares sao nisturadas e muito accidentadas.A vegetacao é representada por grandes mattas e campos, muitas capociras e cerrados. Precos-Um hectarede terra boa custa de 40$000 a.70$000,mais ou_nenos.","Para o mercado local os productos sao transportados em carros ou cargueiros pelos proprios productores. Na estrada de ferro as mercadorias pagan para Antonina ou Paranagua : madeiras por tonelada, de 4$100 a 5$500; herva-matte, por tonelada e mais a taxa de 16.de 18$300 a25$800;herva caucheada,por tonelada emais a taxa deI"".16$000;caixas desarmadas,por tonelada, de 3$700 a 5$500; Ienha, para Curitiba, um wagon,9$780; tijollos c telhas,por tonelada,de 27$50 a 37$060; cabos de vassouras,por touclada,de 8$000 a11$000."
Entre-Rios,A taxa usual é de 18% ao anno.,"Trabalhador rural, de 2$000 a 3$000 diarios; cozinheir, de 20$000 a 30$000 mensaes; lavadeira, de 8$000 a 10$000 mensacs; carpinteiro, 5$000 diarios; administrador .de.fazenda, de 50$000 a 60$000 mensaes; nao ha escrivaes de fazenda. Os salarios sao pagos .e os contracos cumpridos.","Qualidades-Sao boas em sua maioria, principalmente para os lados de S.Jeronymo,Rio d'Area,Lageado,Cachoeira e Guabiriba; regulares. em pequena parte para os lados de Thesourao,Cassu- nunga e Ribeirao; as inferiores ainda estao cobertas de hervaes e pinheiraes.Ha manchas de argillosas, sendo comtudo a maior parte das terras.arenosas;,ha tambem algumas misturadas. A maiqria dellas é plana.: A vegetacao é representada por poucas mattas virgens,inuitas capoeiras.alguuscerrados,carrascaes e_campos. Precos-Um hectare de terra boa custa 30$000,regular 20$000 c inferior 10$000 a 15$000 todos cstes precos sao nais ou menos",Pelo transporte na estrada.de ferro paga-se 1$500 para sete arrobas c para o mercado local paga-se conforme a distancia.
Guarakessaba,Nao ha emprestimos.,"Lavadeira, 5oo réis por duzia de pecas de roupa; carpinteiro, de 4$500 a 5$000 diarios; trabalhador rural, de 22$000 a 3$000 diarios.O servico domestico é feito pelas.donas.de casa.Nao ha administradores nem escrivaes de fazenda. Os salarios sao pagos","Qualidades --Boas na maior. parte, principalmente nas planicies; regulares em pequena parte,. nas .serras; inferiores, nas margens . dos, rios; em varios logares, pedregosas.. Predominam as. terras misturadas. Ha poucos terrenos arenosos. Sao planas nas margens dos rios, onde ha excellentes terrenos cultivados; nontanhosos a oéste; ha terrenos pantanosos.nas nargens dos rios. Ha algumas mattas virgens nas serras;ha poucas capoeiras e cerrados; nao ha carrascaes_nem.campos. Precos--Um hectare de teura ba custa de 9$000 a 10$000,mais ouinenos.",".O arroz e o milho pagam 40o réis por 6o kilos; a bauana, 1oo réis por cacho."
Guarapuava,A taxa usual é de 12% ao anno.,"Trabalhador rural, 2$500 diarios, a secco ou 2$000, com comida; nao ha administradores nen escrivaes de fazenda; em algumas, porém, ha os capatazes, que percebem 300$000 por anno; carpin- teiro, ganha de 6$000 a 8$000 dairos ; cosinheiro, 15$000 a 20$000; lavadeira,5oo réis por duzia de pecas lavadas. Em geral os salarios sao pagos e contractos cumpridos.","Qualidades - Boas na quasi totalidade, havendo poucas regulares e quasi nenhuma inferior; sao em geral argillosas e misturadas, havendo poucas arenosas, sendo estas ultimas quasi senmpre as margens dos rios; sao planas em grandes extensoes,nas chapadas; havendo algumas montanhosas, formando a serra da Esperanca e suas ramificacoes;nao ha pedregosas nen seccas, sendo ao contra- rio enxutas e frescas.Ha alguns brejos.A vegetacao representada por mattas magnificas, capoeiras, fachinaes e bons campos. Nao ha cerrados, sendo poucos os carrascaes. Precos--Custa um hectare de terra boa,S$000,mais ou menos.","Até Ponta Grossa, pagam de transporte, por carroca, Ioo réis,por kilo."
Guaratuba,Nao ha emprestimos.,"Cozinheira,de 12$000 a 15$000 mensaes;lavadeira,8oo réis por duzia de pecas; carpinteiro, de 3$500 a 4$000 diarios ; trabalhador rural,de 1$000 a 1$200,com comidaNao ha administradores nen escrivaes de fazenda. Os salarios sao pagos c os contractos cunpridos.","Qualidades-Namaior parte boas c regulares; infcriores ha poucas; ha mais argillosas earenosas que misturatas,Quanto ao relevo, municipio e muito montanhoso e pedregso cm alguns logares, existindo, conitudo, alguns"" terrenos plaro. Quanto, a vegetacao é ella representada por muitas mattas virgens c cerrados, e algunas capoeiras e campos. Preco-Um hectare de terra böa.custa de 10$000 a 1$000, mais ounmenos.",O frete pelo transporte maritimc é de 8oo réis por 4o kilos de mercadorias.
Imbituva,A taxa é de 12 a 24% ao anno.,"Cozinhciro, de 20$000 a 30$000 mensaes; iavadeira, 5$000 mensaes; carpinteiro, 5$000 diarios; adninistradores c escrivaes de fazenda, nao ha; trabalhador rural, seja colono cu camarada,2$000 a 2$500 diarios. Os salarios sao pagos e os contractos cumpridos","Qualidades-Boas nas proximidades do rio dos Patos e da serra da Ribeira; regulares em pequena parte, e inferiores en grande parte, talvez metade do municipic Em sua maioria arenosas, seccas e onduladas;planas.a margem dos rios Imbituva e Inmbituviuha, montanhosas na serra da Ribeira. A vegetacao é representada por muitascapoeiras,.algumas mattas virgens,epoucoscerrados, carrascaesecampos. Precos-Umhectare de terra.boa, custa de 30$000 a 50$000 mais outnmenos.","$ - Pagam,no naximo,1o a 33 réis pelo transporte de um litro de cereal para o mercado local, e 40 réis por kilo, para Ponta Grossa, sendo o transporte feito em carrocas."
Itayopolis,A taxa é de 6% a 12% ao anno.,"Trabalhador rural, 2$000 diarios, com comida ; nao ha administra dores nem cscrivaes de fazenda carpinteiro,5$000 diarios; nao ha cozinheiros profissionaeslavadeira,2$000d1a110s.","Qualidades - Boas cm sua maioria, regulares c infericres em menor quantidade; argillosas em grande quantidade; arenosas muito poucas; misturadas na maior parte do municipio; planas muito poucas; montanhosas quasi todas; pedregosas: cm pequena quanti- dade junto as montanhas ; ha muita terra humosa; pantanosas muito poucas, nas margens dcs rios e banhados.A vegetacao é representada por muitas mattas virgens e capoeiras; aiguns cerrados, carrascaes ecampos. Precos-Un hectare de terra, distante da séde, custa 4$3a0, perto,61$980.","Um litro de cereal paga de transporte,para o mercado local. 16 reis; para o mercado do Rio Negro,um kilo de cereacs cu outra mercadoria agricola, paga 2o réis."
Ipiranga,A taxa é de 12 a 18% annuaes.,"Trabalhador rural, 22$000 a 3$000 diarios ; cosinheiro de 30$000 a 35$000 mensaes ; lavadeira, 15$000 a 20$000 mensaes ; carpinteiro, 4$500 a 5$000 diarios; adninistrador de fazenda, 50$000 a 60$000 mensaes; nao ha escrivaes de fazendas. Os salarios sao pagos e os","Qualidades - Geralmente regulares, predominaudo as argillosas e misturadas,sendo poucas as pedregosas, seccas e pantanosas; em geral accidentadas. A vegetacao do municipio é quasi que represen- tada por capoeiras; poucas sao as mattas virgens, carrascaes, cerrados e campos. Precos - Um hectare de terra böa custa dle 20$000 a 30$000, approxi- madanmente.","O trausporte, para o mercado local, de um litro de cereal custa 10, 20 e 25 réis. A herva matte paga para Ponta-Grossa, estacao da estrada de ferro, que fica a 57 kilometros da séde do municipio, 4oo réis por arroba."
Iraty,18 a 20% annuaes.,"Cozinheiro,de 40$000 a 50$000 mensaes; lavadeira,de 20$000 a 25$000 mensaes;carpinteiro, 5$000 diarios; administrador de fazenda,de 100$000 a 150$000 mensacs; escrivaes de fazcnda nao ha; o salario diario do trabalhador rural seja colono ou camarada é de 3$000,2$000, 1$500 e 1$000,conforme o servico.","Qualidades-Em sua maioria boas e regulares,havendo poucas inferiores;mais argillosas que arenosas,mais montanhosas do que planas. A vegetacao é representada por poucas mattas virgens, cerrados, carrascaes e campos, havendo muitas capoeiras. Precos-Um lectare de terra boa custa de 25$000 a 30$000, approximadamente.",O preco de transporte varia.conforne a distancia; em uma extensao de tres leguas pagam 2oo réis por arroba ou 13 réis por kilo.
