municipality,start_date,station,railway,branch
"Quixadá,CE",27.04.1919,FRANCISCODEHOLANDA,RededeViaçãoCearense(1919-1975)RFFSA(1975-1997),"Linha-tronco- km 203,411 (1960)"
"Ipu,CE",05.08.1951,ABÍLIOMARTINS,RededeViaçãoCearense(1951-1975)RFFSA(1975-1997),"Linha Norte km 339,684 (1960)"
"Quixeramobim,CE",04.08.1894,URUQUÊ(antigaFRANCISCOSÁ),E.F.deBaturité(1894-1909)RededeViaçãoCearense(1909-1975)RFFSA(1975-1997),"Linha-troncokm 221,622 (1960)"
"Ipueiras,CE",01.05.1910,IPUEIRAS,RededeViaçãoCearense(1910-1975)RFFSA(1975-1997),"Linha Nortekm 349,071 (1960)"
"Quixeramobim,CE",04.08.1894,QUIXERAMOBIM,E.F.deBaturité(1894-1909)RededeViaçãoCearense(1909-1975)RFFSA(1975-1997),"Linha-troncokm 237,467 (1960)"
"Ipueiras,CE",03.11.1910,ENGENHEIROJOÃOTHOMÉ(antigaCHARITOS),RededeViaçãoCearense(1910-1975)RFFSA(1975-1997),"Linha Norte- km 366,090 (1960)"
"Quixeramobim,CE",09.01.1921,SALVA-VIDAS,RededeViaçãoCearense(1921-1975)RFFSA(1975-1997),"Linha-tronco- km 251,091 (1960)"
"NovaRussas,CE",03.11.1910,NOVARUSSAS,RededeViaçãoCearense(1910-1975)RFFSA(1975-1997),"Linha Norte- km 382,838 (1960)"
"Quixeramobim,CE",04.06.1899,PRUDENTEDEMORAES,E.F.Baturité(1899-1909)RededeViaçãoCearense(1909-1975)RFFSA(1975-1997),"Linha-tronco- km 260,735 (1960)"
"Tamboril,CE",01.01.1912,SUCESSO(antigaPINHEIRO),RededeViaçãoCearense(1912-1975)RFFSA(1975-1997),"Linha Nortekm 410,917 (1960)"
"Quixeramobim,CE",14.06.1899,VICENTEDECASTRO(antigaSEBASTIÃODELACERDA),E.F.deBaturité(1899-1909)RededeViaçãoCearense(1909-1975)RFFSA(1975-1997),"Linha-tronco- km 270,399 (1960)"
"Crateús,CE",11.11.1950,SANTATEREZINHA,RededeViaçãoCearense(1950-1975)RFFSA(1975-1997),"Linha Nortekm 425,520 (1960)"
"SenadorPompeu,CE",07.09.1927,AMANAJU,RededeViaçãoCearense(1927-1975)RFFSA(1975-1997),"Linha-tronco- km 280,352 (1960)"
"Crateús,CE",12.12.1912,CRATEÚS,RededeViaçãoCearense(1912-1975)RFFSA(1975-1997)CFN(1997-),"Linha Norte- km 442,158 (1960)"
"Crateús,CE",1961,ADÃO,RededeViaçãoCearense(1961),Ramal de Independência- km 23
"Independência,CE",1961,INDEPENDÊNCIA,RededeViaçãoCearense(1961),Ramal de Independência- km 48
"SenadorPompeu,CE",02.07.1900,SENADORPOMPEU(antigaHUMAITÁ),E.F.deBaturité(1900-1909)RededeViaçãoCearense(1909-1975)RFFSA(1975-1997),"Linha-troncokm 289,972 (1960)"
"Crateús,CE",01.01.1917,POTI,RededeViaçãoCearense(1916-1975)RFFSA(1975-1997),"Linha Nortekm 464,360 (1960)"
"SenadorPompeu,CE",31.12.1922,ENGENHEIROJOSÉLOPES,RededeViaçãoCearense(1922-1975)RFFSA(1975-1997),"Linha-tronco- km 304,064 (1960)"
"Crateús,CE",03.09.1918,IBIAPABA,RededeViaçãoCearense(1918-1975)RFFSA(1975-1997),"Linha Norte- km 479,177 (1960)"
"PiquetCarneiro,CE",15.11.1907,PIQUETCARNEIRO(antigaGIRAU),E.F.deBaturité(1907-1909)RededeViaçãoCearense(1909-1975)RFFSA(1975-1997),"Linha-tronco- km 319,822 (1960)"
"Crateús,CE",30.11.1932,OITICICA,RededeViaçãoCearense(1932-1975)RFFSA(1975-1997),"Linha Norte- km 500,077 (1960)"
"PiquetCarneiro,CE",03.05.1908,IBICUÃ(antigaMIGUELCALMON),E.F.deBaturité(1908-1909)RededeViaçãoCearense(1909-1975)RFFSA(1975-1997),"Linha-tronco km 338,166 (1960)"
,31.12.1922,ENGENHEIROVERAS(LUNA),RededeViaçãoCearense(1922-1975)RFFSA(1975-1997),"Linha-tronco km 349,007 (1960)"
"Acopiara,CE",10.07.1910,ACOPIARA(antigaLAJESeAFONSOPENA),RededeViaçãoCearense(1910-1975)RFFSA(1975-1997),"Linha-troncokm 365,173 (1960)"
"Acopiara,CE",,QUINCOÊ,RededeViaçãoCearense(1910-1975)RFFSA(1975-1997),"Linha-tronco             km 384,369 (1960)"
"Iguatu,CE",15.11.1910,ENGENHEIROBARRETO(antigaSUSSUARANA),RededeViaçãoCearense(1910-1975)RFFSA(1975-1997),"Linha-tronco- km 400,820 (1960)"
"Iguatu,CE",05.11.1910,IGUATU,RededeViaçãoCearense(1910-1975)RFFSA(1975-1997)CFN(1997-2011),"Linha-tronco km 416,298 (1960)"
"Iguatu,CE",31.12.1922,JAGUARIBE,RededeViaçãoCearense(1922-1975)RFFSA(1975-1997),"Linha-tronco km 424,293 (1960)"
"Jucás,CE",n/d,MAURÍCIA,RededeViaçãoCearense(1921-1975)RFFSA(1975-1994),Ramal de Cariús km
"Cariús,CE",31.12.1922,CARIÚS(antigaPOÇODOSPAUS),RededeViaçãoCearense(1922-1975)RFFSA(1975-1994),"Ramal de Cariús km 457,208 (1960)"
"Iguatu,CE",30.03.1916,ALENCAR(antigaJOSÉDEALENCAR),RededeViaçãoCearense(1916-1975)RFFSA(1975-1997),"Linha-troncokm 436,984 (1960)"
"Icó,CE",,IGAROÍ(antigaÁGUAFRIA),RededeViaçãoCearense(1922-1968),"Ramal de             Orós km 452,421 (1960)"
"Orós,CE",31.12.1922,ORÓS,RededeViaçãoCearense(1922-1969),"Ramal de Oróskm 479,901 (1960)"
"Cedro,CE",15.08.1916,VARZEA,RededeViaçãoCearense(1916-1975)RFFSA(1975-1997),"Linha-troncokm 448,754 (1960)"
,15.08.1916,MALHADAGRANDE,RededeViaçãoCearense(1916-1975)RFFSA(1975-1997),"Linha-tronco km 454,095 (1960)"
"Cedro,CE",15.11.1916,CEDRO,RededeViaçãoCearense(1916-1975)RFFSA(1975-1997),"Linha-troncokm 467,819 (1960)"
"LavrasdaMangabeira,CE",31.12.1922,ARROJADO(antigaPAIANO),RededeViaçãoCearense(1922-1975)RFFSA(1975-1997)CFN(1997-2009),"Linha-tronco km 477,406 (1960)"
"LavrasdaMangabeira,CE",05.08.1923,AMANIUTUBA(antigaGALINHAS),RededeViaçãoCearense(1923-1975)RFFSA(1975-1997),"Ramal da Paraíba493,390             (1960)"
"Baixio,CE",05.08.1923,BAIXIO,RededeViaçãoCearense(1923-1975)RFFSA(1975-1997),"Ramal da Paraíba515,926             (1960)"
"SãoJoãodoRiodoPeixe,PB",05.08.1923,SANTAHELENA(antigaPOÇODEADÃO),RededeViaçãoCearense(1923-1975)RFFSA(1975-1997),"Ramal da Paraíbakm 526,324             (1960)"
"SãoJoãodoRiodoPeixe,PB",05.08.1923,BREJODASFREIRAS(antigaSÃOJOÃO),RededeViaçãoCearense(1923-1975)RFFSA(1975-1997),"Ramal da Paraíba538,384             (1960)"
"SãoJoãodoRiodoPeixe,PB",05.08.1923,ANTENORNAVARRO(SÃOJOÃODORIODOPEIXE),RededeViaçãoCearense(1923-1975)RFFSA(1975-1997),"Ramal da Paraíbakm 549,017             (1960)"
"Cajazeiras,PB",05.08.1926,CAJAZEIRAS,RededeViaçãoCearense(1926-1971),"Ramal da Paraíbakm 572,907             (1960)"
"Sousa,PB",13.05.1926,SOUSA,RededeViaçãoCearense(1926-1975)RFFSA(1975-1997)CFN(1997-),"Ramal da Paraíbakm 576,200             (1960)"
"LavrasdaMangabeira,CE",01.12.1917,LAVRASDAMANGABEIRA,RededeViaçãoCearense(1917-1975)RFFSA(1975-1997),"Linha-tronco km 491,036 (1960)"
"LavrasdaMangabeira,CE",,IBOREPI(antigaRIACHOFUNDO),RededeViaçãoCearense(1920-1975)RFFSA(1975-1997),"Linha-tronco             km 503,138 (1960)"
"Aurora,CE",07.09.1922,INGAZEIRAS,RededeViaçãoCearense(1920-1975)RFFSA(1975-1997),"Linha-tronco538,712 (1960)"
"MissãoVelha,CE",10.09.1925,MISSÃOVELHA,RededeViaçãoCearense(1925-1975)RFFSA(1975-1997),"Linha-troncokm 564,053 (1960)"
