order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_service_activity_1980,salaries_withdrawals_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_service_activity_1985,salaries_withdrawals_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,395 797,2 211 783,1 403 971,280 393 481,1 140 225 587,,,,,,,56,57,mistral_table,mistral_table_partial,yes
2,ALOJAMENTO E ALIMENTAÇÃO,193 646,665 805,318 154,46 296 556,283 052 664,215 570,219 353,783 553,417 959,4 765 334 543,26 502 365 187,56,57,mistral_table,pdf_text_layout,no
3,ALOJAMENTO,15 207,124 214,80 774,10 706 778,45 958 354,14 591,15 212,147 604,113 089,1 176 006 032,5 351 981 782,56,57,mistral_table,pdf_text_layout,no
4,ALIMENTAÇÃO,178 439,541 591,237 380,35 589 778,237 094 310,200 979,204 141,635 949,304 870,3 589 328 511,21 1 50 383 405,56,57,mistral_table,pdf_text_layout,no
5,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",81 353,313 707,182 682,31 963 426,100 259 147,,,,,,,56,57,mistral_table,missing,yes
6,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",81 353,313 707,182 682,31 963 426,100 259 147,,,,,,,56,57,mistral_table,missing,yes
7,"PESSOAIS, DE HIGIENE E ESTETICA PESSOAL",25 887,86 910,49 001,7 466 095,21 487 674,26 597,27 536,93 538,55 223,630 335 408,1 803 070 259,56,57,mistral_table,pdf_text_layout,no
8,PESSOAIS,9 354,35 867,20 365,3 032 078,11 699 168,8 953,9 748,34 031,19 703,228 563 002,834 399 911,56,57,mistral_table,pdf_text_layout,no
9,HIGIENE E DE ESTETICA PESSOAL,16 533,51 043,28 636,4 434 017,9 788 506,17 644,'11 788,59 507,35 520,401 772 406,968 670 348,56,57,mistral_table,pdf_text_layout,no
10,"RADIODIFUSÃO, TELEVISÃO E DIVERSÕES",7 101,67 169,44 700,10 475 977,51 607 590,6 076,168,75 763,55 694,404 306 551,5 980 623 389,56,57,mistral_table,pdf_text_layout,no
11,RADIODIFUSÃO E TELEVISÃO,1 484,38 842,26 363,7 672 816,37 996 335,1 224,498,48 420,37 140,194 584 410,4 707 066 590,56,57,mistral_table,pdf_text_layout,no
12,DIVERSÕES,5 617,28 327,18 337,2 803 161,13 611 255,4 852,670,27 343,18 554,209 722 141,1 273 556 799,56,57,mistral_table,pdf_text_layout,no
13,AUXILIARES DIVERSOS,74 512,993 654,763 469,170 933 010,606 107 958,,,,,,,56,57,mistral_table,pdf_text_tokens_partial,yes
