entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,total_revenue_1985_million_cruzeiros,total_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
BRASIL,448 702,"100,0",2 583 183,"100,0",27 706 582,"100,0",106 895 088,"100,0",53,mistral_table,no
TOTAL DAS REGIÕES METROPOLITANAS,158 607,"35,3",1 302 213,"50,4",17 136 381,"61,8",66 452 734,"62,2",53,mistral_table,no
DEMAIS MUNICIPIOS,290 095,"64,7",1 280 970,"49,6",10 570 201,"38,2",40 442 354,"37,8",53,mistral_table,no
REGIÃO NORTE,17 013,"100,0",96 381,"100,0",1 003 615,"100,0",3 734 626,"100,0",53,mistral_table,no
TOTAL DA REGIÃO METROPOLITANA,2 304,"13,5",22 870,"23,7",236 199,"23,5",831 611,"22,3",53,mistral_table,no
DEMAIS MUNICIPIOS,14 709,"86,5",73 511,"76,3",767 416,"76,5",2 903 015,"77,7",53,mistral_table,no
PARA,6 950,"100,0",47 537,"100,0",489 047,"100,0",1 763 945,"100,0",53,mistral_table,no
REGIÃO METROPOLITANA - BELEM,2 304,"33,2",22 870,"48,1",236 199,"48,3",831 611,"47,1",53,mistral_table,no
DEMAIS MUNICIPIOS,4 646,"66,8",24 667,"51,9",252 848,"51,7",932 334,"52,9",53,mistral_table,no
REGIÃO NORDESTE,79 507,"100,0",385 143,"100,0",3 369 510,"100,0",12 286 412,"100,0",53,mistral_table,no
TOTAL DAS REGIÕES METROPOLITANAS,18 317,"23,0",153 900,"40,0",1 681 390,"49,8",6 154 181,"50,1",53,mistral_table,no
DEMAIS MUNICIPIOS,61 190,"77,0",231 243,"60,0",1 688 119,"50,0",6 132 231,"49,9",53,mistral_table,no
CEARA,10 180,"100,0",53 162,"100,0",450 505,"100,0",1 556 449,"100,0",53,mistral_table,no
REGIÃO METROPOLITANA - FORTALEZA,4 492,"44,1",36 090,"67,9",337 277,"74,9",1 162 866,"74,7",53,mistral_table,no
DEMAIS MUNICIPIOS,5 688,"55,9",17 072,"32,1",113 229,"25,1",393 583,"25,3",53,mistral_table,no
PERNAMBUCO,16 420,"100,0",83 454,"100,0",795 087,"100,0",2 919 666,"100,0",53,mistral_table,no
REGIÃO METROPOLITANA - RECIFE,7 005,"42,7",55 274,"66,2",600 322,"75,5",2 140 755,"73,3",53,mistral_table,no
DEMAIS MUNICIPIOS,9 415,"57,3",28 180,"33,8",194 765,"24,5",778 911,"26,7",53,mistral_table,no
BAHIA,28 489,"100,0",131 744,"100,0",1 211 094,"100,0",4 454 810,"100,0",53,mistral_table,no
REGIÃO METROPOLITANA - SALVADOR,6 820,"23,9",62 536,"47,5",743 791,"61,4",2 850 560,"64,0",53,mistral_table,no
DEMAIS MUNICIPIOS,21 669,"76,1",69 208,"52,5",467 303,"38,6",1 604 250,"36,0",53,mistral_table,no
REGIÃO SUDESTE,244 472,"100,0",1 559 644,"100,0",18 263 645,"100,0",70 957 024,"100,0",53,mistral_table,no
TOTAL DAS REGIÕES METROPOLITANAS,120 586,"49,3",978 605,"62,7",13 496 918,"73,6",53 534 933,"75,4",53,mistral_table,no
DEMAIS MUNICIPIOS,123 886,"50,7",581 039,"37,3",4 766 727,"26,0",17 422 091,"24,6",53,mistral_table,no
MINAS GERAIS,56 463,"100,0",245 189,"100,0",1 892 251,"100,0",7 454 288,"100,0",53,mistral_table,no
REGIÃO METROPOLITANA - BELO HORIZONTE,13 579,"24,0",103 871,"42,4",1 103 367,"58,3",3 974 775,"53,3",53,mistral_table,no
DEMAIS MUNICIPIOS,42 884,"76,0",141 318,"57,6",788 883,"41,7",3 479 492,"46,7",53,mistral_table,no
RIO DE JANEIRO,53 014,"100,0",413 063,"100,0",5 545 470,"100,0",22 332 762,"100,0",53,mistral_table,no
REGIÃO METROPOLITANA - RIO DE JANEIRO,42 126,"79,5",367 463,"89,0",5 213 865,"94,0",20 861 792,"93,4",53,mistral_table,no
DEMAIS MUNICIPIOS,10 888,"20,5",45 600,"11,0",331 605,"6,0",1 470 970,"6,6",53,mistral_table,no
SÃO PAULO,127 339,"100,0",852 324,"100,0",10 509 035,"100,0",39 640 709,"100,0",53,mistral_table,no
REGIÃO METROPOLITANA - SÃO PAULO,64 881,"51,0",507 271,"59,5",7 179 686,"68,3",28 698 366,"72,4",53,mistral_table,no
DEMAIS MUNICIPIOS,62 458,"49,0",345 053,"40,5",3 329 349,"31,7",10 942 344,"27,6",53,mistral_table,no
REGIÃO SUL,80 855,"100,0",391 359,"100,0",3 629 271,"100,0",13 709 758,"100,0",53,mistral_table,no
TOTAL DAS REGIÕES METROPOLITANAS,17 400,"21,5",146 838,"37,5",1 721 874,"47,4",5 932 009,"43,3",53,mistral_table,no
DEMAIS MUNICIPIOS,63 455,"78,5",244 521,"62,5",1 907 397,"52,6",7 777 749,"56,7",53,mistral_table,no
PARANA,31 421,"100,0",155 436,"100,0",1 330 682,"100,0",5 217 223,"100,0",53,mistral_table,no
