entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,gross_production_value_1985_million_cruzeiros,gross_production_value_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
BRASIL,207 157,"100,0",5 608 704,"100,0",96 449 248,"100,0",1 132 811 769,"100,0",2,mistral_table,no
TOTAL DAS CAPITAIS,54 314,"26,2",1 821 996,"32,5",36 882 970,"38,2",265 924 400,"23,5",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,45 937,"22,2",1 838 277,"32,8",33 903 181,"35,2",430 242 723,"38,0",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,106 906,"51,6",1 948 431,"34,7",25 663 097,"26,6",436 644 646,"38,5",2,mistral_table,no
REGIÃO NORTE,7 991,"100,0",149 820,"100,0",1 787 563,"100,0",26 414 503,"100,0",2,mistral_table,no
TOTAL DAS CAPITAIS,2 400,"30,0",91 297,"60,9",1 184 652,"66,3",19 187 501,"72,6",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,193,"2,4",1 755,"1,2",14 575,"0,6",149 118,"0,6",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,5 398,"67,6",56 768,"37,9",588 337,"32,9",7 077 885,"26,8",2,mistral_table,no
RONDONIA,1 074,"100,0",13 757,"100,0",166 688,"100,0",1 812 339,"100,0",2,mistral_table,no
CAPITAL,243,"22,6",4 551,"33,1",78 500,"47,1",687 642,"37,9",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,831,"77,4",9 206,"66,9",88 189,"52,9",1 124 696,"62,1",2,mistral_table,no
ACRE,259,"100,0",2 707,"100,0",26 919,"100,0",295 666,"100,0",2,mistral_table,no
CAPITAL,112,"43,2",1 663,"61,4",18 801,"69,8",205 497,"69,5",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,147,"56,8",1 044,"38,6",8 118,"30,2",90 169,"30,5",2,mistral_table,no
AMAZONAS,1 188,"100,0",62 512,"100,0",810 308,"100,0",16 530 887,"100,0",2,mistral_table,no
CAPITAL,788,"66,3",54 445,"87,1",719 152,"88,8",15 043 040,"91,0",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,400,"33,7",8 067,"12,9",91 157,"11,3",1 487 847,"9,0",2,mistral_table,no
RORAIMA,191,"100,0",1 112,"100,0",12 007,"100,0",54 554,"100,0",2,mistral_table,no
CAPITAL,156,"81,7",943,"84,8",10 068,"83,9",43 721,"80,1",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,35,"18,3",169,"15,2",1 939,"16,1",10 833,"19,9",2,mistral_table,no
PARA,4 321,"100,0",63 302,"100,0",695 624,"100,0",7 063 301,"100,0",2,mistral_table,no
CAPITAL,919,"21,3",26 691,"42,2",306 194,"44,0",2 739 780,"38,8",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,193,"4,5",1 755,"2,8",14 575,"2,1",149 118,"2,1",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,3 209,"74,3",34 856,"55,1",374 855,"53,9",4 174 403,"59,0",2,mistral_table,no
AMAPA,183,"100,0",3 290,"100,0",56 345,"100,0",493 685,"100,0",2,mistral_table,no
CAPITAL,160,"87,4",2 932,"89,1",51 617,"91,6",466 727,"94,5",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,23,"12,6",358,"10,9",4 727,"8,4",26 958,"5,5",2,mistral_table,no
TOCANTINS,775,"100,0",3 140,"100,0",19 672,"100,0",164 071,"100,0",2,mistral_table,no
