entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,gross_production_value_1985_million_cruzeiros,gross_production_value_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
CAPITAL,22,"2,8",72,"2,3",319,"1,6",1 093,"0,7",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,753,"97,2",3 068,"97,7",19 353,"98,4",162 978,"99,3",2,mistral_table,no
REGIÃO NORDESTE,40 839,"100,0",604 285,"100,0",6 661 518,"100,0",97 653 590,"100,0",2,mistral_table,no
TOTAL DAS CAPITAIS,7 419,"18,2",194 708,"32,2",2 320 068,"34,8",22 661 112,"23,2",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,5 742,"14,1",105 751,"17,5",962 774,"14,5",16 393 962,"16,8",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,27 678,"67,8",303 826,"50,3",3 378 676,"50,7",58 798 516,"60,1",2,mistral_table,no
MARANHÃO,2 486,"100,0",25 531,"100,0",218 437,"100,0",3 670 466,"100,0",2,mistral_table,no
CAPITAL,396,"15,9",8 301,"32,5",113 126,"51,8",2 290 505,"62,4",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,427,"17,2",4 424,"17,3",29 545,"13,5",456 184,"12,5",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 663,"66,9",12 806,"50,2",75 765,"34,7",921 777,"25,1",2,mistral_table,no
PIAUI,2 721,"100,0",18 337,"100,0",103 688,"100,0",1 308 227,"100,0",2,mistral_table,no
CAPITAL,421,"15,5",8 298,"45,3",48 214,"46,5",680 211,"52,0",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,191,"7,0",1 484,"8,1",10 571,"10,2",195 494,"14,9",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 109,"77,5",8 555,"46,7",44 903,"43,3",432 521,"33,1",2,mistral_table,no
CEARA,6 165,"100,0",110 769,"100,0",843 527,"100,0",9 335 623,"100,0",2,mistral_table,no
CAPITAL,1 589,"25,6",62 213,"56,2",549 216,"65,1",5 441 495,"58,3",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,521,"8,5",9 896,"8,9",56 961,"6,8",767 033,"8,4",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,4 055,"65,8",38 660,"34,9",237 350,"28,1",3 107 095,"33,3",2,mistral_table,no
RIO GRANDE DO NORTE,2 903,"100,0",43 734,"100,0",302 189,"100,0",3 707 453,"100,0",2,mistral_table,no
CAPITAL,504,"17,4",13 543,"31,0",108 240,"35,8",1 096 747,"28,8",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,279,"9,6",4 893,"11,2",35 071,"11,6",552 787,"14,9",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 120,"73,0",25 298,"57,8",158 879,"52,6",2 087 918,"56,3",2,mistral_table,no
PARAIBA,3 005,"100,0",40 422,"100,0",292 463,"100,0",3 867 827,"100,0",2,mistral_table,no
CAPITAL,353,"11,7",10 295,"25,5",89 132,"30,5",1 099 258,"28,4",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,420,"14,0",8 043,"19,9",56 165,"19,2",814 604,"21,1",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 232,"74,3",22 084,"54,6",147 165,"50,3",1 953 965,"50,5",2,mistral_table,no
PERNAMBUCO,8 389,"100,0",151 416,"100,0",1 760 251,"100,0",21 134 539,"100,0",2,mistral_table,no
CAPITAL,1 775,"21,2",42 710,"28,2",697 303,"39,6",6 084 679,"28,8",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,1 906,"22,7",51 208,"33,8",552 142,"31,4",8 021 470,"38,0",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,4 706,"66,1",57 448,"38,0",510 807,"29,0",7 028 790,"33,3",2,mistral_table,no
ALAGOAS,1 491,"100,0",41 631,"100,0",358 400,"100,0",4 482 015,"100,0",2,mistral_table,no
CAPITAL,405,"37,2",9 795,"23,5",125 954,"35,1",1 733 707,"38,7",2,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,161,"10,8",3 618,"8,7",18 184,"5,1",230 973,"5,1",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,925,"62,0",28 218,"67,8",214 262,"59,8",2 517 735,"56,2",2,mistral_table,no
SERGIPE,1 989,"100,0",24 532,"100,0",198 823,"100,0",2 724 929,"100,0",2,mistral_table,no
CAPITAL,409,"20,6",9 260,"37,7",77 392,"38,9",975 075,"35,8",2,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 580,"79,4",15 272,"62,3",121 432,"61,1",1 749 854,"64,2",2,mistral_table,no
BAHIA,11 690,"100,0",147 913,"100,0",2 583 741,"100,0",47 622 112,"100,0",3,mistral_table,no
CAPITAL,1 567,"13,4",30 293,"20,5",511 492,"19,8",3 285 434,"6,9",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,1 837,"15,7",22 185,"15,0",204 135,"7,9",5 333 816,"11,1",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,8 286,"70,9",95 435,"64,5",1 868 114,"72,3",38 998 862,"81,9",3,mistral_table,no
REGIÃO SUDESTE,103 154,"100,0",3 598 424,"100,0",72 367 032,"100,0",778 184 206,"100,0",3,mistral_table,no
TOTAL DAS CAPITAIS,36 250,"35,1",1 345 705,"37,4",30 308 513,"41,9",198 801 990,"25,5",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,26 952,"28,1",1 344 642,"37,4",27 899 920,"38,6",346 967 030,"44,6",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,37 952,"36,8",906 077,"25,2",14 158 599,"19,6",232 415 185,"29,9",3,mistral_table,no
MINAS GERAIS,23 643,"100,0",475 977,"100,0",6 897 193,"100,0",103 064 404,"100,0",3,mistral_table,no
CAPITAL,3 567,"15,0",75 495,"15,9",1 452 177,"21,1",7 570 137,"7,3",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,4 665,"19,7",141 040,"29,6",2 043 577,"29,6",38 757 075,"37,6",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,15 421,"65,2",259 442,"54,5",3 401 439,"49,3",56 737 192,"55,0",3,mistral_table,no
ESPIRITO SANTO,3 276,"100,0",66 649,"100,0",1 055 338,"100,0",18 706 732,"100,0",3,mistral_table,no
CAPITAL,309,"9,4",9 569,"14,4",329 161,"31,2",3 101 794,"16,6",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,1 435,"43,8",41 172,"61,8",510 895,"48,4",11 254 367,"60,2",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 532,"46,8",15 908,"23,9",215 282,"20,4",4 350 571,"23,3",3,mistral_table,no
RIO DE JANEIRO,16 892,"100,0",528 657,"100,0",9 899 642,"100,0",108 914 885,"100,0",3,mistral_table,no
CAPITAL,8 959,"53,0",320 620,"60,7",6 840 462,"69,1",50 167 098,"46,1",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,5 810,"34,4",159 240,"30,1",2 405 064,"24,3",51 005 278,"46,8",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 123,"12,6",48 597,"9,2",654 116,"6,6",7 742 509,"7,1",3,mistral_table,no
SÃO PAULO,59 343,"100,0",2 527 141,"100,0",54 514 859,"100,0",547 498 186,"100,0",3,mistral_table,no
CAPITAL,23 425,"39,5",939 821,"37,2",21 686 713,"39,8",137 962 961,"25,2",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,17 042,"28,7",1 003 190,"39,7",22 940 384,"42,1",245 660 310,"44,9",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,18 876,"31,8",584 130,"23,1",9 887 762,"18,1",163 584 914,"29,9",3,mistral_table,no
REGIÃO SUL,43 934,"100,0",1 121 737,"100,0",13 720 788,"100,0",183 424 622,"100,0",3,mistral_table,no
TOTAL DAS CAPITAIS,5 026,"11,4",141 624,"12,6",2 481 963,"18,1",19 050 771,"10,4",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,10 109,"23,0",369 987,"33,0",4 870 007,"35,5",64 270 616,"35,0",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,28 799,"65,6",610 126,"54,4",6 368 818,"46,4",100 103 231,"54,6",3,mistral_table,no
PARANA,12 515,"100,0",257 262,"100,0",3 069 629,"100,0",58 680 422,"100,0",3,mistral_table,no
CAPITAL,2 099,"16,8",68 899,"26,8",1 105 183,"36,0",10 862 447,"18,5",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,1 911,"15,3",47 636,"18,5",505 410,"16,5",10 965 858,"18,7",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,8 505,"68,0",140 727,"54,7",1 459 037,"47,5",36 852 118,"62,8",3,mistral_table,no
SANTA CATARINA,10 431,"100,0",310 272,"100,0",3 525 255,"100,0",42 842 519,"100,0",3,mistral_table,no
CAPITAL,261,"2,5",3 232,"1,0",48 253,"1,4",213 995,"0,5",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,2 450,"23,5",125 998,"40,6",1 598 120,"48,2",19 756 863,"48,1",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,7 720,"74,0",181 042,"58,3",1 778 841,"50,5",22 871 661,"53,4",3,mistral_table,no
RIO GRANDE DO SUL,20 988,"100,0",554 203,"100,0",7 125 904,"100,0",81 901 681,"100,0",3,mistral_table,no
CAPITAL,2 566,"12,7",69 493,"12,5",1 328 488,"18,6",7 974 330,"9,7",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,5 748,"27,4",196 353,"35,4",2 666 477,"37,4",33 547 898,"41,0",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,12 574,"59,9",288 357,"52,0",3 130 940,"43,9",40 379 453,"49,3",3,mistral_table,no
REGIÃO CENTRO-OESTE,11 234,"100,0",122 304,"100,0",1 286 481,"100,0",15 849 379,"100,0",3,mistral_table,no
TOTAL DAS CAPITAIS,3 219,"26,1",48 662,"39,8",587 774,"45,7",6 223 025,"39,3",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,941,"8,4",16 142,"13,2",155 905,"12,1",2 461 994,"15,5",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,7 074,"63,0",57 500,"47,0",542 803,"42,2",7 164 360,"45,2",3,mistral_table,no
MATO GROSSO DO SUL,2 309,"100,0",22 980,"100,0",202 507,"100,0",3 275 581,"100,0",3,mistral_table,no
CAPITAL,511,"22,1",6 379,"27,8",69 157,"34,1",1 118 775,"34,2",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,183,"7,9",1 760,"7,7",18 181,"9,0",418 970,"12,8",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 615,"69,9",14 841,"64,6",115 170,"56,9",1 737 835,"53,1",3,mistral_table,no
MATO GROSSO,1 921,"100,0",21 351,"100,0",211 228,"100,0",2 226 318,"100,0",3,mistral_table,no
CAPITAL,329,"17,1",3 867,"18,1",44 596,"21,1",351 303,"15,8",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,356,"18,7",5 807,"27,2",57 329,"27,1",914 470,"41,1",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,1 233,"64,2",11 677,"54,7",109 303,"51,7",960 545,"43,1",3,mistral_table,no
GOIAS,5 938,"100,0",61 425,"100,0",624 695,"100,0",8 628 593,"100,0",3,mistral_table,no
CAPITAL,1 313,"22,1",21 868,"35,6",225 970,"36,2",3 034 059,"35,2",3,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,399,"6,7",8 575,"14,0",80 395,"12,9",1 128 555,"13,1",3,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,4 226,"71,2",30 982,"50,4",318 330,"51,0",4 465 979,"51,8",3,mistral_table,no
DISTRITO FEDERAL,1 066,"100,0",16 548,"100,0",248 051,"100,0",1 718 888,"100,0",3,mistral_table,no
