order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_commercialization_1980,salaries_withdrawals_other_compensation_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,commercialization_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_commercialization_1985,salaries_withdrawals_other_compensation_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,commercialization_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
33,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",14 812,31 330,5 445,2 332 708,21 892 978,21 588 086,18 278,18 737,47 917,16 208,473 211 576,3 156 448 519,3 125 146 754,28,29,mistral_table,mistral_table,no
34,"PROD. FARMACÊUTICOS, ODONY, E VETER",268,4 880,2 279,486 299,6 593 732,5 523 337,2 200,2 353,7 707,3 911,75 981 235,610 050 019,607 995 324,28,29,mistral_table,mistral_table,no
35,"TECIDOS, VESTUÁRIO E ARMARINHO",3 923,16 762,9 110,1 405 809,15 082 301,15 031 651,4 960,5 375,23 435,14 854,214 140 370,1 914 569 565,1 910 496 954,28,29,mistral_table,mistral_table,no
36,MAG. E APARÉLHOS ELETR. USO DOMEST,694,7 769,54 546,872 641,11 187 519,11 136 606,620,976,10 003,7 100,96 797 447,1 644 813 876,1 634 882 919,28,29,mistral_table,mistral_table,no
37,"FERRADES, MAT. ELETR. E ELECTRONICO",1 113,6 300,3 000,699 427,11 887 735,11 812 372,1 605,1 807,9 591,5 885,98 023 763,1 276 958 417,1 262 269 338,28,29,mistral_table,mistral_table,no
38,"VEÍCULOS NOVOS E USADOS, PEÇAS",689,4 330,2 008,568 999,13 314 117,13 195 596,1 200,1 334,9 365,5 572,115 044 724,2 131 904 302,2 058 766 604,28,29,mistral_table,mistral_table,no
39,MAG. E EQUIP. DE USO INDUSTRIAL,232,2 463,1 111,509 311,8 658 758,8 445 785,330,401,3 202,2 012,46 960 518,926 449 193,886 193 713,28,29,mistral_table,mistral_table,no
40,COMBUSTÍVEIS E LUBRIFICANTES,502,3 236,1 734,331 184,16 323 096,16 204 877,613,779,5 035,3 611,50 793 780,1 965 026 115,1 953 679 671,28,29,mistral_table,pdf_text_layout,no
41,"PAPELARIAS, LIVRARIAS",323,1 466,842,148 832,1 319 876,1 313 002,423,466,2 110,1 376,19 893 295,156 194 329,154 695 049,28,29,mistral_table,mistral_table,no
42,MERC. EM GERAL - INC. ALIMENTÍCIOS,857,99 487,5 725,715 174,16 513 784,16 435 845,700,974,11 620,9 320,99 743 572,1 964 467 954,1 951 551 681,28,29,mistral_table,mistral_table,no
43,MERC. EM GERAL - EXC. ALIMENTÍCIOS,139,796,1 267,193 042,3 747 674,3 746 112,80,103,3 287,2 998,19 384 098,377 296 097,377 048 851,28,29,mistral_table,mistral_table,no
44,ARTIGOS DIVERSOS,740,3 036,1 598,295 804,3 517 640,3 490 013,998,1 135,4 530,2 621,40 680 342,374 601 963,367 716 736,28,29,mistral_table,mistral_table,no
45,ARTIGOS USADOS,21,46,27,3 824,27 359,27 359,87,90,322,163,2 768 476,14 159 941,13 954 807,28,29,mistral_table,mistral_table,no
46,COMERCIO ATACADISTA,1 327,10 921,6 158,1 464 857,88 239 991,87 988 086,1 377,1 697,14 671,10 052,204 881 015,8 998 329 833,934 824 467,28,29,mistral_table,pdf_text_layout,no
47,PRODUTOS EXTRATIVOS E AGROPECUARIOS,232,1 321,726,184 969,11 780 604,11 760 568,406,463,2 480,1 363,36 072 134,1 109 149 683,095 402 102,28,29,mistral_table,pdf_text_layout,no
48,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",608,4 445,2 399,528 568,18 691 264,18 632 152,585,699,6 302,4 655,77 824 920,2 059 303 420,047 435 845,28,29,mistral_table,pdf_text_layout,no
49,"PROD. FARMACÊUTICOS, ODONY, E VETER",79,799,366,110 887,2 611 011,2 606 588,84,100,1 311,915,21 403 661,400 251 721,396 031 150,28,29,mistral_table,pdf_text_layout,no
50,"TECIDOS, VESTUÁRIO E ARMARINHO",51,446,303,53 024,1 105 309,1 102 533,45,53,548,406,5 617 544,107 129 777,107 117 090,28,29,mistral_table,pdf_text_layout,no
51,MAG. E APARÉLHOS ELETR. USO DOMEST,34,497,257,60 690,2 279 965,2 270 406,20,22,214,126,6 555 623,112 592 991,103 540 203,28,29,mistral_table,pdf_text_layout,no
52,"FERRADES, MAT. ELETR. E ELECTRONICO",116,1 185,667,142 607,4 629 636,4 619 421,75,103,1 246,872,14 849 923,424 329 171,410 484 668,28,29,mistral_table,pdf_text_layout,no
53,"VEÍCULOS NOVOS E USADOS, PEÇAS",15,204,156,38 261,1 947 299,1 943 930,16,19,242,199,2 672 041,84 052 731,82 162 279,28,29,mistral_table,pdf_text_layout,no
54,MAG. E EQUIP. DE USO INDUSTRIAL,15,268,155,62 303,1 892 794,1 874 163,34,42,480,292,8 011 174,123 051 535,119 328 919,28,29,mistral_table,pdf_text_layout,no
55,COMBUSTÍVEIS E LUBRIFICANTES,67,460,398,96 882,16 986 480,39 977 877,15,67,415,354,13 256 765,4 239 866 123,4 236 643 682,28,29,mistral_table,pdf_text_layout,no
56,"PAPELARIAS, LIVRARIAS",27,254,129,38 543,905 664,903 847,16,31,266,171,4 484 542,102 757 184,102 089 307,28,29,mistral_table,pdf_text_layout,no
57,MERC. EM GERAL - INC. ALIMENTÍCIOS,28,673,488,85 011,2 154 779,2 045 051,31,42,607,313,7 658 769,139 096 565,138 496 302,28,29,mistral_table,pdf_text_layout,no
58,MERC. EM GERAL - EXC. ALIMENTÍCIOS,7,105,56,17 868,295 397,295 217,5,7,62,51,780 148,17 251 642,17 053 545,28,29,mistral_table,pdf_text_layout,no
59,ARTIGOS DIVERSOS,31,183,79,37 204,694 208,691 242,29,30,234,113,3 545 878,51 853 066,51 681 562,28,29,mistral_table,pdf_text_layout,no
60,ARTIGOS USADOS,17,81,39,8 040,265 591,265 091,16,19,264,222,2 147 893,27 644 22.4,27 357 813,28,29,mistral_table,pdf_text_layout,no
61,RONDONIA,2 439,8 577,3 276,818 112,19 763 142,19 692 283,4 118,4 512,20 136,11 925,209 985 959,3 849 660 480,3 793 719 643,28,29,mistral_table,mistral_table,no
62,COMERCIO VAREJISTA,2 263,7 631,2 899,687 404,12 079 526,12 018 855,3 889,4 220,18 251,10 688,183 084 667,2 369 402 453,2 314 775 276,28,29,mistral_table,mistral_table,no
63,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",1 081,2 319,413,154 960,1 839 950,1 832 545,1 764,1 800,5 032,2 024,45 042 992,317 795 659,314 917 483,28,29,mistral_table,mistral_table,no
64,"PROD. FARMACÊUTICOS, ODONY, E VETER",139,440,179,42 584,642 764,638 933,325,344,1 168,592,11 399 198,89 604 654,89 108 096,28,29,mistral_table,mistral_table,no
65,"TECIDOS, VESTUÁRIO E ARMARINHO",417,1 584,786,210 849,1 468 120,1 467 511,706,761,3 370,2 106,28 904 114,255 542 879,255 076 363,28,29,mistral_table,mistral_table,no
66,MAG. E APARÉLHOS ELETR. USO DOMEST,102,6 645,332,73 820,1 281 318,1 275 243,125,173,1 397,1 024,14 995 996,178 129 717,177 273 419,28,29,mistral_table,mistral_table,no
67,"FERRADES, MAT. ELETR. E ELECTRONICO",94,452,227,46 724,1 797 786,1 790 961,294,291,1 364,793,15 511 042,234 578 766,231 112 969,28,29,mistral_table,mistral_table,no
68,"VEÍCULOS NOVOS E USADOS, PEÇAS",144,747,282,93 707,1 860 666,1 831 560,231,280,1 876,1 206,29 172 842,482 725 455,451 206 168,28,29,mistral_table,mistral_table,no
69,MAG. E EQUIP. DE USO INDUSTRIAL,54,383,156,71 727,1 435 322,1 433 063,96,107,580,328,9 686 216,198 263 941,187 594 627,28,29,mistral_table,mistral_table,no
70,COMBUSTÍVEIS E LUBRIFICANTES,106,280,148,28 691,1 459 636,1 454 359,65,85,645,481,5 957 529,249 970 462,243 851 152,28,29,mistral_table,mistral_table,no
71,"PAPELARIAS, LIVRARIAS",43,116,46,8 634,91 490,91 490,76,81,316,187,2 711 802,23 931 721,23 547 202,28,29,mistral_table,mistral_table,no
72,MERC. EM GERAL - INC. ALIMENTÍCIOS,70,471,252,32 940,1 042 249,1 041 963,71,114,1 844,619,13 152 256,274 189 816,273 806 028,28,29,mistral_table,mistral_table,no
73,MERC. EM GERAL - EXC. ALIMENTÍCIOS,6,37,27,2 436,51 358,51 358,7,10,60,37,578 132,8 556 270,8 517 652,28,29,mistral_table,mistral_table,no
74,ARTIGOS DIVERSOS,60,152,49,10 222,108 177,107 179,143,161,552,265,4 547 130,58 085 686,56 830 392,28,29,mistral_table,mistral_table,no
75,ARTIGOS USADOS,3,5,2,110,690,690,13,13,47,26,525 428,2 027 727,1 927 727,28,29,mistral_table,mistral_table,no
76,PRODUTOS EXTRATIVOS E AGROPECUARIOS,154,833,360,111 914,7 683 516,7 673 428,229,284,1 843,1 237,26 138 476,1 480 258 027,1 476 944 367,30,31,mistral_table,mistral_table,no
77,"PRODUTOS, BEBIDAS E FUMO",44,161,49,23 421,1 532 787,1 525 990,72,81,303,167,3 522 050,112 517 434,112 445 295,30,31,mistral_table,mistral_table,no
78,"PROD. ALIMENTICIOS, BEBIDAS E FUMO",70,415,186,47 441,1 890 283,1 688 986,102,118,906,637,13 578 249,425 915 981,425 540 546,30,31,mistral_table,mistral_table,no
79,"PROD. FARMACÊUTICOS, ODONT. E VETER",7,58,14,11 075,411 672,411 672,14,18,159,105,2 201 278,61 707 361,61 633 694,30,31,mistral_table,mistral_table,no
80,"TECIDOS, VESTUARIO E ARMARINHO",3,10,4,1 427,10 673,10 673,2,2,(8),(A),CX),(A),CAI,30,31,mistral_table,pdf_text_layout,no
81,MAQ. E APARELHOS ELETR. USO DOMEST,2,(8),(A),(X),(A),(A),2,2,(8),(A),(X),CA),(A),30,31,pdf_text_layout,pdf_text_layout,no
82,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",7,31,12,4 722,136 084,136 084,11,18,134,104,1 626 346,53 159 581,52 998 721,30,31,mistral_table,mistral_table,no
83,"VEICULOS NOVOS E USADOS, PEÇAS",1,(A),(A),(X),(A),(A),2,3,22,17,215 240,5 721 463,5 721 463,30,31,pdf_text_layout,mistral_table,no
84,"MAQ. E EQUIP, DE USO INDUSTRIAL",2,(D),(C),(X),(D),(D),9,10,82,39,1 082 302,13 223 314,12 641 739,30,31,pdf_text_layout,mistral_table,no
85,COMBUSTÍVEIS E LUBRIFICANTES,9,45,33,12 295,3 231 311,3 231 311,2,15,73,55,2 195 711,771 167 886,771 121 502,30,31,mistral_table,mistral_table,no
86,"PAPELARIAS, LIVRARIAS",2,IC),(A),(X),(C),(C),3,5,26,23,405 694,5 293 279,5 293 279,30,31,pdf_text_tokens,mistral_table,no
87,MERC. EM GERAL - INC. ALIMENTÍCIOS,4,68,46,5 849,422 184,422 184,1,2,(E),(E),(A),(D),(D),30,31,mistral_table,mistral_table,no
88,MERC. EM GERAL - EXC. ALIMENTÍCIOS,,,,,,,1,1,(A),(A),(A),(A),(A),30,31,mistral_table_partial,mistral_table,yes
89,ARTIGOS DIVERSOS,,,,,,,5,5,24,14,276 222,7 311 083,7 311 083,30,31,mistral_table_partial,mistral_table,yes
90,ARTIGOS USADOS,,,,,,,3,4,10,4,161 064,1 320 061,1 316 461,30,31,mistral_table_partial,mistral_table,yes
91,PORTO VELHO,987,4 045,1 577,469 597,11 784 392,11 740 619,1 569,1 686,7 176,3 894,82 029 130,2 021 985 741,1 986 974 920,30,31,mistral_table,mistral_table,no
92,COMÉRCIO VAREJISTA,913,3 491,1 371,387 585,5 851 992,5 817 516,1 499,1 586,6 388,3 379,69 139 193,990 400 478,956 626 481,30,31,mistral_table,mistral_table,no
93,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",501,933,92,71 042,605 307,604 766,876,878,2 056,571,19 419 524,102 446 370,101 180 790,30,31,mistral_table,mistral_table,no
94,"PROD. FARMACÊUTICOS, ODONT. E VETER",35,144,68,19 498,311 589,308 959,72,74,263,124,2 674 850,17 504 588,17 497 803,30,31,mistral_table,mistral_table,no
95,"TECIDOS, VESTUARIO E ARMARINHO",132,654,391,57 051,554 424,554 424,215,232,1 059,696,10 944 239,97 721 769,97 535 191,30,31,mistral_table,mistral_table,no
96,MAG. E APARELHOS ELETR. USO DOMEST,37,337,162,44 459,693 915,689 164,34,52,562,370,5 756 524,84 966 599,84 440 999,30,31,mistral_table,mistral_table,no
97,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",36,233,122,29 430,393 586,387 553,98,107,498,274,9 610 915,89 728 875,87 627 703,30,31,mistral_table,mistral_table,no
98,"VEÍCULOS NOVOS E USADOS, PECAS",60,415,152,61 705,1 188 016,1 170 075,63,75,702,503,9 315 871,256 773 159,238 217 703,30,31,mistral_table,mistral_table,no
99,MAG. E EQUIP. DE USO INDUSTRIAL,18,248,91,57 880,952 672,951 204,27,29,229,122,4 855 641,120 325 143,110 373 576,30,31,mistral_table,mistral_table,no
100,COMBUSTÍVEIS E LUBRIFICANTES,20,120,58,14 797,444 717,444 005,15,22,202,130,2 382 987,81 531 869,81 171 869,30,31,mistral_table,mistral_table,no
101,"PAPELARIAS, LIVRARIAS",16,49,21,4 524,45 307,45 307,30,33,123,71,1 163 105,12 393 007,12 128 007,30,31,mistral_table,mistral_table,no
102,MERC. EM GERAL - INC. ALIMENTÍCIOS,29,264,166,20 195,586 004,585 985,13,19,435,395,3 499 876,80 091 618,79 964 518,30,31,mistral_table,mistral_table,no
103,MERC. EM GERAL - EXC. ALIMENTICIOS,1,(C),(C),(X),(B),(Bl,3,5,30,22,334 181,6 839 777,6 839 777,30,31,pdf_text_layout,mistral_table,no
104,ARTIGOS DIVERSOS,27,73,28,5 948,54 208,53 827,48,55,214,91,2 011 613,39 278 733,38 895 271,30,31,mistral_table,mistral_table,no
105,ARTIGOS USADOS,1,(A),(A),(X),(A),(A),5,5,15,10,167 867,798 971,798 971,30,31,pdf_text_tokens,mistral_table,no
106,COMÉRCIO ATACADISTA,65,482,194,68 692,5 932 390,5 923 103,70,96,764,515,12 518 371,1 031 585 263,1 030 348 439,30,31,mistral_table,mistral_table,no
107,PRODUTOS EXTRATIVOS E AGROPECUARIOS,7,34,7,5 331,674 873,668 851,12,17,94,27,850 555,18 337 507,18 276 168,30,31,mistral_table,mistral_table,no
108,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",29,264,108,28 273,1 134 284,1 131 073,29,30,315,228,5 029 007,171 313 557,170 951 340,30,31,mistral_table,mistral_table,no
109,"PROD. FARMACÊUTICOS, ODONT. E VETER",3,58,14,11 075,411 672,411 672,8,11,118,81,1 775 427,54 956 541,54 882 874,30,31,mistral_table,mistral_table,no
110,"TECIDOS, VESTUARIO E ARMARINHO",3,10,4,1 427,10 673,10 673,-,-,-,-,-,-,-,30,31,mistral_table,tesseract_por_review,no
111,MAQ. E APARELHOS ELETR. USO DOMEST,2,(B),(A),(X),(A),(A),,,,,,,,30,31,pdf_text_layout,missing,yes
112,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",4,22,10,2 789,107 365,107 365,6,8,67,50,897 016,25 387 814,25 267 567,30,31,mistral_table,mistral_table,no
113,"VEICULOS NOVOS E USADOS, PEÇAS",1,(A),(A),<Xl,(A),(Al,1,2,(C),(B),(A),(B),(B),30,31,pdf_text_layout,mistral_table,no
114,MAQ. E EOUIP. DE USO INDUSTRIAL,2,(D),(C),<Xl,{D),(0),5,6,66,30,872 337,10 923 303,10 347 950,30,31,pdf_text_layout,mistral_table,no
115,COMBUSTÍVEIS E LUBRIFICANTES,8,45,33,12 295,3 227 992,3 227 992,-,10,53,41,1 889 733,727 597 665,727 553 564,30,31,mistral_table,mistral_table,no
116,"PAPELARIAS, LIVRARIAS",1,(B),(A),(X),(B),(B),2,3,16,15,310 829,4 756 833,4 756 833,30,31,pdf_text_tokens,mistral_table,no
117,MERC. EM GERAL • INC. ALIMENTICIOS,1,(C),(A),(X),(D),(D),-,1,(D),(D),(A),(C),(C),30,31,pdf_text_tokens,mistral_table,no
118,MERC. EM GERAL - EXC. ALIMENTÍCIOS,-,-,-,-,-,-,1,1,(A),(A),(A),(A),(A),30,31,tesseract_por_review,mistral_table,no
119,ARTIGOS DIVERSOS,,,,,,,4,4,19,12,238 242,7 092 096,7 092 096,30,31,mistral_table_partial,mistral_table,yes
120,ARTIGOS USADOS,-,-,-,-,-,-,2,3,8,3,116 464,1 076 481,1 076 481,30,31,tesseract_por_review,mistral_table,no
121,ARIQUÊMES,229,672,272,58 017,907 225,904 866,321,350,1 488,984,20 073 591,316 397 960,315 558 328,30,31,mistral_table,mistral_table,no
122,CACOAL,183,611,229,35 359,999 928,999 111,220,249,1 308,883,11 790 613,230 042 489,227 269 947,30,31,mistral_table,mistral_table,no
123,CEREJEIRAS,-,-,-,-,-,-,64,69,264,129,2 299 481,25 721 007,25 706 007,30,31,tesseract_por_review,mistral_table,no
124,COLORADO DO OESTE,-,-,-,-,-,-,79,85,296,131,2 935 456,31 211 338,31 201 338,30,31,tesseract_por_review,mistral_table,no
125,COSTA MARQUES,-,-,-,-,-,-,191,197,661,334,5 445 252,57 448 963,56 947 906,30,31,tesseract_por_review,mistral_table,no
126,ESPIRADO D'OESTE,-,-,-,-,-,-,55,57,189,92,2 160 179,19 154 138,19 137 248,30,31,tesseract_por_review,mistral_table,no
127,GUAJARA-MIRIM,310,861,340,92 508,2 227 510,2 222 294,223,259,942,524,10 657 824,157 073 856,155 526 774,30,31,mistral_table,mistral_table,no
128,JARU,-,-,-,-,-,-,264,290,1 622,1 104,15 018 612,116 865 114,116 622 547,30,31,tesseract_por_review,mistral_table,no
129,JI-PARANA,406,1 288,477,97 124,2 302 680,2 287 384,360,411,2 407,1 502,28 729 045,373 512 397,361 284 453,30,31,mistral_table,mistral_table,no
130,GURO PRETO DO OESTE,-,-,-,-,-,-,125,136,520,290,4 012 226,54 557 873,54 344 132,30,31,tesseract_por_review,mistral_table,no
131,PIMENTA BUENO,118,379,115,17 057,344 267,343 491,110,128,623,404,5 074 736,69 111 955,68 281 539,30,31,mistral_table,mistral_table,no
132,PRESIDENTE MEDICI,-,-,-,-,-,-,125,135,384,151,2 461 721,37 226 054,37 169 751,30,31,tesseract_por_review,mistral_table,no
133,ROLIM DE MOURA,-,-,-,-,-,-,232,252,1 060,716,7 889 172,84 490 790,84 373 777,30,31,tesseract_por_review,mistral_table,no
134,VILHENA,206,721,266,48 450,1 197 150,1 194 518,180,208,1 196,787,9 408 931,254 860 805,253 320 976,30,31,mistral_table,mistral_table,no
135,ACRE,1 548,4 302,1 674,465 252,7 491 497,7 438 957,3 069,3 331,9 323,5 054,146 108 176,1 203 761 215,1 196 382 329,30,31,mistral_table,mistral_table,no
136,COMÉRCIO VAREJISTA,1 437,3 819,1 450,412 866,5 230 595,5 191 472,2 864,3 106,8 312,4 416,126 431 948,860 584 955,853 757 231,30,31,mistral_table,mistral_table,no
137,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",739,1 328,244,114 929,1 241 617,1 234 320,2 083,2 200,4 978,2 377,75 564 320,330 190 443,326 062 144,30,31,mistral_table,mistral_table,no
138,"PROD. FARMACÊUTICOS, ODONT. E VETER",64,224,85,20 543,209 418,209 166,111,123,292,143,4 268 687,36 496 986,36 483 986,30,31,mistral_table,mistral_table,no
139,"TECIDOS, VESTUARIO E ARMARINHO",280,806,352,85 538,773 062,772 964,376,415,1 075,558,17 072 528,137 147 854,136 545 414,30,31,mistral_table,mistral_table,no
140,MAG. E APARELHOS ELETR. USO DOMEST,64,284,159,32 233,403 159,403 159,27,39,426,352,5 149 340,47 401 534,47 393 225,30,31,mistral_table,mistral_table,no
141,"FERRAGENS, MAT. ELETR. E ELETRÔNICO",67,242,125,27 746,410 196,409 716,66,83,369,250,6 283 157,71 969 792,71 007 403,30,31,mistral_table,mistral_table,no
142,"VEÍCULOS NOVOS E USADOS, PECAS",28,187,90,37 062,642 480,626 070,40,44,323,180,6 203 291,82 550 157,81 750 549,30,31,mistral_table,mistral_table,no
143,MAG. E EQUIP. DE USO INDUSTRIAL,17,124,50,21 637,227 361,215 757,10,12,93,64,1 108 298,13 049 228,12 924 248,30,31,mistral_table,mistral_table,no
