order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_commercialization_1980,salaries_withdrawals_other_compensation_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,commercialization_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_commercialization_1985,salaries_withdrawals_other_compensation_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,commercialization_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,616 051,2 899 808,1 400 683,336 374 405,7 365 875 544,7 306 849 325,,,,,,,,28,29,mistral_table,mistral_table_partial,yes
2,COMERCIO VAREJISTA,570 733,2 360 085,1 197 161,225 839 906,4 244 112 493,4 207 100 387,614 417,674 695,3 086 751,1 816 009,24 661 377 999,410 537 264 992,404 636 174 646,28,29,mistral_table,pdf_text_layout,no
3,"PROD. ALIMENTICIOS, BEBIDAS E FUMO",252 715,532 138,111 940,33 108 009,464 150 946,461 855 505,267 147,275 593,682 211,239 013,4 080 326 516,47 532 391 296,47 000 822 749,28,29,mistral_table,pdf_text_layout,no
4,"PROD. FARMACÊUTICOS, ODONY, E VETER",31 605,139 248,78 452,13 629 895,219 239 442,216 902 722,39 237,43 929,185 901,111 037,1 430 034 520,19 484 241 626,19 312 732 791,28,29,mistral_table,pdf_text_layout,no
5,"TECIDOS, VESTUÁRIO E ARMARINHO",107 052,439 864,246 740,37 512 955,431 527 595,430 281 066,116 665,129 228,564 120,346 304,4 080 643 942,42 730 422 848,42 535 874 151,28,29,mistral_table,pdf_text_layout,no
6,MAG. E APARÉLHOS ELETR. USO DOMEST,25 623,172 449,98 967,20 654 338,355 149 005,352 597 265,20 649,28 830,194 214,128 605,1 856 478 288,25 833 697 268,25 536 451 505,28,29,mistral_table,pdf_text_layout,no
7,"FERRADES, MAT. ELETR. E ELECTRONICO",36 436,207 627,104 491,22 677 834,410 433 115,406 586 622,43 178,48 166,268 817,162 430,2 266 597 977,34 962 394 419,34 398 228 463,28,29,mistral_table,pdf_text_layout,no
8,"VEÍCULOS NOVOS E USADOS, PEÇAS",24 715,156 591,77 074,22 040 932,588 486 152,580 702 092,35 549,38 900,268 989,149 985,3 108 809 979,67 056 719 206,64 931 176 434,28,29,mistral_table,pdf_text_layout,no
9,MAG. E EQUIP. DE USO INDUSTRIAL,6 610,59 407,28 866,12 301 580,210 153 837,204 315 389,8 024,9 451,73 809,42 154,972 224 702,18 056 952 491,17 352 617 277,28,29,mistral_table,pdf_text_layout,no
10,COMBUSTÍVEIS E LUBRIFICANTES,15 525,138 074,85 796,14 015 878,597 953 680,593 316 849,18 924,21 751,169 831,123 702,1 584 854 916,55 291 759 306,54 752 939 342,28,29,mistral_table,pdf_text_layout,no
11,"PAPELARIAS, LIVRARIAS",14 100,55 223,30 258,6 101 862,55 563 737,55 116 736,,,,,,,,28,29,mistral_table,mistral_table_partial,yes
12,MERC. EM GERAL - INC. ALIMENTÍCIOS,15 395,278 123,229 600,24 208 763,659 175 478,657 495 118,,,,,,,,28,29,mistral_table,mistral_table_partial,yes
13,MERC. EM GERAL - EXC. ALIMENTÍCIOS,3 108,60 236,44 150,7 994 169,125 266 152,124 245 663,1 324,2 406,88 175,73 081,765 920 106,12 599 866 941,12 483 942 060,28,29,mistral_table,pdf_text_layout,no
14,ARTIGOS DIVERSOS,30 520,112 138,57 547,10 866 074,118 913 960,115 676 364,36 517,40 835,148 797,80 506,1 102 026 041,10 059 648 245,9 743 203 343,28,29,mistral_table,pdf_text_layout,no
15,ARTIGOS USADOS,3 028,8 766,3 280,727 619,8 099 394,8 024 996,5 096,5 180,14 907,6 703,96 053 137,791 236 553,782 848 192,28,29,mistral_table,pdf_text_layout,no
16,COMERCIO ATACADISTA,39 099,387 621,196 356,64 412 327,3 121 763 051,3 099 748 938,,,,,,,,28,29,mistral_table,mistral_table_partial,yes
17,PRODUTOS EXTRATIVOS E AGROPECUARIOS,3 842,34 792,16 818,4 778 279,323 613 418,318 855 006,4 938,5 997,51 713,30 569 651,148 228,35 259 849 709,34 593 979 646,28,29,mistral_table,pdf_text_layout,no
18,"PROD. ALIMENTÍCIOS, BEBIDAS E FUMO",17 752,143 558,72 758,19 246 146,503 344 852,898 483 387,,,,,,,,28,29,mistral_table,pdf_text_tokens_partial,yes
19,"PROD. FARMACÊUTICOS, ODONY, E VETER",2 318,31 651,15 895,6 389 971,181 570 324,179 500 911,2 419,3 010,46 406,30 396 737,679 266,19 878 685 504,1 9 480 513 125,28,29,mistral_table,pdf_text_layout,no
20,"TECIDOS, VESTUÁRIO E ARMARINHO",2 773,24 570,13 861,3 663 486,101 358 892,100 735 448,3 328,3 774,35 900,24 006 400,811 788,12 520 900 921,12 236 425 785,28,29,mistral_table,pdf_text_layout,no
21,MAG. E APARÉLHOS ELETR. USO DOMEST,542,6 123,2 611,907 318,39 413 396,39 289 984,476,575,7 593,4 321 119,200 360,4 712 316 731,4 653 703 163,28,29,mistral_table,pdf_text_layout,no
22,"FERRADES, MAT. ELETR. E ELECTRONICO",4 009,48 669,22 348,9 730 213,247 183 117,245 140 841,832,599,57 954,33 775 917,174 930,22 245 507 770,21 907 292 390,28,29,mistral_table,pdf_text_layout,no
23,"VEÍCULOS NOVOS E USADOS, PEÇAS",1 044,14 392,7 325,705 582,11 813 910,11 813 910,987,232,21 392,13 122 357,346 031,10 750 924 494,10 515 439 467,28,29,mistral_table,pdf_text_layout,no
24,MAG. E EQUIP. DE USO INDUSTRIAL,1 053,14 381,6 245,4 420 849,79 422 721,76 426 937,1 071,453,19 776,11 070 429,702 133,7 325 180 076,7 035 767 883,28,29,mistral_table,pdf_text_layout,no
25,COMBUSTÍVEIS E LUBRIFICANTES,875,11 276,6 741,3 192 849,620 082 217,919 182 586,357,029,13 925,10 331 379,333 022,89 654 998 445,89 302 022 383,28,29,mistral_table,pdf_text_layout,no
26,"PAPELARIAS, LIVRARIAS",1 106,12 105,6 311,2 243 546,50 461 127,50 021 570,984,275,17 145,9 930 274,427 267,6 583 310 848,6 421 636 872,28,29,mistral_table,pdf_text_layout,no
27,MERC. EM GERAL - INC. ALIMENTÍCIOS,443,17 691,11 843,2 714 247,108 634 976,106 878 263,217,397,1 5 325,9 786 342,570 115,16 582 624 028,1 6 306 264 768,28,29,mistral_table,pdf_text_layout,no
28,MERC. EM GERAL - EXC. ALIMENTÍCIOS,180,2 601,1 287,383 461,11 608 452,11 540 154,128 203,3 733,2 515,68,603 355,2 081 318 640,2 009 237 618,28,29,mistral_table,pdf_text_layout,no
29,ARTIGOS DIVERSOS,1 453,12 129,6 007,2 176 734,38 895 791,38 388 303,775,999,17 887,10 809 237,299 015,4 669 911 907,4 543 314 287,28,29,mistral_table,pdf_text_layout,no
30,ARTIGOS USADOS,1 789,13 193,6 106,1 459 636,31 683 358,31 404 901,789,883,14 185,8 314 133,598 075,2 948 220 528,2 921 553 141,28,29,mistral_table,pdf_text_layout,no
31,REGIÃO NORTE,27 028,106 459,44 951,10 927 072,223 086 460,221 918 727,33 471,36 353,155 316,87 726,1 598 759 775,25 511 367 332,25 239 222 868,28,29,mistral_table,mistral_table,no
32,COMERCIO VAREJISTA,25 513,91 403,38 692,8 563 054,134 846 469,133 930 541,32 094,34 530,138 124,77 635,1 353 423 198,16 512 940 290,16 304 398 401,28,29,mistral_table,mistral_table,no
